# code=159399, name=现全流FTE
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-02-27,0.97,0.975,0.975,0.968,6959824,696910071.371,0.72,0.52,0.005,16.61
2025-02-28,0.976,0.966,0.977,0.963,5050824,506417751.757,1.44,-0.92,-0.009,12.05
2025-03-03,0.966,0.969,0.976,0.963,3654227,366047679.229,1.35,0.31,0.003,8.72
2025-03-04,0.969,0.966,0.969,0.961,3136023,312199270.409,0.83,-0.31,-0.003,7.48
2025-03-05,0.966,0.969,0.97,0.962,3441672,343042086.035,0.83,0.31,0.003,8.21
2025-03-06,0.97,0.975,0.975,0.969,3398456,340859679.888,0.62,0.62,0.006,8.11
2025-03-07,0.973,0.978,0.982,0.971,3635707,367001802.408,1.13,0.31,0.003,8.67
2025-03-10,0.978,0.98,0.982,0.975,2640993,266557776.897,0.72,0.2,0.002,6.3
2025-03-11,0.98,0.983,0.983,0.975,2111683,213088876.067,0.82,0.31,0.003,5.04
2025-03-12,0.985,0.982,0.985,0.981,2595859,263043182.932,0.41,-0.1,-0.001,6.19
2025-03-13,0.983,0.985,0.988,0.979,3381759,343255220.637,0.92,0.31,0.003,8.07
2025-03-14,0.985,0.992,0.994,0.984,4996691,509712352.937,1.02,0.71,0.007,11.92
2025-03-17,0.993,0.994,0.998,0.992,3125777,320285655.242,0.6,0.2,0.002,7.46
2025-03-18,0.995,0.994,0.996,0.99,2642727,270159172.086,0.6,0.0,0.0,6.31
2025-03-19,0.994,0.991,0.994,0.988,3196011,326131585.051,0.6,-0.3,-0.003,7.63
2025-03-20,0.991,0.989,0.993,0.988,3595706,367100552.391,0.5,-0.2,-0.002,8.58
2025-03-21,0.987,0.987,0.997,0.983,5249302,535761851.305,1.42,-0.2,-0.002,12.52
2025-03-24,0.986,0.992,0.992,0.984,3788795,385746175.574,0.81,0.51,0.005,9.04
2025-03-25,0.992,0.995,0.997,0.989,3860926,395311219.189,0.81,0.3,0.003,9.21
2025-03-26,0.994,0.994,0.996,0.99,4242923,434061568.747,0.6,-0.1,-0.001,10.12
2025-03-27,0.994,0.99,0.994,0.988,5111989,521784418.302,0.6,-0.4,-0.004,12.2
2025-03-28,0.99,0.984,0.99,0.979,4329726,438804780.282,1.11,-0.61,-0.006,10.33
2025-03-31,0.982,0.985,0.991,0.98,5511122,559999326.348,1.12,0.1,0.001,13.15
2025-04-01,0.984,0.986,0.988,0.983,3353976,340585301.191,0.51,0.1,0.001,8.0
2025-04-02,0.986,0.983,0.987,0.981,4183289,424012925.285,0.61,-0.3,-0.003,9.98
2025-04-03,0.974,0.977,0.979,0.97,4958187,498472073.749,0.92,-0.61,-0.006,11.83
2025-04-07,0.94,0.892,0.944,0.878,7188234,676256285.177,6.76,-8.7,-0.085,17.15
2025-04-08,0.897,0.939,0.939,0.897,5439930,516089531.773,4.71,5.27,0.047,12.98
2025-04-09,0.929,0.935,0.939,0.915,4475757,428140035.212,2.56,-0.43,-0.004,10.68
2025-04-10,0.941,0.943,0.949,0.937,4398853,428558922.188,1.28,0.86,0.008,10.5
2025-04-11,0.937,0.939,0.941,0.933,4302347,415672873.904,0.85,-0.42,-0.004,10.27
2025-04-14,0.941,0.947,0.947,0.938,4205389,409131996.094,0.96,0.85,0.008,10.03
2025-04-15,0.949,0.949,0.949,0.942,3791553,369705258.572,0.74,0.21,0.002,9.05
2025-04-16,0.946,0.952,0.954,0.942,4065362,395127778.886,1.26,0.32,0.003,9.7
2025-04-17,0.949,0.952,0.954,0.947,3563570,348715942.692,0.74,0.0,0.0,8.5
2025-04-18,0.952,0.956,0.957,0.949,4142634,405656044.569,0.84,0.42,0.004,9.88
2025-04-21,0.956,0.954,0.956,0.95,3797610,372103480.36,0.63,-0.21,-0.002,9.06
2025-04-22,0.951,0.954,0.956,0.951,3612056,354751014.068,0.52,0.0,0.0,8.62
2025-04-23,0.956,0.955,0.959,0.954,3342814,328472854.53,0.52,0.1,0.001,7.98
2025-04-24,0.955,0.956,0.96,0.954,3264162,321332156.433,0.63,0.1,0.001,7.79
2025-04-25,0.958,0.955,0.958,0.953,3732406,366633666.776,0.52,-0.1,-0.001,8.91
2025-04-28,0.955,0.956,0.958,0.948,2948971,289275191.051,1.05,0.1,0.001,7.04
2025-04-29,0.956,0.954,0.957,0.952,2764372,271501210.535,0.52,-0.21,-0.002,6.6
2025-04-30,0.953,0.95,0.956,0.949,3083585,301877966.518,0.73,-0.42,-0.004,7.36
2025-05-06,0.951,0.956,0.956,0.946,3394115,331963298.96,1.05,0.63,0.006,8.1
2025-05-07,0.959,0.961,0.968,0.957,3357538,331264464.611,1.15,0.52,0.005,8.01
2025-05-08,0.96,0.963,0.966,0.956,2996813,296467007.264,1.04,0.21,0.002,7.15
2025-05-09,0.963,0.966,0.967,0.962,2729052,270745928.566,0.52,0.31,0.003,6.51
2025-05-12,0.968,0.972,0.973,0.966,2965589,295698030.372,0.72,0.62,0.006,7.08
2025-05-13,0.975,0.977,0.978,0.973,3015719,302451783.447,0.51,0.51,0.005,7.2
2025-05-14,0.978,0.985,0.987,0.974,3104973,311335292.613,1.33,0.82,0.008,7.41
2025-05-15,0.982,0.98,0.986,0.979,2207813,222220670.595,0.71,-0.51,-0.005,5.27
2025-05-16,0.976,0.972,0.979,0.971,2498145,249339613.957,0.82,-0.82,-0.008,5.96
2025-05-19,0.973,0.976,0.976,0.971,2126431,212035202.105,0.51,0.41,0.004,5.07
2025-05-20,0.976,0.977,0.978,0.975,2558067,255892435.309,0.31,0.1,0.001,6.1
2025-05-21,0.976,0.987,0.989,0.976,3059598,308662374.77,1.33,1.02,0.01,7.3
2025-05-22,0.987,0.985,0.989,0.983,2354736,237885437.396,0.61,-0.2,-0.002,5.62
2025-05-23,0.985,0.979,0.992,0.979,2889912,292131162.356,1.32,-0.61,-0.006,6.9
2025-05-26,0.977,0.978,0.982,0.975,2327359,233360462.764,0.72,-0.1,-0.001,5.55
2025-05-27,0.978,0.975,0.981,0.974,2551174,255377615.049,0.72,-0.31,-0.003,6.09
2025-05-28,0.976,0.983,0.986,0.975,2485165,249917308.933,1.13,0.82,0.008,5.93
2025-05-29,0.982,0.985,0.987,0.981,2048772,206721728.091,0.61,0.2,0.002,4.89
2025-05-30,0.983,0.987,0.988,0.981,2746687,277185721.471,0.71,0.2,0.002,6.55
2025-06-03,0.986,0.979,0.986,0.977,2554865,256420038.185,0.91,-0.81,-0.008,6.1
2025-06-04,0.98,0.98,0.981,0.978,2110692,211855446.924,0.31,0.1,0.001,5.04
2025-06-05,0.98,0.979,0.983,0.977,2650542,265741502.266,0.61,-0.1,-0.001,6.32
2025-06-06,0.979,0.982,0.984,0.978,2495017,250873739.425,0.61,0.31,0.003,5.95
2025-06-09,0.983,0.985,0.987,0.98,2689048,270999189.171,0.71,0.31,0.003,6.42
2025-06-10,0.985,0.984,0.99,0.98,4692931,473637595.893,1.02,-0.1,-0.001,11.2
2025-06-11,0.989,0.989,0.991,0.988,2276222,230731541.124,0.3,0.51,0.005,5.43
2025-06-12,0.991,0.988,0.992,0.985,2338116,236516959.191,0.71,-0.1,-0.001,5.58
2025-06-13,0.987,0.987,0.992,0.982,3227744,326112469.956,1.01,-0.1,-0.001,7.7
2025-06-16,0.986,0.984,0.987,0.982,2326863,234131895.735,0.51,-0.3,-0.003,5.55
2025-06-17,0.984,0.989,0.99,0.982,2756074,277950509.145,0.81,0.51,0.005,6.58
2025-06-18,0.988,0.989,0.995,0.986,2714137,274661529.807,0.91,0.0,0.0,6.48
2025-06-19,0.987,0.982,0.987,0.977,3529941,354206966.619,1.01,-0.71,-0.007,8.42
2025-06-20,0.981,0.981,0.983,0.979,2220134,222652532.478,0.41,-0.1,-0.001,5.3
2025-06-23,0.978,0.98,0.983,0.976,3401275,340340654.517,0.71,-0.1,-0.001,8.12
2025-06-24,0.979,0.984,0.987,0.976,3467904,348694812.043,1.12,0.41,0.004,8.27
2025-06-25,0.984,0.988,0.99,0.98,3577937,360256121.152,1.02,0.41,0.004,8.54
2025-06-26,0.988,0.989,0.994,0.986,3398374,344554172.312,0.81,0.1,0.001,8.11
2025-06-27,0.991,0.993,0.999,0.991,4200122,427385421.049,0.81,0.4,0.004,10.02
2025-06-30,0.994,0.996,0.997,0.992,3755886,381618915.311,0.5,0.3,0.003,8.96
2025-07-01,0.996,0.997,0.998,0.991,1813656,184429607.595,0.7,0.1,0.001,4.33
2025-07-02,0.998,1.011,1.011,0.998,3142503,323313783.856,1.3,1.4,0.014,7.5
2025-07-03,1.013,1.014,1.015,1.009,2659920,275105023.244,0.59,0.3,0.003,6.35
2025-07-04,1.013,1.015,1.019,1.008,2415216,250095690.675,1.08,0.1,0.001,5.76
2025-07-07,1.014,1.01,1.014,1.008,2088655,215450686.859,0.59,-0.49,-0.005,4.98
2025-07-08,1.01,1.014,1.015,1.007,2319384,239517384.025,0.79,0.4,0.004,5.53
2025-07-09,1.014,1.011,1.017,1.008,3613800,374490087.256,0.89,-0.3,-0.003,8.62
2025-07-10,1.01,1.02,1.022,1.01,2869007,297683819.185,1.19,0.89,0.009,6.85
2025-07-11,1.025,1.024,1.031,1.023,2565546,269072396.197,0.78,0.39,0.004,6.12
2025-07-14,1.024,1.028,1.029,1.024,2073176,217486114.287,0.49,0.39,0.004,4.95
2025-07-15,1.028,1.023,1.029,1.017,3197220,333756129.74,1.17,-0.49,-0.005,7.63
2025-07-16,1.024,1.022,1.024,1.017,2279658,237286663.071,0.68,-0.1,-0.001,5.44
2025-07-17,1.022,1.023,1.024,1.02,2222918,231593831.901,0.39,0.1,0.001,5.3
2025-07-18,1.024,1.031,1.032,1.023,2775630,290899275.604,0.88,0.78,0.008,6.62
2025-07-21,1.032,1.046,1.046,1.032,2236664,237218141.392,1.36,1.45,0.015,5.34
2025-07-22,1.046,1.065,1.066,1.043,2406846,258207782.122,2.2,1.82,0.019,5.74
2025-07-23,1.066,1.06,1.071,1.059,2705777,293839305.985,1.13,-0.47,-0.005,6.46
2025-07-24,1.06,1.07,1.07,1.058,2113806,229012923.031,1.13,0.94,0.01,5.04
2025-07-25,1.064,1.063,1.07,1.061,2562345,277755755.824,0.84,-0.65,-0.007,6.11
2025-07-28,1.06,1.055,1.061,1.05,2338008,251217310.174,1.03,-0.75,-0.008,5.58
2025-07-29,1.057,1.058,1.058,1.051,2219711,238609406.492,0.66,0.28,0.003,5.3
2025-07-30,1.058,1.063,1.07,1.057,3432865,372751438.96,1.23,0.47,0.005,8.19
2025-07-31,1.059,1.038,1.059,1.032,4146380,440284151.112,2.54,-2.35,-0.025,9.89
2025-08-01,1.035,1.037,1.042,1.033,2200177,232763196.253,0.87,-0.1,-0.001,5.25
2025-08-04,1.034,1.041,1.041,1.032,1703014,179904107.875,0.87,0.39,0.004,4.06
2025-08-05,1.042,1.05,1.05,1.041,2028203,216156785.383,0.86,0.86,0.009,4.84
2025-08-06,1.049,1.055,1.056,1.047,2977515,319177503.726,0.86,0.48,0.005,7.1
2025-08-07,1.055,1.055,1.057,1.048,2417846,259634813.817,0.85,0.0,0.0,5.77
2025-08-08,1.055,1.061,1.065,1.052,2063410,222943171.212,1.23,0.57,0.006,4.92
2025-08-11,1.066,1.063,1.066,1.061,2231933,241599357.372,0.47,0.19,0.002,5.33
