# code=159825, name=农业ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.894,0.888,0.898,0.886,1450233,129324567.979,1.35,0.11,0.001,5.0
2023-01-31,0.888,0.898,0.902,0.888,1716962,153838900.1,1.58,1.13,0.01,5.92
2023-02-01,0.896,0.908,0.909,0.895,2101633,189696521.265,1.56,1.11,0.01,7.25
2023-02-02,0.91,0.91,0.913,0.9,2160848,196196584.8,1.43,0.22,0.002,7.45
2023-02-03,0.908,0.903,0.909,0.895,1565624,141081255.168,1.54,-0.77,-0.007,5.4
2023-02-06,0.894,0.897,0.9,0.89,1492262,133523482.117,1.11,-0.66,-0.006,5.15
2023-02-07,0.9,0.896,0.901,0.891,1435116,128340046.25,1.11,-0.11,-0.001,4.95
2023-02-08,0.893,0.889,0.896,0.889,1093321,97707859.968,0.78,-0.78,-0.007,3.77
2023-02-09,0.887,0.896,0.897,0.887,1203184,107416413.884,1.12,0.79,0.007,4.15
2023-02-10,0.895,0.898,0.9,0.892,1110508,99526853.992,0.89,0.22,0.002,3.83
2023-02-13,0.9,0.898,0.903,0.893,1309271,117477980.228,1.11,0.0,0.0,4.52
2023-02-14,0.902,0.895,0.902,0.893,1224995,109754985.7,1.0,-0.33,-0.003,4.23
2023-02-15,0.895,0.886,0.896,0.885,1262434,112108497.0,1.23,-1.01,-0.009,4.35
2023-02-16,0.886,0.875,0.892,0.869,1318724,116653392.9,2.6,-1.24,-0.011,4.55
2023-02-17,0.875,0.876,0.884,0.874,1354480,119100287.9,1.14,0.11,0.001,4.67
2023-02-20,0.877,0.887,0.888,0.869,1146897,100647941.7,2.17,1.26,0.011,3.96
2023-02-21,0.886,0.899,0.903,0.885,1344636,120441657.882,2.03,1.35,0.012,4.64
2023-02-22,0.898,0.901,0.903,0.894,1067683,96046255.8,1.0,0.22,0.002,3.68
2023-02-23,0.902,0.898,0.904,0.891,1105501,99191710.1,1.44,-0.33,-0.003,3.81
2023-02-24,0.898,0.893,0.9,0.889,883576,78973389.8,1.22,-0.56,-0.005,3.05
2023-02-27,0.892,0.898,0.901,0.888,1093558,98000222.5,1.46,0.56,0.005,3.77
2023-02-28,0.9,0.899,0.9,0.89,1203345,107738310.5,1.11,0.11,0.001,4.15
2023-03-01,0.899,0.899,0.9,0.894,960869,86216384.6,0.67,0.0,0.0,3.31
2023-03-02,0.899,0.895,0.902,0.894,838375,75220035.986,0.89,-0.44,-0.004,2.89
2023-03-03,0.897,0.895,0.897,0.887,927225,82675639.9,1.12,0.0,0.0,3.2
2023-03-06,0.897,0.892,0.897,0.888,1404105,125304492.628,1.01,-0.34,-0.003,4.84
2023-03-07,0.892,0.875,0.892,0.873,1096187,96776794.35,2.13,-1.91,-0.017,3.78
2023-03-08,0.872,0.873,0.874,0.868,1683468,146546227.342,0.69,-0.23,-0.002,5.81
2023-03-09,0.872,0.866,0.875,0.864,1376241,119454620.644,1.26,-0.8,-0.007,4.75
2023-03-10,0.865,0.858,0.865,0.854,946746,81188780.855,1.27,-0.92,-0.008,3.27
2023-03-13,0.856,0.862,0.862,0.851,875692,75050223.4,1.28,0.47,0.004,3.02
2023-03-14,0.862,0.876,0.879,0.86,1482526,129375756.296,2.2,1.62,0.014,5.11
2023-03-15,0.875,0.879,0.886,0.873,968726,85143513.996,1.48,0.34,0.003,3.34
2023-03-16,0.877,0.858,0.877,0.856,884670,76466268.3,2.39,-2.39,-0.021,3.05
2023-03-17,0.86,0.857,0.862,0.854,849157,72842914.176,0.93,-0.12,-0.001,2.93
2023-03-20,0.857,0.846,0.857,0.844,1116332,94567977.2,1.52,-1.28,-0.011,3.85
2023-03-21,0.848,0.85,0.851,0.845,947534,80346563.921,0.71,0.47,0.004,3.27
2023-03-22,0.851,0.853,0.855,0.847,1177581,100350491.5,0.94,0.35,0.003,4.06
2023-03-23,0.853,0.853,0.855,0.847,849495,72200979.154,0.94,0.0,0.0,2.93
2023-03-24,0.852,0.85,0.854,0.849,1028034,87501564.2,0.59,-0.35,-0.003,3.55
2023-03-27,0.85,0.855,0.855,0.844,1105245,93879013.753,1.29,0.59,0.005,3.81
2023-03-28,0.855,0.858,0.863,0.852,969744,83217725.3,1.29,0.35,0.003,3.35
2023-03-29,0.858,0.846,0.858,0.844,1128084,95614862.4,1.63,-1.4,-0.012,3.89
2023-03-30,0.846,0.849,0.85,0.841,1487160,125634163.551,1.06,0.35,0.003,5.13
2023-03-31,0.853,0.863,0.874,0.853,1680835,145529005.859,2.47,1.65,0.014,5.8
2023-04-03,0.862,0.869,0.878,0.86,1498590,130529479.488,2.09,0.7,0.006,5.17
2023-04-04,0.87,0.877,0.885,0.867,1250690,109686662.1,2.07,0.92,0.008,4.31
2023-04-06,0.877,0.872,0.884,0.868,1485796,129634742.125,1.82,-0.57,-0.005,5.13
2023-04-07,0.874,0.869,0.875,0.866,1061962,92278747.209,1.03,-0.34,-0.003,3.66
2023-04-10,0.867,0.865,0.873,0.86,1997273,172670433.0,1.5,-0.46,-0.004,6.89
2023-04-11,0.864,0.861,0.864,0.856,1232720,105911029.5,0.92,-0.46,-0.004,4.25
2023-04-12,0.861,0.852,0.862,0.849,1371804,117003535.9,1.51,-1.05,-0.009,4.73
2023-04-13,0.851,0.849,0.851,0.845,1879356,159404675.4,0.7,-0.35,-0.003,6.48
2023-04-14,0.85,0.844,0.851,0.84,3198980,269958188.948,1.3,-0.59,-0.005,11.03
2023-04-17,0.845,0.849,0.849,0.841,2119359,178993218.5,0.95,0.59,0.005,7.31
2023-04-18,0.849,0.85,0.851,0.845,1727523,146513350.204,0.71,0.12,0.001,5.96
2023-04-19,0.849,0.845,0.853,0.84,1945946,164724249.444,1.53,-0.59,-0.005,6.71
2023-04-20,0.845,0.838,0.846,0.835,1695929,142295182.6,1.3,-0.83,-0.007,5.85
2023-04-21,0.839,0.831,0.845,0.83,1540712,128880388.17,1.79,-0.84,-0.007,5.31
2023-04-24,0.83,0.819,0.831,0.814,1391589,114236045.051,2.05,-1.44,-0.012,4.8
2023-04-25,0.819,0.817,0.824,0.809,1395091,113689472.0,1.83,-0.24,-0.002,4.81
2023-04-26,0.816,0.822,0.823,0.813,1080481,88684421.126,1.22,0.61,0.005,3.73
2023-04-27,0.822,0.82,0.823,0.816,954625,78204059.857,0.85,-0.24,-0.002,3.29
2023-04-28,0.82,0.823,0.824,0.817,1387106,113736482.2,0.85,0.37,0.003,4.78
2023-05-04,0.821,0.817,0.821,0.815,1099104,89798379.065,0.73,-0.73,-0.006,3.79
2023-05-05,0.816,0.807,0.817,0.801,1758321,141940134.73,1.96,-1.22,-0.01,6.07
2023-05-08,0.805,0.804,0.808,0.8,1155250,92753723.102,0.99,-0.37,-0.003,3.98
2023-05-09,0.804,0.804,0.809,0.798,1649951,132625919.202,1.37,0.0,0.0,5.69
2023-05-10,0.803,0.8,0.804,0.796,1313629,105012155.0,1.0,-0.5,-0.004,4.53
2023-05-11,0.801,0.802,0.807,0.799,1115353,89512181.5,1.0,0.25,0.002,3.85
2023-05-12,0.803,0.798,0.806,0.797,1132865,90658352.3,1.12,-0.5,-0.004,3.91
2023-05-15,0.8,0.796,0.8,0.788,1521121,120501473.552,1.5,-0.25,-0.002,5.25
2023-05-16,0.796,0.792,0.797,0.791,1199109,95126059.9,0.75,-0.5,-0.004,4.14
2023-05-17,0.793,0.791,0.793,0.788,950221,75085806.814,0.63,-0.13,-0.001,3.28
2023-05-18,0.792,0.775,0.793,0.773,2525263,197201597.586,2.53,-2.02,-0.016,8.71
2023-05-19,0.773,0.774,0.774,0.766,1250683,96301112.1,1.03,-0.13,-0.001,4.31
2023-05-22,0.774,0.779,0.779,0.769,1356688,105088259.971,1.29,0.65,0.005,4.68
2023-05-23,0.778,0.774,0.781,0.774,1091630,84912583.8,0.9,-0.64,-0.005,3.77
2023-05-24,0.774,0.769,0.774,0.768,958674,73879180.271,0.78,-0.65,-0.005,3.31
2023-05-25,0.767,0.761,0.768,0.755,1485702,113153964.8,1.69,-1.04,-0.008,5.12
2023-05-26,0.761,0.758,0.762,0.752,1282294,96863664.6,1.31,-0.39,-0.003,4.42
2023-05-29,0.758,0.752,0.763,0.748,1235654,93079176.1,1.98,-0.79,-0.006,4.26
2023-05-30,0.752,0.746,0.754,0.737,1797814,133825647.93,2.26,-0.8,-0.006,6.2
2023-05-31,0.745,0.737,0.745,0.733,1413005,104457761.5,1.61,-1.21,-0.009,4.87
2023-06-01,0.735,0.741,0.745,0.731,1931987,142753994.29,1.9,0.54,0.004,6.66
2023-06-02,0.74,0.748,0.749,0.739,1351348,100701752.8,1.35,0.94,0.007,4.66
2023-06-05,0.748,0.743,0.75,0.736,4287443,317898883.0,1.87,-0.67,-0.005,14.79
2023-06-06,0.743,0.732,0.743,0.732,1106371,81580203.4,1.48,-1.48,-0.011,3.82
2023-06-07,0.733,0.731,0.734,0.728,1035540,75689666.6,0.82,-0.14,-0.001,3.57
2023-06-08,0.731,0.746,0.748,0.729,4908146,365392207.3,2.6,2.05,0.015,16.93
2023-06-09,0.746,0.745,0.746,0.738,1378906,102278411.1,1.07,-0.13,-0.001,4.76
2023-06-12,0.745,0.749,0.751,0.74,1570751,117178984.29,1.48,0.54,0.004,5.42
2023-06-13,0.747,0.745,0.753,0.743,1259310,93934905.0,1.34,-0.53,-0.004,4.34
2023-06-14,0.746,0.742,0.747,0.742,945699,70342076.2,0.67,-0.4,-0.003,3.26
2023-06-15,0.744,0.748,0.749,0.739,1361007,101207401.0,1.35,0.81,0.006,4.69
2023-06-16,0.749,0.757,0.759,0.748,1522429,114903660.655,1.47,1.2,0.009,5.25
2023-06-19,0.757,0.756,0.766,0.753,1625831,123555790.9,1.72,-0.13,-0.001,5.61
2023-06-20,0.755,0.751,0.758,0.751,3887297,293656954.4,0.93,-0.66,-0.005,13.41
2023-06-21,0.752,0.744,0.755,0.744,1285004,96132967.561,1.46,-0.93,-0.007,4.43
2023-06-26,0.742,0.74,0.747,0.736,1413412,104681128.752,1.48,-0.54,-0.004,4.88
2023-06-27,0.74,0.75,0.75,0.74,1335509,99606751.338,1.35,1.35,0.01,4.61
2023-06-28,0.75,0.749,0.75,0.742,1123570,83789766.4,1.07,-0.13,-0.001,3.88
2023-06-29,0.746,0.753,0.76,0.745,1807827,136234700.1,2.0,0.53,0.004,6.24
2023-06-30,0.754,0.76,0.762,0.749,1519078,115178354.396,1.73,0.93,0.007,5.24
2023-07-03,0.76,0.763,0.763,0.758,1266733,96326107.0,0.66,0.39,0.003,4.37
2023-07-04,0.764,0.762,0.765,0.756,1114215,84577104.3,1.18,-0.13,-0.001,3.84
2023-07-05,0.76,0.753,0.761,0.751,1217549,91752646.5,1.31,-1.18,-0.009,4.2
2023-07-06,0.751,0.757,0.762,0.749,1300668,98127524.68,1.73,0.53,0.004,4.49
2023-07-07,0.754,0.767,0.77,0.753,2166856,165501385.0,2.25,1.32,0.01,7.47
2023-07-10,0.767,0.767,0.774,0.764,1534703,117952222.899,1.3,0.0,0.0,5.29
2023-07-11,0.768,0.77,0.771,0.763,1673416,128296178.2,1.04,0.39,0.003,5.77
2023-07-12,0.768,0.771,0.776,0.765,1392323,107419294.5,1.43,0.13,0.001,4.8
2023-07-13,0.772,0.775,0.776,0.769,1177096,91085089.192,0.91,0.52,0.004,4.06
2023-07-14,0.775,0.772,0.777,0.772,1093262,84588080.719,0.65,-0.39,-0.003,3.77
2023-07-17,0.77,0.781,0.784,0.769,1314303,102270620.12,1.94,1.17,0.009,4.53
2023-07-18,0.782,0.785,0.787,0.779,1436221,112547454.167,1.02,0.51,0.004,4.95
2023-07-19,0.785,0.785,0.79,0.781,1177241,92448987.9,1.15,0.0,0.0,4.06
2023-07-20,0.785,0.784,0.792,0.783,1197140,94414460.33,1.15,-0.13,-0.001,4.13
2023-07-21,0.785,0.795,0.798,0.785,2085515,165582343.888,1.66,1.4,0.011,7.19
2023-07-24,0.795,0.782,0.798,0.78,1560311,122553501.8,2.26,-1.64,-0.013,5.38
2023-07-25,0.782,0.779,0.786,0.776,1707263,132863290.021,1.28,-0.38,-0.003,5.89
2023-07-26,0.777,0.783,0.783,0.777,1201701,93834660.8,0.77,0.51,0.004,4.15
2023-07-27,0.782,0.784,0.789,0.781,1078340,84734359.3,1.02,0.13,0.001,3.72
2023-07-28,0.784,0.791,0.792,0.78,1281862,100970673.672,1.53,0.89,0.007,4.42
2023-07-31,0.794,0.806,0.807,0.794,2451966,196206228.386,1.64,1.9,0.015,8.46
2023-08-01,0.804,0.797,0.805,0.795,1806120,144237260.866,1.24,-1.12,-0.009,6.23
2023-08-02,0.797,0.786,0.797,0.782,1406062,110793674.264,1.88,-1.38,-0.011,4.85
2023-08-03,0.785,0.79,0.79,0.783,818158,64400993.7,0.89,0.51,0.004,2.82
2023-08-04,0.791,0.786,0.794,0.784,1060628,83546042.4,1.27,-0.51,-0.004,3.66
2023-08-07,0.786,0.787,0.792,0.786,1538389,121233404.1,0.76,0.13,0.001,5.31
2023-08-08,0.787,0.784,0.788,0.776,1302030,101644636.077,1.52,-0.38,-0.003,4.49
2023-08-09,0.78,0.776,0.782,0.774,1136551,88374866.878,1.02,-1.02,-0.008,3.92
2023-08-10,0.777,0.783,0.785,0.776,952897,74407830.1,1.16,0.9,0.007,3.29
2023-08-11,0.783,0.767,0.784,0.766,1219789,94244315.6,2.3,-2.04,-0.016,4.21
2023-08-14,0.765,0.764,0.765,0.753,1189245,90191895.5,1.56,-0.39,-0.003,4.1
2023-08-15,0.764,0.763,0.767,0.757,904719,68979331.0,1.31,-0.13,-0.001,3.12
2023-08-16,0.76,0.759,0.765,0.758,713167,54297161.5,0.92,-0.52,-0.004,2.46
2023-08-17,0.757,0.763,0.764,0.751,988700,74796862.5,1.71,0.53,0.004,3.41
2023-08-18,0.763,0.75,0.763,0.75,898393,67930659.3,1.7,-1.7,-0.013,3.1
2023-08-21,0.752,0.741,0.752,0.74,943701,70374304.8,1.6,-1.2,-0.009,3.26
2023-08-22,0.742,0.738,0.745,0.729,1535524,113082301.9,2.16,-0.4,-0.003,5.3
2023-08-23,0.736,0.729,0.74,0.729,1000223,73551302.573,1.49,-1.22,-0.009,3.45
