# code=159837, name=生物科技ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.673,0.654,0.674,0.653,1059513,69838629.252,3.17,-1.36,-0.009,3.7
2023-01-31,0.654,0.639,0.657,0.638,770837,49804401.576,2.91,-2.29,-0.015,2.69
2023-02-01,0.643,0.644,0.644,0.633,745438,47595926.263,1.72,0.78,0.005,2.6
2023-02-02,0.645,0.65,0.658,0.641,1202207,78261388.365,2.64,0.93,0.006,4.2
2023-02-03,0.647,0.644,0.651,0.639,775853,50052895.6,1.85,-0.92,-0.006,2.71
2023-02-06,0.641,0.633,0.641,0.63,749241,47574050.8,1.71,-1.71,-0.011,2.62
2023-02-07,0.629,0.632,0.639,0.628,627757,39800601.6,1.74,-0.16,-0.001,2.19
2023-02-08,0.633,0.633,0.64,0.631,833254,52997601.8,1.42,0.16,0.001,2.91
2023-02-09,0.633,0.64,0.64,0.631,886310,56369734.9,1.42,1.11,0.007,3.1
2023-02-10,0.64,0.638,0.643,0.632,703694,44892713.6,1.72,-0.31,-0.002,2.46
2023-02-13,0.637,0.641,0.649,0.637,837165,53771168.664,1.88,0.47,0.003,2.92
2023-02-14,0.641,0.641,0.644,0.638,605485,38781295.184,0.94,0.0,0.0,2.12
2023-02-15,0.641,0.632,0.643,0.63,580634,36868147.803,2.03,-1.4,-0.009,2.03
2023-02-16,0.631,0.625,0.637,0.619,985163,62146172.109,2.85,-1.11,-0.007,3.44
2023-02-17,0.623,0.622,0.63,0.62,966158,60466124.36,1.6,-0.48,-0.003,3.38
2023-02-20,0.625,0.632,0.633,0.616,865321,53994312.593,2.73,1.61,0.01,3.02
2023-02-21,0.632,0.629,0.633,0.626,644501,40537182.431,1.11,-0.47,-0.003,2.25
2023-02-22,0.627,0.625,0.633,0.624,615642,38660846.955,1.43,-0.64,-0.004,2.15
2023-02-23,0.627,0.622,0.631,0.62,757021,47259753.253,1.76,-0.48,-0.003,2.64
2023-02-24,0.623,0.616,0.623,0.615,733358,45321920.3,1.29,-0.96,-0.006,2.56
2023-02-27,0.617,0.611,0.618,0.608,826754,50563705.924,1.62,-0.81,-0.005,2.89
2023-02-28,0.612,0.616,0.619,0.611,686731,42226414.737,1.31,0.82,0.005,2.4
2023-03-01,0.617,0.618,0.619,0.611,1054068,64936162.163,1.3,0.32,0.002,3.68
2023-03-02,0.618,0.611,0.618,0.611,591012,36303344.4,1.13,-1.13,-0.007,2.06
2023-03-03,0.613,0.614,0.62,0.61,608383,37375449.4,1.64,0.49,0.003,2.13
2023-03-06,0.614,0.613,0.615,0.609,782551,47884331.047,0.98,-0.16,-0.001,2.73
2023-03-07,0.613,0.602,0.616,0.601,873624,53132297.875,2.45,-1.79,-0.011,3.05
2023-03-08,0.601,0.599,0.602,0.597,647457,38813360.7,0.83,-0.5,-0.003,2.26
2023-03-09,0.602,0.602,0.605,0.6,617046,37191146.312,0.83,0.5,0.003,2.16
2023-03-10,0.601,0.604,0.609,0.597,747723,45120066.204,1.99,0.33,0.002,2.61
2023-03-13,0.603,0.599,0.603,0.595,618377,37013880.45,1.32,-0.83,-0.005,2.16
2023-03-14,0.599,0.598,0.607,0.595,706005,42420883.404,2.0,-0.17,-0.001,2.47
2023-03-15,0.6,0.6,0.607,0.598,559787,33732264.168,1.51,0.33,0.002,1.96
2023-03-16,0.597,0.592,0.6,0.591,615671,36656722.4,1.5,-1.33,-0.008,2.15
2023-03-17,0.597,0.583,0.597,0.581,962019,56493061.655,2.7,-1.52,-0.009,3.36
2023-03-20,0.581,0.576,0.582,0.572,765429,44124201.311,1.72,-1.2,-0.007,2.67
2023-03-21,0.577,0.594,0.595,0.577,1118892,65925665.184,3.13,3.13,0.018,3.91
2023-03-22,0.596,0.598,0.6,0.593,640644,38245950.929,1.18,0.67,0.004,2.24
2023-03-23,0.595,0.597,0.6,0.593,579389,34523516.666,1.17,-0.17,-0.001,2.02
2023-03-24,0.599,0.592,0.601,0.591,529763,31524090.973,1.68,-0.84,-0.005,1.85
2023-03-27,0.594,0.601,0.606,0.586,956892,57188082.588,3.38,1.52,0.009,3.34
2023-03-28,0.6,0.595,0.601,0.593,529993,31638774.327,1.33,-1.0,-0.006,1.85
2023-03-29,0.596,0.589,0.597,0.587,507655,29961025.341,1.68,-1.01,-0.006,1.77
2023-03-30,0.592,0.589,0.592,0.583,503551,29584930.733,1.53,0.0,0.0,1.76
2023-03-31,0.59,0.586,0.59,0.583,655123,38342744.937,1.19,-0.51,-0.003,2.29
2023-04-03,0.585,0.58,0.586,0.578,956691,55585730.255,1.37,-1.02,-0.006,3.34
2023-04-04,0.582,0.583,0.583,0.577,710142,41207484.938,1.03,0.52,0.003,2.48
2023-04-06,0.584,0.589,0.589,0.58,612235,35867385.125,1.54,1.03,0.006,2.14
2023-04-07,0.589,0.608,0.608,0.588,1210414,73012129.269,3.4,3.23,0.019,4.23
2023-04-10,0.608,0.61,0.618,0.608,997324,61207395.769,1.64,0.33,0.002,3.48
2023-04-11,0.612,0.607,0.615,0.603,555135,33768004.032,1.97,-0.49,-0.003,1.94
2023-04-12,0.609,0.606,0.614,0.603,519805,31519363.406,1.81,-0.16,-0.001,1.82
2023-04-13,0.606,0.619,0.621,0.599,1305621,80180477.436,3.63,2.15,0.013,4.56
2023-04-14,0.619,0.619,0.63,0.615,858500,53314449.214,2.42,0.0,0.0,3.0
2023-04-17,0.617,0.621,0.624,0.614,705982,43738844.444,1.62,0.32,0.002,2.47
2023-04-18,0.615,0.614,0.619,0.611,630330,38721802.392,1.29,-1.13,-0.007,2.2
2023-04-19,0.612,0.607,0.614,0.605,589178,35792647.627,1.47,-1.14,-0.007,2.06
2023-04-20,0.607,0.598,0.608,0.595,732377,43936937.2,2.14,-1.48,-0.009,2.56
2023-04-21,0.599,0.589,0.6,0.589,816802,48559049.778,1.84,-1.51,-0.009,2.85
2023-04-24,0.591,0.588,0.599,0.585,799829,47356308.648,2.38,-0.17,-0.001,2.79
2023-04-25,0.592,0.57,0.592,0.566,1090111,62616988.769,4.42,-3.06,-0.018,3.81
2023-04-26,0.57,0.572,0.575,0.567,633196,36201373.8,1.4,0.35,0.002,2.21
2023-04-27,0.573,0.574,0.578,0.569,575253,32957816.284,1.57,0.35,0.002,2.01
2023-04-28,0.577,0.579,0.582,0.572,624891,36064254.578,1.74,0.87,0.005,2.18
2023-05-04,0.579,0.578,0.582,0.575,492341,28474618.283,1.21,-0.17,-0.001,1.72
2023-05-05,0.578,0.568,0.578,0.567,626896,35732771.934,1.9,-1.73,-0.01,2.19
2023-05-08,0.567,0.565,0.57,0.558,812326,45696226.279,2.11,-0.53,-0.003,2.84
2023-05-09,0.565,0.555,0.565,0.554,713517,39847176.839,1.95,-1.77,-0.01,2.49
2023-05-10,0.554,0.556,0.559,0.55,739608,41060406.516,1.62,0.18,0.001,2.58
2023-05-11,0.557,0.558,0.566,0.556,609507,34197037.817,1.8,0.36,0.002,2.13
2023-05-12,0.559,0.554,0.563,0.554,415941,23181171.5,1.61,-0.72,-0.004,1.45
2023-05-15,0.554,0.566,0.567,0.552,623893,34879156.758,2.71,2.17,0.012,2.18
2023-05-16,0.567,0.57,0.574,0.566,713387,40698553.184,1.41,0.71,0.004,2.49
2023-05-17,0.57,0.566,0.571,0.565,393520,22302835.198,1.05,-0.7,-0.004,1.37
2023-05-18,0.568,0.562,0.57,0.558,471760,26540019.19,2.12,-0.71,-0.004,1.65
2023-05-19,0.56,0.567,0.57,0.558,428176,24181795.901,2.14,0.89,0.005,1.5
2023-05-22,0.567,0.57,0.573,0.566,448720,25521045.37,1.23,0.53,0.003,1.57
2023-05-23,0.569,0.571,0.578,0.569,649957,37362665.153,1.58,0.18,0.001,2.27
2023-05-24,0.571,0.563,0.571,0.563,496246,28069525.37,1.4,-1.4,-0.008,1.73
2023-05-25,0.563,0.56,0.565,0.557,394117,22076855.148,1.42,-0.53,-0.003,1.38
2023-05-26,0.561,0.561,0.567,0.56,484644,27283025.375,1.25,0.18,0.001,1.69
2023-05-29,0.562,0.561,0.566,0.556,448688,25121686.312,1.78,0.0,0.0,1.57
2023-05-30,0.56,0.556,0.563,0.548,523764,29050717.688,2.67,-0.89,-0.005,1.83
2023-05-31,0.555,0.546,0.559,0.545,592191,32575582.979,2.52,-1.8,-0.01,2.07
2023-06-01,0.546,0.551,0.556,0.544,443804,24434302.4,2.2,0.92,0.005,1.55
2023-06-02,0.551,0.553,0.554,0.548,398211,21959458.151,1.09,0.36,0.002,1.39
2023-06-05,0.553,0.549,0.553,0.546,422265,23140745.259,1.27,-0.72,-0.004,1.48
2023-06-06,0.55,0.537,0.55,0.536,549497,29743369.755,2.55,-2.19,-0.012,1.92
2023-06-07,0.538,0.528,0.54,0.526,619543,32955827.182,2.61,-1.68,-0.009,2.16
2023-06-08,0.527,0.524,0.528,0.522,494823,25963351.581,1.14,-0.76,-0.004,1.73
2023-06-09,0.524,0.531,0.532,0.524,537596,28426461.568,1.53,1.34,0.007,1.88
2023-06-12,0.532,0.531,0.533,0.526,603353,31968926.935,1.32,0.0,0.0,2.11
2023-06-13,0.533,0.53,0.534,0.527,377579,20004451.18,1.32,-0.19,-0.001,1.32
2023-06-14,0.53,0.53,0.535,0.529,436524,23214173.9,1.13,0.0,0.0,1.53
2023-06-15,0.532,0.541,0.542,0.529,599061,32135565.998,2.45,2.08,0.011,2.09
2023-06-16,0.542,0.544,0.547,0.541,608368,33050304.737,1.11,0.55,0.003,2.13
2023-06-19,0.545,0.538,0.545,0.537,494420,26704021.862,1.47,-1.1,-0.006,1.73
2023-06-20,0.541,0.536,0.541,0.534,359752,19342500.281,1.3,-0.37,-0.002,1.26
2023-06-21,0.535,0.522,0.535,0.52,815313,42784280.523,2.8,-2.61,-0.014,2.85
2023-06-26,0.518,0.518,0.522,0.516,533371,27642654.953,1.15,-0.77,-0.004,1.86
2023-06-27,0.519,0.522,0.525,0.518,466857,24302040.96,1.35,0.77,0.004,1.63
2023-06-28,0.522,0.517,0.522,0.514,463467,23941287.714,1.53,-0.96,-0.005,1.62
2023-06-29,0.517,0.514,0.52,0.513,488200,25189713.993,1.35,-0.58,-0.003,1.71
2023-06-30,0.516,0.52,0.524,0.515,489730,25485456.248,1.75,1.17,0.006,1.71
2023-07-03,0.521,0.523,0.526,0.52,540756,28271758.322,1.15,0.58,0.003,1.89
2023-07-04,0.524,0.528,0.533,0.518,984035,51738138.65,2.87,0.96,0.005,3.44
2023-07-05,0.528,0.525,0.53,0.524,477531,25113877.784,1.14,-0.57,-0.003,1.67
2023-07-06,0.525,0.518,0.526,0.517,404827,21071309.02,1.71,-1.33,-0.007,1.41
2023-07-07,0.516,0.516,0.519,0.515,430223,22215240.615,0.77,-0.39,-0.002,1.5
2023-07-10,0.518,0.52,0.526,0.517,454477,23691545.737,1.74,0.78,0.004,1.59
2023-07-11,0.521,0.523,0.524,0.518,361581,18848038.764,1.15,0.58,0.003,1.26
2023-07-12,0.522,0.519,0.525,0.518,376502,19650419.479,1.34,-0.76,-0.004,1.32
2023-07-13,0.521,0.529,0.531,0.52,628019,33081588.82,2.12,1.93,0.01,2.19
2023-07-14,0.528,0.528,0.529,0.525,414865,21860132.455,0.76,-0.19,-0.001,1.45
2023-07-17,0.525,0.52,0.527,0.518,452873,23573835.72,1.7,-1.52,-0.008,1.58
2023-07-18,0.52,0.522,0.523,0.518,365182,18999872.347,0.96,0.38,0.002,1.28
2023-07-19,0.521,0.519,0.524,0.518,318468,16553568.286,1.15,-0.57,-0.003,1.11
2023-07-20,0.521,0.517,0.524,0.516,385389,20024760.966,1.54,-0.39,-0.002,1.35
2023-07-21,0.518,0.524,0.528,0.517,559873,29348220.65,2.13,1.35,0.007,1.96
2023-07-24,0.524,0.525,0.531,0.522,1013547,53378622.4,1.72,0.19,0.001,3.54
2023-07-25,0.527,0.529,0.531,0.525,1015467,53738244.428,1.14,0.76,0.004,3.55
2023-07-26,0.529,0.54,0.541,0.528,1132679,60928304.227,2.46,2.08,0.011,3.96
2023-07-27,0.54,0.539,0.543,0.537,902089,48760714.391,1.11,-0.19,-0.001,3.15
2023-07-28,0.539,0.547,0.548,0.536,1180395,63921630.997,2.23,1.48,0.008,4.12
