# code=159901, name=深证100ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-20,3.111,3.113,3.123,3.099,643522,205762337.889,0.77,0.32,0.01,3.5
2023-01-30,3.191,3.151,3.198,3.148,571173,185834486.13,1.61,1.22,0.038,3.11
2023-01-31,3.15,3.111,3.156,3.102,919915,295013425.219,1.71,-1.27,-0.04,5.0
2023-02-01,3.113,3.146,3.146,3.097,608609,195322364.18,1.58,1.13,0.035,3.31
2023-02-02,3.152,3.127,3.154,3.119,389990,125649537.58,1.11,-0.6,-0.019,2.12
2023-02-03,3.11,3.105,3.115,3.068,920576,292628549.243,1.5,-0.7,-0.022,5.01
2023-02-06,3.091,3.053,3.091,3.032,639945,200736266.98,1.9,-1.67,-0.052,3.48
2023-02-07,3.057,3.055,3.07,3.04,474146,149080811.311,0.98,0.07,0.002,2.58
2023-02-08,3.065,3.036,3.068,3.034,299435,93825204.84,1.11,-0.62,-0.019,1.63
2023-02-09,3.021,3.089,3.091,3.021,535779,169020208.4,2.31,1.75,0.053,2.91
2023-02-10,3.089,3.063,3.089,3.05,337446,106374890.5,1.26,-0.84,-0.026,1.84
2023-02-13,3.048,3.1,3.103,3.048,867003,274946029.6,1.8,1.21,0.037,4.72
2023-02-14,3.102,3.094,3.112,3.077,423289,134370325.0,1.13,-0.19,-0.006,2.3
2023-02-15,3.094,3.078,3.105,3.072,359470,113906157.7,1.07,-0.52,-0.016,1.96
2023-02-16,3.086,3.036,3.112,3.023,559054,176843717.633,2.89,-1.36,-0.042,3.04
2023-02-17,3.029,2.987,3.047,2.982,665143,206721802.9,2.14,-1.61,-0.049,3.62
2023-02-20,2.987,3.055,3.058,2.976,820797,255020702.878,2.75,2.28,0.068,4.47
2023-02-21,3.054,3.048,3.064,3.031,627621,196772500.489,1.08,-0.23,-0.007,3.41
2023-02-22,3.036,3.024,3.047,3.016,584458,181815102.5,1.02,-0.79,-0.024,3.18
2023-02-23,3.024,3.029,3.046,3.014,496778,154772137.3,1.06,0.17,0.005,2.7
2023-02-24,3.025,2.991,3.025,2.979,419041,129054038.848,1.52,-1.25,-0.038,2.28
2023-02-27,2.978,2.975,2.993,2.962,358727,109910422.927,1.04,-0.53,-0.016,1.95
2023-02-28,2.977,2.999,2.999,2.961,318527,97719228.75,1.28,0.81,0.024,1.73
2023-03-01,2.995,3.031,3.04,2.984,490853,152303280.78,1.87,1.07,0.032,2.67
2023-03-02,3.032,3.017,3.038,3.009,271238,84308359.262,0.96,-0.46,-0.014,1.48
2023-03-03,3.027,3.016,3.034,2.994,349275,108268928.933,1.33,-0.03,-0.001,1.9
2023-03-06,3.011,3.006,3.015,2.979,913544,281675461.189,1.19,-0.33,-0.01,4.97
2023-03-07,3.004,2.945,3.007,2.945,576224,176814501.825,2.06,-2.03,-0.061,3.13
2023-03-08,2.94,2.933,2.945,2.918,452061,136380769.6,0.92,-0.41,-0.012,2.46
2023-03-09,2.943,2.933,2.95,2.916,432736,130715417.58,1.16,0.0,0.0,2.35
2023-03-10,2.918,2.897,2.924,2.895,561344,167965402.8,0.99,-1.23,-0.036,3.05
2023-03-13,2.895,2.913,2.92,2.889,320167,95729282.2,1.07,0.55,0.016,1.74
2023-03-14,2.913,2.889,2.913,2.856,436474,129650997.228,1.96,-0.82,-0.024,2.37
2023-03-15,2.903,2.885,2.925,2.883,362660,108371298.037,1.45,-0.14,-0.004,1.97
2023-03-16,2.875,2.841,2.885,2.831,487641,143396220.36,1.87,-1.53,-0.044,2.65
2023-03-17,2.87,2.844,2.88,2.831,598310,175990575.1,1.72,0.11,0.003,3.25
2023-03-20,2.844,2.839,2.867,2.831,551109,161596550.62,1.27,-0.18,-0.005,3.0
2023-03-21,2.855,2.877,2.884,2.844,516881,152500097.305,1.41,1.34,0.038,2.81
2023-03-22,2.885,2.902,2.914,2.885,978389,291913671.669,1.01,0.87,0.025,5.32
2023-03-23,2.892,2.928,2.931,2.886,370373,111222668.354,1.55,0.9,0.026,2.01
2023-03-24,2.928,2.937,2.94,2.919,368262,111052990.97,0.72,0.31,0.009,2.0
2023-03-27,2.935,2.938,2.942,2.913,588235,177419266.4,0.99,0.03,0.001,3.2
2023-03-28,2.942,2.916,2.942,2.915,340898,102699892.454,0.92,-0.75,-0.022,1.85
2023-03-29,2.925,2.932,2.942,2.924,371079,112020527.5,0.62,0.55,0.016,2.02
2023-03-30,2.934,2.962,2.962,2.915,415229,125770904.751,1.6,1.02,0.03,2.26
2023-03-31,2.97,2.97,2.981,2.962,296284,90560104.374,0.64,0.27,0.008,1.61
2023-04-03,2.973,3.009,3.012,2.973,387627,119363351.833,1.31,1.31,0.039,2.11
2023-04-04,3.011,2.998,3.012,2.978,393813,121158437.749,1.13,-0.37,-0.011,2.14
2023-04-06,2.987,2.988,2.992,2.97,337669,103563989.184,0.73,-0.33,-0.01,1.84
2023-04-07,2.988,3.016,3.025,2.986,386137,119646791.955,1.31,0.94,0.028,2.1
2023-04-10,3.024,2.991,3.024,2.985,383329,118274852.984,1.29,-0.83,-0.025,2.09
2023-04-11,2.995,2.989,3.009,2.977,357571,110120581.64,1.07,-0.07,-0.002,1.95
2023-04-12,2.992,2.977,2.992,2.972,445260,136485306.06,0.67,-0.4,-0.012,2.42
2023-04-13,2.98,2.944,2.98,2.937,556001,168727216.466,1.44,-1.11,-0.033,3.02
2023-04-14,2.95,2.955,2.962,2.947,287488,87369746.466,0.51,0.37,0.011,1.56
2023-04-17,2.954,2.98,2.98,2.952,328098,100191013.31,0.95,0.85,0.025,1.78
2023-04-18,2.978,2.98,2.999,2.974,296313,90962991.687,0.84,0.0,0.0,1.61
2023-04-19,2.978,2.948,2.984,2.945,272440,82959990.7,1.31,-1.07,-0.032,1.48
2023-04-20,2.943,2.932,2.949,2.919,354834,107168714.9,1.02,-0.54,-0.016,1.93
2023-04-21,2.936,2.875,2.945,2.871,448211,134151632.851,2.52,-1.94,-0.057,2.44
2023-04-24,2.86,2.83,2.874,2.812,639071,187585934.62,2.16,-1.57,-0.045,3.48
2023-04-25,2.84,2.792,2.841,2.768,580076,167081691.58,2.58,-1.34,-0.038,3.16
2023-04-26,2.789,2.807,2.82,2.777,813914,235248281.4,1.54,0.54,0.015,4.43
2023-04-27,2.808,2.822,2.832,2.799,341105,99006964.18,1.18,0.53,0.015,1.86
2023-04-28,2.836,2.848,2.851,2.831,424528,124185722.5,0.71,0.92,0.026,2.31
2023-05-04,2.841,2.818,2.843,2.812,392154,114091313.1,1.09,-1.05,-0.03,2.13
2023-05-05,2.821,2.808,2.821,2.784,294898,85246249.76,1.31,-0.35,-0.01,1.6
2023-05-08,2.824,2.819,2.824,2.793,376104,108860462.6,1.1,0.39,0.011,2.05
2023-05-09,2.82,2.796,2.834,2.792,445845,129096286.124,1.49,-0.82,-0.023,2.43
2023-05-10,2.791,2.8,2.811,2.773,450912,129609199.832,1.36,0.14,0.004,2.45
2023-05-11,2.803,2.806,2.827,2.802,355007,102885164.1,0.89,0.21,0.006,1.93
2023-05-12,2.807,2.767,2.817,2.767,422189,121439012.038,1.78,-1.39,-0.039,2.3
2023-05-15,2.769,2.823,2.824,2.767,637581,183971465.102,2.06,2.02,0.056,3.47
2023-05-16,2.834,2.804,2.834,2.795,474761,137529554.4,1.38,-0.67,-0.019,2.58
2023-05-17,2.803,2.797,2.81,2.784,487989,140604003.156,0.93,-0.25,-0.007,2.65
2023-05-18,2.803,2.778,2.804,2.765,523155,150373231.1,1.39,-0.68,-0.019,2.85
2023-05-19,2.775,2.783,2.799,2.765,448404,128563601.9,1.22,0.18,0.005,2.44
2023-05-22,2.783,2.801,2.812,2.77,521128,149983373.38,1.51,0.65,0.018,2.84
2023-05-23,2.808,2.769,2.808,2.769,467552,134460030.835,1.39,-1.14,-0.032,2.54
2023-05-24,2.768,2.74,2.77,2.739,795706,225979004.384,1.12,-1.05,-0.029,4.33
2023-05-25,2.739,2.734,2.749,2.711,499513,140764148.1,1.39,-0.22,-0.006,2.72
2023-05-26,2.736,2.73,2.736,2.697,406645,113968378.208,1.43,-0.15,-0.004,2.21
2023-05-29,2.727,2.69,2.739,2.679,424244,118073252.938,2.2,-1.47,-0.04,2.31
2023-05-30,2.685,2.693,2.701,2.657,437182,121005398.4,1.64,0.11,0.003,2.38
2023-05-31,2.692,2.671,2.692,2.654,459157,126533017.828,1.41,-0.82,-0.022,2.5
2023-06-01,2.671,2.688,2.703,2.659,463164,128442803.16,1.65,0.64,0.017,2.52
