# code=159905, name=深红利FTE
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-20,1.792,1.793,1.815,1.791,300818,63372589.7,1.34,0.22,0.004,3.25
2023-01-30,1.831,1.801,1.836,1.801,303158,64340596.2,1.95,0.45,0.008,3.28
2023-01-31,1.801,1.769,1.81,1.766,296881,62033804.2,2.44,-1.78,-0.032,3.21
2023-02-01,1.77,1.785,1.785,1.751,336454,69823340.0,1.92,0.9,0.016,3.64
2023-02-02,1.786,1.777,1.792,1.769,290107,60500188.3,1.29,-0.45,-0.008,3.14
2023-02-03,1.774,1.762,1.774,1.741,302045,62204192.66,1.86,-0.84,-0.015,3.27
2023-02-06,1.757,1.72,1.757,1.714,288917,58652408.2,2.44,-2.38,-0.042,3.12
2023-02-07,1.719,1.728,1.741,1.719,208881,42555701.5,1.28,0.47,0.008,2.26
2023-02-08,1.733,1.715,1.733,1.712,232944,47208078.8,1.22,-0.75,-0.013,2.52
2023-02-09,1.715,1.753,1.753,1.712,278901,57112521.3,2.39,2.22,0.038,3.02
2023-02-10,1.751,1.748,1.754,1.738,199690,40951671.201,0.91,-0.29,-0.005,2.16
2023-02-13,1.737,1.783,1.787,1.733,277310,57670953.1,3.09,2.0,0.035,3.0
2023-02-14,1.788,1.772,1.788,1.764,261193,54251066.5,1.35,-0.62,-0.011,2.82
2023-02-15,1.77,1.759,1.779,1.756,170923,35379976.3,1.3,-0.73,-0.013,1.85
2023-02-16,1.759,1.753,1.788,1.737,304921,63409423.2,2.9,-0.34,-0.006,3.3
2023-02-17,1.745,1.74,1.771,1.738,262997,54222392.4,1.88,-0.74,-0.013,2.84
2023-02-20,1.737,1.805,1.808,1.737,385370,80411631.964,4.08,3.74,0.065,4.17
2023-02-21,1.804,1.805,1.813,1.786,229221,48258664.3,1.5,0.0,0.0,2.48
2023-02-22,1.804,1.787,1.804,1.782,199133,41753562.5,1.22,-1.0,-0.018,2.15
2023-02-23,1.788,1.784,1.806,1.774,141295,29588621.4,1.79,-0.17,-0.003,1.53
2023-02-24,1.784,1.758,1.784,1.747,177732,36738848.2,2.07,-1.46,-0.026,1.92
2023-02-27,1.744,1.755,1.77,1.739,204281,42142908.4,1.76,-0.17,-0.003,2.21
2023-02-28,1.755,1.769,1.775,1.745,226486,46688451.3,1.71,0.8,0.014,2.45
2023-03-01,1.768,1.803,1.807,1.762,324944,68265566.3,2.54,1.92,0.034,3.51
2023-03-02,1.803,1.801,1.812,1.794,222075,46871024.18,1.0,-0.11,-0.002,2.4
2023-03-03,1.804,1.802,1.819,1.788,201751,42475507.7,1.72,0.06,0.001,2.18
2023-03-06,1.803,1.777,1.803,1.776,231937,48471392.207,1.5,-1.39,-0.025,2.51
2023-03-07,1.776,1.735,1.782,1.735,297070,61553712.8,2.64,-2.36,-0.042,3.21
2023-03-08,1.733,1.727,1.736,1.714,181712,36955772.1,1.27,-0.46,-0.008,1.96
2023-03-09,1.727,1.722,1.736,1.709,249997,50689473.4,1.56,-0.29,-0.005,2.7
2023-03-10,1.718,1.683,1.718,1.672,254800,50998006.3,2.67,-2.26,-0.039,2.75
2023-03-13,1.679,1.715,1.717,1.678,232764,46849140.9,2.32,1.9,0.032,2.52
2023-03-14,1.718,1.704,1.718,1.69,278131,55861474.8,1.63,-0.64,-0.011,3.01
2023-03-15,1.718,1.701,1.725,1.699,244936,49450821.5,1.53,-0.18,-0.003,2.65
2023-03-16,1.691,1.681,1.702,1.678,179752,35835789.6,1.41,-1.18,-0.02,1.94
2023-03-17,1.694,1.69,1.712,1.68,274084,54913892.0,1.9,0.54,0.009,2.96
2023-03-20,1.699,1.675,1.705,1.672,244694,48715051.8,1.95,-0.89,-0.015,2.65
2023-03-21,1.675,1.707,1.709,1.675,231924,46458053.5,2.03,1.91,0.032,2.51
2023-03-22,1.717,1.722,1.728,1.711,268321,54400822.1,1.0,0.88,0.015,2.9
2023-03-23,1.722,1.734,1.739,1.71,290603,59187457.1,1.68,0.7,0.012,3.14
2023-03-24,1.742,1.734,1.742,1.724,248247,50572452.3,1.04,0.0,0.0,2.68
2023-03-27,1.73,1.718,1.732,1.707,252866,51166797.0,1.44,-0.92,-0.016,2.73
2023-03-28,1.721,1.723,1.735,1.714,266412,54122527.8,1.22,0.29,0.005,2.88
2023-03-29,1.734,1.727,1.736,1.713,291093,59107536.1,1.33,0.23,0.004,3.15
2023-03-30,1.728,1.761,1.761,1.712,353126,72209561.606,2.84,1.97,0.034,3.82
2023-03-31,1.761,1.759,1.776,1.754,227655,47134167.6,1.25,-0.11,-0.002,2.46
2023-04-03,1.759,1.767,1.775,1.757,235437,48785215.7,1.02,0.45,0.008,2.55
2023-04-04,1.768,1.787,1.787,1.762,300597,62559124.1,1.41,1.13,0.02,3.25
2023-04-06,1.784,1.756,1.786,1.75,269507,55777925.1,2.01,-1.73,-0.031,2.91
2023-04-07,1.751,1.769,1.779,1.751,261837,54381510.1,1.59,0.74,0.013,2.83
2023-04-10,1.77,1.754,1.77,1.74,269177,55344544.1,1.7,-0.85,-0.015,2.91
2023-04-11,1.755,1.753,1.781,1.745,618217,127999034.283,2.05,-0.06,-0.001,6.68
2023-04-12,1.757,1.745,1.764,1.742,514813,105949079.852,1.25,-0.46,-0.008,5.57
2023-04-13,1.742,1.73,1.744,1.727,219090,44706068.0,0.97,-0.86,-0.015,2.37
2023-04-14,1.73,1.717,1.734,1.712,250095,50716082.4,1.27,-0.75,-0.013,2.7
2023-04-17,1.716,1.739,1.741,1.714,282868,57692244.28,1.57,1.28,0.022,3.06
2023-04-18,1.742,1.747,1.758,1.739,504003,103645249.1,1.09,0.46,0.008,5.45
2023-04-19,1.748,1.727,1.752,1.724,163781,33395113.4,1.6,-1.14,-0.02,1.77
2023-04-20,1.727,1.725,1.737,1.715,191018,38772839.7,1.27,-0.12,-0.002,2.07
2023-04-21,1.731,1.689,1.738,1.688,226095,45677961.7,2.9,-2.09,-0.036,2.44
2023-04-24,1.689,1.658,1.699,1.648,266758,52728492.82,3.02,-1.84,-0.031,2.88
2023-04-25,1.656,1.662,1.666,1.636,297303,58194274.2,1.81,0.24,0.004,3.21
2023-04-26,1.66,1.646,1.66,1.634,263907,51464719.9,1.56,-0.96,-0.016,2.85
2023-04-27,1.652,1.65,1.659,1.637,188715,36890814.1,1.34,0.24,0.004,2.04
2023-04-28,1.663,1.666,1.666,1.653,172860,33963881.8,0.79,0.97,0.016,1.87
2023-05-04,1.657,1.66,1.671,1.649,234107,46000144.1,1.32,-0.36,-0.006,2.53
2023-05-05,1.662,1.66,1.664,1.64,218065,42717027.8,1.45,0.0,0.0,2.36
2023-05-08,1.657,1.662,1.667,1.646,239363,46955706.1,1.27,0.12,0.002,2.59
2023-05-09,1.655,1.655,1.683,1.645,293596,57990957.861,2.29,-0.42,-0.007,3.17
2023-05-10,1.654,1.647,1.654,1.639,194892,38029266.2,0.91,-0.48,-0.008,2.11
2023-05-11,1.647,1.641,1.661,1.638,200758,39244620.5,1.4,-0.36,-0.006,2.17
2023-05-12,1.637,1.621,1.654,1.619,203400,39450235.1,2.13,-1.22,-0.02,2.2
2023-05-15,1.62,1.631,1.633,1.602,246763,47353213.4,1.91,0.62,0.01,2.67
2023-05-16,1.631,1.615,1.633,1.609,116574,22431782.1,1.47,-0.98,-0.016,1.26
2023-05-17,1.618,1.603,1.618,1.598,186963,35726258.6,1.24,-0.74,-0.012,2.02
2023-05-18,1.611,1.599,1.612,1.59,198488,37834639.9,1.37,-0.25,-0.004,2.15
2023-05-19,1.599,1.606,1.612,1.587,170730,32533310.6,1.56,0.44,0.007,1.85
2023-05-22,1.615,1.635,1.641,1.598,330165,63896204.5,2.68,1.81,0.029,3.57
2023-05-23,1.636,1.616,1.639,1.616,323346,62523405.0,1.41,-1.16,-0.019,3.5
2023-05-24,1.612,1.58,1.615,1.575,368529,69844639.4,2.48,-2.23,-0.036,3.98
2023-05-25,1.584,1.564,1.584,1.549,354434,66226486.4,2.22,-1.01,-0.016,3.83
2023-05-26,1.564,1.574,1.576,1.552,287995,53853671.64,1.53,0.64,0.01,3.11
2023-05-29,1.574,1.554,1.582,1.55,216492,40379418.9,2.03,-1.27,-0.02,2.34
2023-05-30,1.553,1.548,1.557,1.525,318375,58776934.3,2.06,-0.39,-0.006,3.44
2023-05-31,1.551,1.525,1.552,1.516,327851,60058172.9,2.33,-1.49,-0.023,3.54
2023-06-01,1.533,1.528,1.545,1.519,327094,60191281.6,1.7,0.2,0.003,3.54
2023-06-02,1.544,1.577,1.581,1.539,388245,72609828.6,2.75,3.21,0.049,4.2
2023-06-05,1.574,1.574,1.58,1.563,175814,33016272.4,1.08,-0.19,-0.003,1.9
2023-06-06,1.584,1.567,1.599,1.564,193454,36517533.6,2.22,-0.44,-0.007,2.09
2023-06-07,1.57,1.57,1.583,1.565,273418,51368571.4,1.15,0.19,0.003,2.96
2023-06-08,1.565,1.599,1.602,1.559,326675,61714366.1,2.74,1.85,0.029,3.53
2023-06-09,1.6,1.583,1.606,1.578,256736,48629112.4,1.75,-1.0,-0.016,2.78
2023-06-12,1.583,1.609,1.618,1.576,221395,42035152.1,2.65,1.64,0.026,2.39
2023-06-13,1.61,1.62,1.623,1.604,288377,55374682.5,1.18,0.68,0.011,3.12
2023-06-14,1.621,1.64,1.653,1.621,449638,87666721.0,1.98,1.23,0.02,4.86
2023-06-15,1.642,1.665,1.667,1.642,398629,78192338.3,1.52,1.52,0.025,4.31
2023-06-16,1.67,1.674,1.68,1.659,344239,68017806.2,1.26,0.54,0.009,3.72
2023-06-19,1.674,1.647,1.674,1.64,279650,54715801.3,2.03,-1.61,-0.027,3.02
2023-06-20,1.646,1.636,1.661,1.636,238210,46450756.2,1.52,-0.67,-0.011,2.58
2023-06-21,1.636,1.619,1.643,1.618,233214,45210420.6,1.53,-1.04,-0.017,2.52
2023-06-26,1.606,1.584,1.614,1.58,217921,41357300.0,2.1,-2.16,-0.035,2.36
