# code=159910, name=基本面120ETE
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,2.15,2.156,2.214,2.15,1524,329381.3,2.97,0.09,0.002,0.15
2023-01-31,2.147,2.144,2.18,2.072,3670,792626.1,5.01,-0.56,-0.012,0.36
2023-02-01,2.149,2.161,2.162,2.142,1783,382725.3,0.93,0.79,0.017,0.17
2023-02-02,2.159,2.154,2.161,2.15,2587,557152.6,0.51,-0.32,-0.007,0.25
2023-02-03,2.154,2.138,2.154,2.121,280,59582.3,1.53,-0.74,-0.016,0.03
2023-02-06,2.11,2.107,2.12,2.107,1617,341135.0,0.61,-1.45,-0.031,0.16
2023-02-07,2.111,2.12,2.124,2.111,5718,1213302.2,0.62,0.62,0.013,0.56
2023-02-08,2.125,2.109,2.125,2.108,67,14189.7,0.8,-0.52,-0.011,0.01
2023-02-09,2.118,2.129,2.129,2.118,75,15961.4,0.52,0.95,0.02,0.01
2023-02-10,2.134,2.132,2.141,2.129,540,115093.6,0.56,0.14,0.003,0.05
2023-02-13,2.131,2.153,2.153,2.131,766,164389.8,1.03,0.98,0.021,0.07
2023-02-14,2.158,2.158,2.16,2.151,57,12301.3,0.42,0.23,0.005,0.01
2023-02-15,2.158,2.152,2.166,2.152,117,25251.3,0.65,-0.28,-0.006,0.01
2023-02-16,2.152,2.134,2.176,2.132,2666,577573.1,2.04,-0.84,-0.018,0.26
2023-02-17,2.139,2.116,2.139,2.116,185,39432.9,1.08,-0.84,-0.018,0.02
2023-02-20,2.14,2.179,2.18,2.14,440,95198.0,1.89,2.98,0.063,0.04
2023-02-21,2.146,2.192,2.215,2.146,268,58184.2,3.17,0.6,0.013,0.03
2023-02-22,2.176,2.182,2.187,2.176,171,37253.7,0.5,-0.46,-0.01,0.02
2023-02-23,2.195,2.183,2.2,2.171,9705,2124053.9,1.33,0.05,0.001,0.94
2023-02-24,2.171,2.164,2.171,2.156,3679,795002.0,0.69,-0.87,-0.019,0.36
2023-02-27,2.161,2.15,2.164,2.15,1186,256248.7,0.65,-0.65,-0.014,0.12
2023-02-28,2.152,2.164,2.164,2.144,124,26648.6,0.93,0.65,0.014,0.01
2023-03-01,2.172,2.195,2.197,2.172,153,33544.5,1.16,1.43,0.031,0.01
2023-03-02,2.197,2.196,2.206,2.196,872,192298.5,0.46,0.05,0.001,0.08
2023-03-03,2.205,2.201,2.205,2.187,3762,826028.6,0.82,0.23,0.005,0.37
2023-03-06,2.185,2.181,2.19,2.175,20840,4546483.3,0.68,-0.91,-0.02,2.03
2023-03-07,2.183,2.141,2.183,2.14,12578,2716423.5,1.97,-1.83,-0.04,1.22
2023-03-08,2.133,2.136,2.137,2.126,10035,2139377.1,0.51,-0.23,-0.005,0.98
2023-03-09,2.135,2.133,2.142,2.125,6300,1346504.4,0.8,-0.14,-0.003,0.61
2023-03-10,2.12,2.093,2.12,2.093,27437,5785005.5,1.27,-1.88,-0.04,2.67
2023-03-13,2.095,2.11,2.11,2.088,16749,3519600.3,1.05,0.81,0.017,1.63
2023-03-14,2.103,2.1,2.112,2.085,22172,4660734.6,1.28,-0.47,-0.01,2.15
2023-03-15,2.112,2.109,2.12,2.107,15785,3336854.9,0.62,0.43,0.009,1.53
2023-03-16,2.086,2.077,2.097,2.076,17840,3730021.7,1.0,-1.52,-0.032,1.73
2023-03-17,2.096,2.094,2.11,2.086,21036,4416976.2,1.16,0.82,0.017,2.04
2023-03-20,2.094,2.082,2.103,2.081,14254,2987731.1,1.05,-0.57,-0.012,1.39
2023-03-21,2.081,2.104,2.104,2.081,20451,4288297.0,1.1,1.06,0.022,1.99
2023-03-22,2.118,2.12,2.123,2.112,17479,3701456.5,0.52,0.76,0.016,1.7
2023-03-23,2.128,2.131,2.136,2.12,15184,3232580.9,0.75,0.52,0.011,1.48
2023-03-24,2.132,2.133,2.135,2.124,10648,2268140.5,0.52,0.09,0.002,1.03
2023-03-27,2.123,2.126,2.126,2.112,25286,5362034.1,0.66,-0.33,-0.007,2.46
2023-03-28,2.128,2.111,2.128,2.111,89112,18922726.7,0.8,-0.71,-0.015,8.66
2023-03-29,2.123,2.108,2.134,2.107,352049,74865945.3,1.28,-0.14,-0.003,34.21
2023-03-30,2.116,2.129,2.141,2.098,103040,21910744.5,2.04,1.0,0.021,10.01
2023-03-31,2.136,2.136,2.166,2.132,235745,50826573.1,1.6,0.33,0.007,22.91
2023-04-03,2.142,2.159,2.175,2.142,590022,127846135.0,1.54,1.08,0.023,57.34
2023-04-04,2.149,2.157,2.18,2.147,263885,57300011.2,1.53,-0.09,-0.002,25.64
2023-04-06,2.143,2.148,2.177,2.143,253987,54997047.0,1.58,-0.42,-0.009,24.68
2023-04-07,2.15,2.18,2.199,2.15,166002,36343595.4,2.28,1.49,0.032,16.13
2023-04-10,2.18,2.166,2.18,2.162,13850,3005275.3,0.83,-0.64,-0.014,1.35
2023-04-11,2.164,2.179,2.208,2.164,339982,74598839.0,2.03,0.6,0.013,33.04
2023-04-12,2.18,2.188,2.211,2.18,211487,46484330.4,1.42,0.41,0.009,20.55
