# code=159916, name=深F60ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-19,4.788,4.823,4.823,4.75,22362,10627042.3,1.52,0.63,0.03,4.51
2023-01-20,4.832,4.831,4.875,4.828,23334,11359000.2,0.97,0.17,0.008,4.71
2023-01-30,4.87,4.838,4.897,4.833,37889,18339221.7,1.32,0.14,0.007,7.64
2023-01-31,4.865,4.822,4.871,4.807,22568,10985163.0,1.32,-0.33,-0.016,4.55
2023-02-01,4.844,4.854,4.882,4.805,83975,40940085.8,1.6,0.66,0.032,16.94
2023-02-02,4.837,4.834,4.852,4.804,23027,11072109.8,0.99,-0.41,-0.02,4.65
2023-02-03,4.852,4.805,4.862,4.766,135773,65851812.2,1.99,-0.6,-0.029,27.39
2023-02-06,4.798,4.718,4.84,4.71,78184,37701599.825,2.71,-1.81,-0.087,15.77
2023-02-07,4.739,4.74,4.758,4.734,22686,10769321.4,0.51,0.47,0.022,4.58
2023-02-08,4.726,4.72,4.787,4.718,135679,64662819.8,1.46,-0.42,-0.02,27.37
2023-02-09,4.739,4.778,4.788,4.727,152249,72633269.8,1.29,1.23,0.058,30.72
2023-02-10,4.778,4.763,4.791,4.745,27947,13382804.1,0.96,-0.31,-0.015,5.64
2023-02-13,4.779,4.808,4.822,4.76,79285,37935313.1,1.3,0.94,0.045,16.0
2023-02-14,4.827,4.82,4.829,4.8,715,344864.4,0.6,0.25,0.012,0.14
2023-02-15,4.817,4.794,4.838,4.79,26373,12686952.6,1.0,-0.54,-0.026,5.32
2023-02-16,4.82,4.75,4.85,4.749,22827,10983958.2,2.11,-0.92,-0.044,4.61
2023-02-17,4.782,4.724,4.796,4.724,73081,35021396.8,1.52,-0.55,-0.026,14.74
2023-02-20,4.753,4.861,4.866,4.753,27486,13317734.2,2.39,2.9,0.137,5.55
2023-02-21,4.861,4.901,4.915,4.861,28509,13997049.1,1.11,0.82,0.04,5.75
2023-02-22,4.904,4.903,4.928,4.866,182862,89994361.8,1.27,0.04,0.002,36.89
2023-02-23,4.904,4.893,4.938,4.865,182993,89962351.0,1.49,-0.2,-0.01,36.92
2023-02-24,4.898,4.847,4.912,4.82,236950,116272861.4,1.88,-0.94,-0.046,47.8
