# code=159928, name=消费ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.112,1.102,1.115,1.098,3097254,342249388.933,1.56,1.01,0.011,1.1
2023-01-31,1.103,1.083,1.112,1.08,2540980,277223871.56,2.9,-1.72,-0.019,0.91
2023-02-01,1.085,1.092,1.093,1.072,1679813,182098091.3,1.94,0.83,0.009,0.6
2023-02-02,1.092,1.097,1.102,1.083,1942118,212255925.0,1.74,0.46,0.005,0.69
2023-02-03,1.09,1.086,1.09,1.075,2385072,258010643.43,1.37,-1.0,-0.011,0.85
2023-02-06,1.07,1.067,1.074,1.054,4361806,464121965.912,1.84,-1.75,-0.019,1.56
2023-02-07,1.067,1.068,1.076,1.063,3764600,402019211.251,1.22,0.09,0.001,1.34
2023-02-08,1.07,1.059,1.072,1.056,1437313,152661725.548,1.5,-0.84,-0.009,0.51
2023-02-09,1.056,1.078,1.081,1.056,2034776,218681210.167,2.36,1.79,0.019,0.73
2023-02-10,1.082,1.08,1.087,1.073,1630795,176067873.0,1.3,0.19,0.002,0.58
2023-02-13,1.079,1.104,1.11,1.078,2162232,237863840.386,2.96,2.22,0.024,0.77
2023-02-14,1.111,1.1,1.111,1.097,1526910,168200480.865,1.27,-0.36,-0.004,0.54
2023-02-15,1.101,1.093,1.107,1.09,1972679,216142515.2,1.55,-0.64,-0.007,0.7
2023-02-16,1.091,1.091,1.11,1.084,2147043,235916523.6,2.38,-0.18,-0.002,0.77
2023-02-17,1.091,1.085,1.108,1.085,2355753,258870042.051,2.11,-0.55,-0.006,0.84
2023-02-20,1.084,1.104,1.106,1.076,2427237,264713471.7,2.76,1.75,0.019,0.87
2023-02-21,1.104,1.098,1.107,1.093,2180092,239472197.5,1.27,-0.54,-0.006,0.78
2023-02-22,1.099,1.101,1.109,1.092,1794243,197498180.836,1.55,0.27,0.003,0.64
2023-02-23,1.101,1.09,1.105,1.084,1331017,145456491.112,1.91,-1.0,-0.011,0.47
2023-02-24,1.088,1.079,1.089,1.072,1960141,211532987.3,1.56,-1.01,-0.011,0.7
2023-02-27,1.072,1.086,1.09,1.07,1658648,179489998.75,1.85,0.65,0.007,0.59
2023-02-28,1.087,1.089,1.094,1.078,1328064,144082868.8,1.47,0.28,0.003,0.47
2023-03-01,1.09,1.098,1.099,1.081,1371934,149981504.9,1.65,0.83,0.009,0.49
2023-03-02,1.097,1.093,1.098,1.09,1013397,110881074.8,0.73,-0.46,-0.005,0.36
2023-03-03,1.096,1.089,1.103,1.082,1768670,192753570.1,1.92,-0.37,-0.004,0.63
2023-03-06,1.09,1.085,1.093,1.077,1593067,173021039.9,1.47,-0.37,-0.004,0.57
2023-03-07,1.083,1.062,1.085,1.061,1877961,201232912.437,2.21,-2.12,-0.023,0.67
2023-03-08,1.061,1.054,1.064,1.05,1889197,199168306.1,1.32,-0.75,-0.008,0.67
2023-03-09,1.053,1.05,1.059,1.039,1152144,121015822.2,1.9,-0.38,-0.004,0.41
2023-03-10,1.044,1.034,1.05,1.034,1850297,192335619.8,1.52,-1.52,-0.016,0.66
2023-03-13,1.032,1.054,1.054,1.032,1439382,150937547.965,2.13,1.93,0.02,0.51
2023-03-14,1.053,1.053,1.058,1.044,1446322,152350965.6,1.33,-0.09,-0.001,0.52
2023-03-15,1.058,1.046,1.063,1.044,1212693,127643221.805,1.8,-0.66,-0.007,0.43
2023-03-16,1.04,1.035,1.052,1.035,1406201,146366604.6,1.63,-1.05,-0.011,0.5
2023-03-17,1.044,1.028,1.048,1.023,1690831,174713265.4,2.42,-0.68,-0.007,0.6
2023-03-20,1.028,1.013,1.03,1.008,2044496,207338391.055,2.14,-1.46,-0.015,0.73
2023-03-21,1.016,1.033,1.038,1.012,1527072,156918814.875,2.57,1.97,0.02,0.54
2023-03-22,1.037,1.033,1.045,1.03,1475984,153096265.1,1.45,0.0,0.0,0.53
2023-03-23,1.028,1.039,1.045,1.028,1631355,169277189.5,1.65,0.58,0.006,0.58
2023-03-24,1.039,1.038,1.047,1.034,1445421,150385454.3,1.25,-0.1,-0.001,0.52
2023-03-27,1.038,1.035,1.04,1.029,1206295,124649239.6,1.06,-0.29,-0.003,0.43
2023-03-28,1.037,1.049,1.053,1.034,1475108,154231489.2,1.84,1.35,0.014,0.53
2023-03-29,1.052,1.051,1.056,1.044,1254668,131725339.1,1.14,0.19,0.002,0.45
2023-03-30,1.05,1.062,1.065,1.047,1251224,132255714.083,1.71,1.05,0.011,0.45
2023-03-31,1.068,1.066,1.082,1.063,1587726,170281416.552,1.79,0.38,0.004,0.57
2023-04-03,1.066,1.064,1.072,1.059,1356448,144524870.398,1.22,-0.19,-0.002,0.48
2023-04-04,1.068,1.074,1.076,1.061,2606168,278705498.4,1.41,0.94,0.01,0.93
2023-04-06,1.067,1.058,1.075,1.054,1408593,149380764.364,1.96,-1.49,-0.016,0.5
2023-04-07,1.058,1.052,1.063,1.048,2713355,285778409.65,1.42,-0.57,-0.006,0.97
2023-04-10,1.051,1.041,1.051,1.028,1766555,182991939.842,2.19,-1.05,-0.011,0.63
2023-04-11,1.04,1.029,1.042,1.026,1290629,133102772.7,1.54,-1.15,-0.012,0.46
2023-04-12,1.029,1.01,1.033,1.004,2285300,231384760.6,2.82,-1.85,-0.019,0.81
2023-04-13,1.006,1.011,1.015,1.0,1389174,140099223.4,1.49,0.1,0.001,0.5
2023-04-14,1.012,1.003,1.015,1.001,1275176,128328174.4,1.38,-0.79,-0.008,0.45
2023-04-17,1.004,1.012,1.017,1.004,1390315,140464186.1,1.3,0.9,0.009,0.5
2023-04-18,1.014,1.019,1.022,1.012,1958173,199187866.387,0.99,0.69,0.007,0.7
2023-04-19,1.025,1.01,1.025,1.007,1832131,185371090.3,1.77,-0.88,-0.009,0.65
2023-04-20,1.01,0.999,1.011,0.996,1832201,183623491.9,1.49,-1.09,-0.011,0.65
2023-04-21,0.997,0.994,1.007,0.992,1351415,135038207.6,1.5,-0.5,-0.005,0.48
2023-04-24,0.992,0.976,0.993,0.971,1703512,166678413.782,2.21,-1.81,-0.018,0.61
2023-04-25,0.975,0.987,0.987,0.972,1702533,166773563.302,1.54,1.13,0.011,0.61
2023-04-26,0.986,0.984,0.988,0.975,1787283,175453942.7,1.32,-0.3,-0.003,0.64
2023-04-27,0.984,0.991,0.996,0.978,1234785,121782173.9,1.83,0.71,0.007,0.44
2023-04-28,0.994,1.002,1.007,0.994,4951603,495970521.0,1.31,1.11,0.011,1.77
2023-05-04,1.002,0.989,1.01,0.989,1569801,156472106.4,2.1,-1.3,-0.013,0.56
2023-05-05,0.992,0.995,0.996,0.984,1354369,134316440.0,1.21,0.61,0.006,0.48
2023-05-08,0.995,0.987,1.0,0.984,1485151,146690201.6,1.61,-0.8,-0.008,0.53
2023-05-09,0.983,0.987,0.997,0.977,1558645,153966892.256,2.03,0.0,0.0,0.56
2023-05-10,0.984,0.981,0.986,0.977,1989755,194875241.3,0.91,-0.61,-0.006,0.71
2023-05-11,0.981,0.978,0.989,0.976,816301,80096517.3,1.33,-0.31,-0.003,0.29
2023-05-12,0.977,0.971,0.986,0.971,1103983,107806787.1,1.53,-0.72,-0.007,0.39
2023-05-15,0.97,0.977,0.977,0.964,1096162,106359372.0,1.34,0.62,0.006,0.39
2023-05-16,0.98,0.971,0.98,0.967,1034063,100340495.567,1.33,-0.61,-0.006,0.37
2023-05-17,0.969,0.961,0.97,0.958,1353285,130101637.867,1.24,-1.03,-0.01,0.48
2023-05-18,0.96,0.951,0.965,0.948,1635637,156285051.7,1.77,-1.04,-0.01,0.58
2023-05-19,0.949,0.96,0.961,0.94,1296766,123574789.137,2.21,0.95,0.009,0.46
2023-05-22,0.959,0.978,0.982,0.95,2321726,226002468.0,3.33,1.88,0.018,0.83
2023-05-23,0.977,0.967,0.981,0.967,1297423,126132803.6,1.43,-1.12,-0.011,0.46
2023-05-24,0.966,0.954,0.966,0.954,1132945,108842026.6,1.24,-1.34,-0.013,0.4
2023-05-25,0.952,0.946,0.952,0.94,1289853,121974046.3,1.26,-0.84,-0.008,0.46
2023-05-26,0.946,0.945,0.953,0.938,1762800,166316562.8,1.59,-0.11,-0.001,0.63
2023-05-29,0.945,0.938,0.95,0.93,1991871,186494544.7,2.12,-0.74,-0.007,0.71
2023-05-30,0.936,0.928,0.938,0.918,1622075,150172381.3,2.13,-1.07,-0.01,0.58
2023-05-31,0.925,0.912,0.926,0.906,1659039,151444733.6,2.16,-1.72,-0.016,0.59
2023-06-01,0.909,0.917,0.931,0.906,1731230,158975929.8,2.74,0.55,0.005,0.62
2023-06-02,0.919,0.933,0.935,0.914,1824133,169062379.6,2.29,1.74,0.016,0.65
2023-06-05,0.931,0.921,0.933,0.915,1890579,173968292.9,1.93,-1.29,-0.012,0.67
2023-06-06,0.918,0.918,0.929,0.913,1065577,98121942.486,1.74,-0.33,-0.003,0.38
2023-06-07,0.919,0.91,0.923,0.906,1336617,122040677.3,1.85,-0.87,-0.008,0.48
2023-06-08,0.906,0.919,0.923,0.906,1519236,139001155.3,1.87,0.99,0.009,0.54
2023-06-09,0.919,0.917,0.922,0.914,1277560,117254782.4,0.87,-0.22,-0.002,0.46
2023-06-12,0.914,0.937,0.943,0.913,1555372,144582345.2,3.27,2.18,0.02,0.55
2023-06-13,0.939,0.941,0.948,0.933,3351413,315260803.0,1.6,0.43,0.004,1.2
2023-06-14,0.944,0.955,0.961,0.942,2143780,204942540.712,2.02,1.49,0.014,0.76
2023-06-15,0.959,0.97,0.97,0.954,1770486,170334853.1,1.68,1.57,0.015,0.63
2023-06-16,0.975,0.974,0.981,0.967,3777700,368254903.839,1.44,0.41,0.004,1.35
2023-06-19,0.974,0.962,0.979,0.956,2475399,238950748.4,2.36,-1.23,-0.012,0.88
2023-06-20,0.958,0.952,0.964,0.951,1836657,175733487.416,1.35,-1.04,-0.01,0.65
2023-06-21,0.953,0.941,0.955,0.941,4027895,382116830.664,1.47,-1.16,-0.011,1.44
2023-06-26,0.938,0.927,0.938,0.92,1711716,158639682.336,1.91,-1.49,-0.014,0.61
2023-06-27,0.928,0.932,0.936,0.921,1821073,169127606.9,1.62,0.54,0.005,0.65
2023-06-28,0.93,0.935,0.939,0.926,1643200,153247265.5,1.39,0.32,0.003,0.59
2023-06-29,0.934,0.925,0.936,0.923,1682862,156168233.7,1.39,-1.07,-0.01,0.6
2023-06-30,0.926,0.926,0.932,0.921,1962238,181870087.2,1.19,0.11,0.001,0.7
2023-07-03,0.926,0.944,0.944,0.921,2591414,243166147.6,2.48,1.94,0.018,0.92
2023-07-04,0.943,0.948,0.948,0.934,1117112,105175695.0,1.48,0.42,0.004,0.4
2023-07-05,0.948,0.93,0.948,0.928,1617547,150804099.2,2.11,-1.9,-0.018,0.58
2023-07-06,0.929,0.924,0.936,0.921,1112295,103076724.6,1.61,-0.65,-0.006,0.4
2023-07-07,0.922,0.926,0.929,0.917,1392357,128650240.3,1.3,0.22,0.002,0.5
2023-07-10,0.93,0.929,0.936,0.924,1141436,106024060.3,1.3,0.32,0.003,0.41
2023-07-11,0.933,0.927,0.933,0.922,1226160,113413157.5,1.18,-0.22,-0.002,0.44
2023-07-12,0.928,0.929,0.934,0.925,1119757,104183806.5,0.97,0.22,0.002,0.4
2023-07-13,0.934,0.952,0.954,0.933,1877520,177626105.3,2.26,2.48,0.023,0.67
2023-07-14,0.955,0.946,0.956,0.943,1110466,105292618.6,1.37,-0.63,-0.006,0.4
2023-07-17,0.946,0.943,0.946,0.935,1189997,111601845.6,1.16,-0.32,-0.003,0.42
2023-07-18,0.94,0.935,0.942,0.935,1626816,152395977.6,0.74,-0.85,-0.008,0.58
2023-07-19,0.934,0.934,0.939,0.93,1741520,162513330.4,0.96,-0.11,-0.001,0.62
2023-07-20,0.937,0.934,0.947,0.932,2082692,195739087.8,1.61,0.0,0.0,0.74
2023-07-21,0.936,0.952,0.957,0.934,3022908,286491628.261,2.46,1.93,0.018,1.08
2023-07-24,0.949,0.938,0.949,0.935,2245620,211018852.224,1.47,-1.47,-0.014,0.8
2023-07-25,0.954,0.969,0.97,0.954,4035994,389188949.628,1.71,3.3,0.031,1.44
2023-07-26,0.966,0.968,0.971,0.962,2489922,240462763.312,0.93,-0.1,-0.001,0.89
2023-07-27,0.97,0.974,0.983,0.965,2757068,269013995.16,1.86,0.62,0.006,0.98
2023-07-28,0.973,0.993,0.996,0.969,3229075,318521716.648,2.77,1.95,0.019,1.15
2023-07-31,1.001,1.0,1.022,0.994,3819510,384922718.332,2.82,0.7,0.007,1.36
2023-08-01,1.0,0.987,1.004,0.983,4714962,466528578.75,2.1,-1.3,-0.013,1.68
2023-08-02,0.985,0.982,0.992,0.976,2384846,234216060.9,1.62,-0.51,-0.005,0.85
2023-08-03,0.98,0.988,0.989,0.974,1864299,183103590.3,1.53,0.61,0.006,0.66
2023-08-04,0.999,0.987,1.006,0.985,2331955,231233463.55,2.13,-0.1,-0.001,0.83
2023-08-07,0.986,0.979,0.987,0.974,1855944,181725158.9,1.32,-0.81,-0.008,0.66
2023-08-08,0.978,0.979,0.982,0.969,2138384,208628232.94,1.33,0.0,0.0,0.76
2023-08-09,0.976,0.977,0.98,0.973,1744615,170258862.9,0.72,-0.2,-0.002,0.62
2023-08-10,0.978,0.976,0.979,0.969,1511501,147193998.324,1.02,-0.1,-0.001,0.54
2023-08-11,0.978,0.957,0.979,0.956,2067464,199291175.924,2.36,-1.95,-0.019,0.74
2023-08-14,0.95,0.946,0.952,0.933,1984933,186772766.96,1.99,-1.15,-0.011,0.71
2023-08-15,0.944,0.942,0.947,0.935,1356547,127596986.9,1.27,-0.42,-0.004,0.48
2023-08-16,0.938,0.938,0.946,0.936,1377850,129730377.5,1.06,-0.42,-0.004,0.49
2023-08-17,0.936,0.954,0.955,0.931,1839898,173807823.688,2.56,1.71,0.016,0.66
2023-08-18,0.951,0.934,0.953,0.934,1383891,130332968.816,1.99,-2.1,-0.02,0.49
2023-08-21,0.931,0.927,0.94,0.925,1633516,152338126.7,1.61,-0.75,-0.007,0.58
2023-08-22,0.93,0.925,0.934,0.914,1447666,133439640.86,2.16,-0.22,-0.002,0.52
2023-08-23,0.923,0.912,0.927,0.912,1313433,120684719.9,1.62,-1.41,-0.013,0.47
2023-08-24,0.914,0.929,0.933,0.91,1513150,139717618.455,2.52,1.86,0.017,0.54
2023-08-25,0.925,0.929,0.934,0.925,1624996,150963430.805,0.97,0.0,0.0,0.58
2023-08-28,0.97,0.929,0.975,0.924,2266199,213757435.99,5.49,0.0,0.0,0.81
2023-08-29,0.928,0.941,0.944,0.92,1920490,179549770.88,2.58,1.29,0.012,0.68
2023-08-30,0.939,0.938,0.946,0.935,1723139,162019099.554,1.17,-0.32,-0.003,0.61
2023-08-31,0.935,0.933,0.936,0.929,1479566,137929617.911,0.75,-0.53,-0.005,0.53
2023-09-01,0.938,0.944,0.947,0.937,2524341,238144053.402,1.07,1.18,0.011,0.9
2023-09-04,0.949,0.962,0.964,0.947,2423328,232105379.658,1.8,1.91,0.018,0.86
2023-09-05,0.963,0.953,0.963,0.95,1476260,140863010.9,1.35,-0.94,-0.009,0.53
2023-09-06,0.952,0.95,0.953,0.945,1250205,118636460.1,0.84,-0.31,-0.003,0.45
2023-09-07,0.949,0.939,0.949,0.935,1874023,176226849.2,1.47,-1.16,-0.011,0.67
2023-09-08,0.936,0.932,0.939,0.927,1677266,156216729.3,1.28,-0.75,-0.007,0.6
2023-09-11,0.932,0.941,0.945,0.929,1226188,115035366.744,1.72,0.97,0.009,0.44
2023-09-12,0.941,0.942,0.946,0.937,1386208,130678644.427,0.96,0.11,0.001,0.49
2023-09-13,0.942,0.939,0.95,0.935,1944462,182862517.446,1.59,-0.32,-0.003,0.69
2023-09-14,0.941,0.937,0.944,0.931,1015983,95159362.4,1.38,-0.21,-0.002,0.36
2023-09-15,0.938,0.929,0.942,0.926,2068542,193349690.8,1.71,-0.85,-0.008,0.74
2023-09-18,0.927,0.935,0.937,0.921,1530557,142589780.9,1.72,0.65,0.006,0.55
2023-09-19,0.935,0.933,0.936,0.926,929881,86478922.3,1.07,-0.21,-0.002,0.33
2023-09-20,0.932,0.931,0.936,0.928,917904,85650246.978,0.86,-0.21,-0.002,0.33
2023-09-21,0.929,0.914,0.93,0.914,1763292,162233011.3,1.72,-1.83,-0.017,0.63
2023-09-22,0.914,0.932,0.933,0.912,1588437,146875815.0,2.3,1.97,0.018,0.57
2023-09-25,0.933,0.927,0.933,0.925,1442152,133907977.6,0.86,-0.54,-0.005,0.51
2023-09-26,0.928,0.921,0.931,0.92,1280786,118260900.5,1.19,-0.65,-0.006,0.46
2023-09-27,0.919,0.924,0.931,0.919,1560008,143996062.546,1.3,0.33,0.003,0.56
2023-09-28,0.925,0.911,0.927,0.909,1638965,149576546.06,1.95,-1.41,-0.013,0.58
2023-10-09,0.91,0.904,0.91,0.893,1266784,114030953.443,1.87,-0.77,-0.007,0.45
2023-10-10,0.904,0.9,0.915,0.898,1185402,107166430.945,1.88,-0.44,-0.004,0.42
2023-10-11,0.904,0.901,0.908,0.899,1633510,147339888.6,1.0,0.11,0.001,0.58
2023-10-12,0.905,0.905,0.91,0.9,1241647,112228831.612,1.11,0.44,0.004,0.44
2023-10-13,0.901,0.888,0.901,0.885,1800795,160282349.514,1.77,-1.88,-0.017,0.64
2023-10-16,0.888,0.875,0.889,0.874,1470467,129272337.7,1.69,-1.46,-0.013,0.52
2023-10-17,0.876,0.88,0.881,0.87,1069454,93902364.02,1.26,0.57,0.005,0.38
2023-10-18,0.878,0.877,0.887,0.875,1330664,117063753.895,1.36,-0.34,-0.003,0.47
2023-10-19,0.875,0.85,0.875,0.848,2168997,185835971.1,3.08,-3.08,-0.027,0.77
