# code=159996, name=家电ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.11,1.105,1.123,1.104,972715,108232608.681,1.73,0.55,0.006,10.13
2023-01-31,1.104,1.1,1.109,1.097,602963,66502912.166,1.09,-0.45,-0.005,6.28
2023-02-01,1.103,1.111,1.112,1.095,1854632,204914131.833,1.55,1.0,0.011,19.31
2023-02-02,1.11,1.104,1.113,1.098,1939547,214184363.383,1.35,-0.63,-0.007,20.19
2023-02-03,1.102,1.1,1.102,1.085,767662,83911977.9,1.54,-0.36,-0.004,7.99
2023-02-06,1.088,1.076,1.091,1.069,1755683,188965626.479,2.0,-2.18,-0.024,18.28
2023-02-07,1.073,1.103,1.104,1.073,1334537,146571546.348,2.88,2.51,0.027,13.89
2023-02-08,1.103,1.097,1.104,1.091,856297,94069787.934,1.18,-0.54,-0.006,8.91
2023-02-09,1.097,1.112,1.114,1.091,972591,107726224.9,2.1,1.37,0.015,10.13
2023-02-10,1.108,1.113,1.116,1.103,619122,68649525.87,1.17,0.09,0.001,6.45
2023-02-13,1.112,1.123,1.123,1.107,724859,80982346.333,1.44,0.9,0.01,7.55
2023-02-14,1.124,1.125,1.126,1.116,591002,66253258.9,0.89,0.18,0.002,6.15
2023-02-15,1.124,1.111,1.124,1.11,671391,74744171.9,1.24,-1.24,-0.014,6.99
2023-02-16,1.11,1.097,1.118,1.089,768768,85244414.508,2.61,-1.26,-0.014,8.0
2023-02-17,1.095,1.094,1.106,1.092,603388,66385937.8,1.28,-0.27,-0.003,6.28
2023-02-20,1.093,1.142,1.144,1.092,1852011,209553308.3,4.75,4.39,0.048,19.28
2023-02-21,1.139,1.148,1.148,1.133,1243104,142102403.5,1.31,0.53,0.006,12.94
2023-02-22,1.143,1.144,1.147,1.133,1183701,135056171.735,1.22,-0.35,-0.004,12.32
2023-02-23,1.141,1.152,1.163,1.141,594016,68457909.935,1.92,0.7,0.008,6.18
2023-02-24,1.149,1.14,1.151,1.133,598470,68179209.395,1.56,-1.04,-0.012,6.23
2023-02-27,1.134,1.133,1.142,1.123,730220,82774645.4,1.67,-0.61,-0.007,7.6
2023-02-28,1.13,1.134,1.14,1.119,852448,96231686.481,1.85,0.09,0.001,8.87
2023-03-01,1.133,1.147,1.151,1.125,909749,104010650.722,2.29,1.15,0.013,9.47
2023-03-02,1.146,1.138,1.149,1.135,1705994,194581825.135,1.22,-0.78,-0.009,17.76
2023-03-03,1.139,1.137,1.148,1.132,638629,72740497.914,1.41,-0.09,-0.001,6.65
2023-03-06,1.141,1.13,1.141,1.121,1226760,138616073.9,1.76,-0.62,-0.007,12.77
2023-03-07,1.13,1.106,1.132,1.104,634917,71085075.888,2.48,-2.12,-0.024,6.61
2023-03-08,1.102,1.102,1.11,1.096,566250,62364625.3,1.27,-0.36,-0.004,5.9
2023-03-09,1.102,1.101,1.109,1.096,613938,67679863.6,1.18,-0.09,-0.001,6.39
2023-03-10,1.097,1.072,1.097,1.071,1486514,160091615.0,2.36,-2.63,-0.029,15.48
2023-03-13,1.069,1.093,1.094,1.067,1262337,136233310.8,2.52,1.96,0.021,13.14
2023-03-14,1.091,1.074,1.091,1.065,586059,63033584.8,2.38,-1.74,-0.019,6.1
2023-03-15,1.08,1.083,1.091,1.08,452600,49086772.0,1.02,0.84,0.009,4.71
2023-03-16,1.077,1.071,1.078,1.068,494107,53041613.822,0.92,-1.11,-0.012,5.14
2023-03-17,1.075,1.07,1.082,1.065,714692,76640430.0,1.59,-0.09,-0.001,7.44
2023-03-20,1.07,1.067,1.072,1.062,879428,93761542.1,0.93,-0.28,-0.003,9.16
2023-03-21,1.069,1.09,1.091,1.067,514928,55716373.56,2.25,2.16,0.023,5.36
2023-03-22,1.092,1.087,1.096,1.084,726207,79056917.1,1.1,-0.28,-0.003,7.56
2023-03-23,1.084,1.083,1.092,1.08,1386624,150440497.081,1.1,-0.37,-0.004,14.44
2023-03-24,1.083,1.095,1.097,1.079,919027,100129953.2,1.66,1.11,0.012,9.57
2023-03-27,1.097,1.101,1.112,1.094,2221935,244794831.6,1.64,0.55,0.006,23.13
2023-03-28,1.099,1.092,1.103,1.091,1613190,176538221.7,1.09,-0.82,-0.009,16.79
2023-03-29,1.093,1.096,1.102,1.092,1052180,115351881.2,0.92,0.37,0.004,10.95
2023-03-30,1.096,1.125,1.128,1.093,2660359,295268963.0,3.19,2.65,0.029,27.7
2023-03-31,1.125,1.112,1.125,1.106,2571738,285695844.5,1.69,-1.16,-0.013,26.77
2023-04-03,1.112,1.112,1.119,1.106,1788966,198974881.3,1.17,0.0,0.0,18.62
2023-04-04,1.112,1.101,1.112,1.091,2471323,271537714.31,1.89,-0.99,-0.011,25.73
2023-04-06,1.101,1.104,1.107,1.098,2195925,241949628.0,0.82,0.27,0.003,22.86
2023-04-07,1.105,1.112,1.126,1.103,3111876,346083877.4,2.08,0.72,0.008,32.4
2023-04-10,1.115,1.106,1.117,1.101,2042787,225894253.01,1.44,-0.54,-0.006,21.27
2023-04-11,1.106,1.121,1.124,1.104,1986802,222338946.71,1.81,1.36,0.015,20.68
2023-04-12,1.121,1.12,1.13,1.117,1994618,223872057.086,1.16,-0.09,-0.001,20.77
2023-04-13,1.116,1.101,1.116,1.101,1491309,164931151.847,1.34,-1.7,-0.019,15.53
2023-04-14,1.101,1.101,1.105,1.099,1177031,129618236.7,0.54,0.0,0.0,12.25
2023-04-17,1.103,1.129,1.129,1.103,2848645,319910022.47,2.36,2.54,0.028,29.66
2023-04-18,1.127,1.14,1.145,1.125,1772904,201604359.211,1.77,0.97,0.011,18.46
2023-04-19,1.136,1.13,1.139,1.126,1693156,191547199.419,1.14,-0.88,-0.01,17.63
2023-04-20,1.127,1.144,1.144,1.127,1989880,226714219.682,1.5,1.24,0.014,20.72
2023-04-21,1.142,1.119,1.148,1.116,2264444,256175404.93,2.8,-2.19,-0.025,23.57
2023-04-24,1.117,1.106,1.133,1.102,2300438,256736306.052,2.77,-1.16,-0.013,23.95
2023-04-25,1.106,1.104,1.111,1.086,1963681,215176214.1,2.26,-0.18,-0.002,20.44
