# code=510050, name=上证50ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-20,2.664,2.674,2.684,2.657,5153371,1465592269.0,1.02,0.72,0.019,2.25
2023-01-30,2.726,2.675,2.731,2.669,7222290,2069324928.0,2.32,0.04,0.001,3.15
2023-01-31,2.676,2.645,2.691,2.64,10023087,2836178472.0,1.91,-1.12,-0.03,4.37
2023-02-01,2.652,2.656,2.657,2.613,8801468,2472760206.0,1.66,0.42,0.011,3.83
2023-02-02,2.665,2.65,2.666,2.631,6050659,1704484775.0,1.32,-0.23,-0.006,2.64
2023-02-03,2.632,2.609,2.641,2.586,7186050,1995759622.0,2.08,-1.55,-0.041,3.13
2023-02-06,2.582,2.565,2.583,2.55,8026408,2196833433.0,1.26,-1.69,-0.044,3.5
2023-02-07,2.574,2.573,2.585,2.563,5385890,1480671975.0,0.86,0.31,0.008,2.35
2023-02-08,2.576,2.566,2.595,2.562,4116146,1130538490.0,1.28,-0.27,-0.007,1.79
2023-02-09,2.562,2.595,2.602,2.56,7419446,2051189036.0,1.64,1.13,0.029,3.23
2023-02-10,2.588,2.583,2.591,2.572,4470684,1231360996.0,0.73,-0.46,-0.012,1.95
2023-02-13,2.572,2.601,2.605,2.564,6914539,1910593163.0,1.59,0.7,0.018,3.01
2023-02-14,2.602,2.612,2.613,2.593,3698114,1026498605.0,0.77,0.42,0.011,1.61
2023-02-15,2.611,2.586,2.617,2.581,4629191,1279511916.0,1.38,-1.0,-0.026,2.02
2023-02-16,2.59,2.576,2.623,2.557,9284073,2574727599.0,2.55,-0.39,-0.01,4.05
2023-02-17,2.571,2.547,2.593,2.544,8286179,2274513725.0,1.9,-1.13,-0.029,3.61
2023-02-20,2.555,2.624,2.627,2.548,16163012,4457500171.0,3.1,3.02,0.077,7.04
2023-02-21,2.623,2.638,2.642,2.614,12571254,3523700040.0,1.07,0.53,0.014,5.48
2023-02-22,2.624,2.601,2.631,2.598,9068767,2528661213.0,1.25,-1.4,-0.037,3.95
2023-02-23,2.604,2.6,2.623,2.588,5492708,1525445871.0,1.35,-0.04,-0.001,2.39
2023-02-24,2.599,2.562,2.599,2.553,5845899,1603326991.0,1.77,-1.46,-0.038,2.55
2023-02-27,2.549,2.559,2.571,2.545,3753529,1026115220.0,1.01,-0.12,-0.003,1.64
2023-02-28,2.565,2.572,2.575,2.534,5747270,1569746201.0,1.6,0.51,0.013,2.5
2023-03-01,2.57,2.603,2.618,2.563,10752492,2982122672.0,2.14,1.21,0.031,4.68
2023-03-02,2.598,2.602,2.616,2.593,4911639,1364403340.0,0.88,-0.04,-0.001,2.14
2023-03-03,2.611,2.605,2.618,2.589,5105758,1418655537.0,1.11,0.12,0.003,2.22
2023-03-06,2.605,2.575,2.606,2.566,6715824,1847879966.0,1.54,-1.15,-0.03,2.93
2023-03-07,2.57,2.544,2.593,2.541,8496081,2329975954.0,2.02,-1.2,-0.031,3.7
2023-03-08,2.534,2.523,2.536,2.511,6506472,1753945559.0,0.98,-0.83,-0.021,2.83
2023-03-09,2.524,2.504,2.527,2.49,9251809,2481642694.0,1.47,-0.75,-0.019,4.03
2023-03-10,2.487,2.468,2.5,2.466,7825452,2078417819.0,1.36,-1.44,-0.036,3.41
2023-03-13,2.466,2.495,2.505,2.466,5792902,1543605370.0,1.58,1.09,0.027,2.52
2023-03-14,2.492,2.477,2.492,2.459,6653105,1763790666.0,1.32,-0.72,-0.018,2.9
2023-03-15,2.496,2.478,2.505,2.477,6798532,1809780353.0,1.13,0.04,0.001,2.96
2023-03-16,2.463,2.453,2.481,2.451,6448527,1702994098.0,1.21,-1.01,-0.025,2.81
2023-03-17,2.472,2.463,2.506,2.449,11076690,2934197061.0,2.32,0.41,0.01,4.83
2023-03-20,2.466,2.446,2.477,2.444,5590149,1472764878.0,1.34,-0.69,-0.017,2.44
2023-03-21,2.456,2.473,2.478,2.454,8774690,2317373454.0,0.98,1.1,0.027,3.82
2023-03-22,2.48,2.482,2.497,2.473,7796569,2073499381.0,0.97,0.36,0.009,3.4
2023-03-23,2.473,2.499,2.5,2.473,4218210,1123529299.0,1.09,0.68,0.017,1.84
2023-03-24,2.495,2.486,2.497,2.479,4224136,1123718051.0,0.72,-0.52,-0.013,1.84
2023-03-27,2.481,2.469,2.488,2.459,4972088,1313211255.0,1.17,-0.68,-0.017,2.17
2023-03-28,2.475,2.47,2.483,2.463,4814232,1273345596.0,0.81,0.04,0.001,2.1
2023-03-29,2.486,2.466,2.49,2.462,4370344,1157229894.0,1.13,-0.16,-0.004,1.9
2023-03-30,2.466,2.498,2.499,2.459,5811136,1541860963.0,1.62,1.3,0.032,2.53
2023-03-31,2.501,2.495,2.514,2.489,5827104,1558997000.0,1.0,-0.12,-0.003,2.54
2023-04-03,2.495,2.498,2.506,2.484,5775600,1542149143.0,0.88,0.12,0.003,2.52
2023-04-04,2.501,2.508,2.509,2.489,5277525,1409821159.0,0.8,0.4,0.01,2.3
2023-04-06,2.497,2.496,2.505,2.488,5102223,1362775549.0,0.68,-0.48,-0.012,2.22
2023-04-07,2.496,2.515,2.525,2.495,4394099,1181089977.0,1.2,0.76,0.019,1.91
2023-04-10,2.52,2.516,2.523,2.503,4274875,1148831495.0,0.8,0.04,0.001,1.86
2023-04-11,2.518,2.51,2.525,2.5,5134756,1379171230.0,0.99,-0.24,-0.006,2.24
2023-04-12,2.512,2.495,2.514,2.493,3529873,943960932.0,0.84,-0.6,-0.015,1.54
2023-04-13,2.489,2.499,2.506,2.482,4260967,1136774850.0,0.96,0.16,0.004,1.86
2023-04-14,2.506,2.51,2.522,2.5,3758752,1008943470.0,0.88,0.44,0.011,1.64
2023-04-17,2.51,2.564,2.565,2.506,8260096,2241058337.0,2.35,2.15,0.054,3.6
2023-04-18,2.561,2.574,2.582,2.557,6840900,1878871143.0,0.98,0.39,0.01,2.98
2023-04-19,2.575,2.55,2.579,2.547,7059403,1930501674.0,1.24,-0.93,-0.024,3.08
2023-04-20,2.55,2.532,2.552,2.525,9927785,2688941409.0,1.06,-0.71,-0.018,4.33
2023-04-21,2.534,2.485,2.535,2.481,6940428,1862111507.0,2.13,-1.86,-0.047,3.02
2023-04-24,2.484,2.449,2.488,2.439,6537842,1723665713.0,1.97,-1.45,-0.036,2.85
2023-04-25,2.452,2.448,2.458,2.427,6843514,1790892020.0,1.27,-0.04,-0.001,2.98
2023-04-26,2.448,2.445,2.456,2.437,9901829,2595482487.0,0.78,-0.12,-0.003,4.31
2023-04-27,2.445,2.482,2.49,2.443,6106726,1612306898.0,1.92,1.51,0.037,2.66
2023-04-28,2.482,2.506,2.513,2.482,5385948,1441790090.0,1.25,0.97,0.024,2.35
2023-05-04,2.496,2.521,2.524,2.483,8033274,2158070035.0,1.64,0.6,0.015,3.5
2023-05-05,2.525,2.513,2.533,2.501,4276098,1151525886.0,1.27,-0.32,-0.008,1.86
2023-05-08,2.516,2.55,2.556,2.513,7718973,2094906057.0,1.71,1.47,0.037,3.36
2023-05-09,2.554,2.532,2.578,2.531,9460392,2581293466.0,1.84,-0.71,-0.018,4.12
2023-05-10,2.528,2.5,2.538,2.499,12671442,3407351445.0,1.54,-1.26,-0.032,5.52
2023-05-11,2.509,2.494,2.516,2.49,3414709,914424225.0,1.04,-0.24,-0.006,1.49
2023-05-12,2.491,2.457,2.499,2.456,8381463,2219185719.0,1.72,-1.48,-0.037,3.65
2023-05-15,2.456,2.506,2.507,2.449,7365413,1948633565.0,2.36,1.99,0.049,3.21
2023-05-16,2.508,2.5,2.514,2.49,4139537,1108002070.0,0.96,-0.24,-0.006,1.8
2023-05-17,2.497,2.475,2.503,2.469,6463838,1719511803.0,1.36,-1.0,-0.025,2.82
2023-05-18,2.481,2.471,2.494,2.461,5001811,1326092063.0,1.33,-0.16,-0.004,2.18
2023-05-19,2.463,2.46,2.48,2.44,4895589,1289095178.0,1.62,-0.45,-0.011,2.13
2023-05-22,2.458,2.485,2.499,2.456,6057546,1607624608.0,1.75,1.02,0.025,2.64
2023-05-23,2.489,2.443,2.491,2.442,5679884,1497705671.0,1.97,-1.69,-0.042,2.47
2023-05-24,2.439,2.403,2.442,2.402,10255726,2661080234.0,1.64,-1.64,-0.04,4.47
2023-05-25,2.399,2.391,2.402,2.37,5672705,1453349939.0,1.33,-0.5,-0.012,2.47
2023-05-26,2.389,2.389,2.4,2.363,4895198,1251103192.0,1.55,-0.08,-0.002,2.13
2023-05-29,2.396,2.378,2.401,2.367,4874390,1244092489.0,1.42,-0.46,-0.011,2.12
2023-05-30,2.377,2.367,2.386,2.337,7733127,1961064937.0,2.06,-0.46,-0.011,3.37
2023-05-31,2.354,2.326,2.356,2.32,8220069,2060054132.0,1.52,-1.73,-0.041,3.58
2023-06-01,2.321,2.331,2.357,2.321,7441608,1871859230.0,1.55,0.21,0.005,3.24
