# code=510900, name=H股ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-20,0.854,0.866,0.869,0.854,3621776,311593891.0,1.77,2.12,0.018,6.42
2023-01-30,0.891,0.87,0.894,0.868,8072011,710221623.0,3.0,0.46,0.004,14.32
2023-01-31,0.872,0.849,0.876,0.848,5867614,505819383.0,3.22,-2.41,-0.021,10.41
2023-02-01,0.859,0.869,0.871,0.855,5302058,456658807.0,1.88,2.36,0.02,9.41
2023-02-02,0.876,0.867,0.877,0.863,3551812,308820832.0,1.61,-0.23,-0.002,6.3
2023-02-03,0.86,0.852,0.86,0.844,5349320,454515457.0,1.85,-1.73,-0.015,9.49
2023-02-06,0.839,0.832,0.842,0.828,7568609,630678852.0,1.64,-2.35,-0.02,13.43
2023-02-07,0.835,0.837,0.846,0.835,4677707,393074815.0,1.32,0.6,0.005,8.3
2023-02-08,0.835,0.831,0.841,0.828,3975005,331341321.0,1.55,-0.72,-0.006,7.05
2023-02-09,0.829,0.846,0.847,0.828,3941309,330722428.0,2.29,1.81,0.015,6.99
2023-02-10,0.844,0.83,0.845,0.828,3645571,304114580.0,2.01,-1.89,-0.016,6.47
2023-02-13,0.82,0.829,0.835,0.818,5463794,451886291.0,2.05,-0.12,-0.001,9.69
2023-02-14,0.833,0.829,0.834,0.827,2824557,234330084.0,0.84,0.0,0.0,5.01
2023-02-15,0.83,0.819,0.83,0.815,4226535,346704995.0,1.81,-1.21,-0.01,7.5
2023-02-16,0.826,0.831,0.843,0.824,5578577,465613402.0,2.32,1.47,0.012,9.9
2023-02-17,0.83,0.824,0.836,0.822,3780271,313518568.0,1.68,-0.84,-0.007,6.71
2023-02-20,0.822,0.831,0.833,0.816,4428025,364798005.0,2.06,0.85,0.007,7.86
2023-02-21,0.829,0.818,0.831,0.814,5091528,418225854.0,2.05,-1.56,-0.013,9.03
2023-02-22,0.812,0.806,0.815,0.804,5463790,442019537.0,1.34,-1.47,-0.012,9.69
2023-02-23,0.805,0.808,0.815,0.804,3926080,317558294.0,1.36,0.25,0.002,6.96
