# code=512580, name=环保ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.498,1.489,1.514,1.488,256092,38420835.0,1.77,1.36,0.02,2.65
2023-01-31,1.489,1.493,1.505,1.484,202228,30254940.0,1.41,0.27,0.004,2.09
2023-02-01,1.49,1.504,1.508,1.484,213550,31951879.0,1.61,0.74,0.011,2.21
2023-02-02,1.514,1.49,1.514,1.485,234327,35019833.0,1.93,-0.93,-0.014,2.43
2023-02-03,1.483,1.467,1.489,1.45,230434,33706972.0,2.62,-1.54,-0.023,2.38
2023-02-06,1.466,1.454,1.466,1.446,177403,25770884.0,1.36,-0.89,-0.013,1.84
2023-02-07,1.454,1.453,1.461,1.444,120335,17487884.0,1.17,-0.07,-0.001,1.25
2023-02-08,1.453,1.453,1.466,1.45,165199,24049911.0,1.1,0.0,0.0,1.71
2023-02-09,1.453,1.465,1.469,1.442,146606,21389579.0,1.86,0.83,0.012,1.52
2023-02-10,1.465,1.45,1.465,1.443,192664,27944700.0,1.5,-1.02,-0.015,1.99
2023-02-13,1.448,1.449,1.459,1.445,148288,21479825.0,0.97,-0.07,-0.001,1.53
2023-02-14,1.451,1.445,1.457,1.436,145035,20921205.0,1.45,-0.28,-0.004,1.5
2023-02-15,1.445,1.438,1.46,1.434,79358,11458619.0,1.8,-0.48,-0.007,0.82
2023-02-16,1.433,1.412,1.447,1.406,182046,26056409.0,2.85,-1.81,-0.026,1.88
2023-02-17,1.408,1.392,1.417,1.382,158463,22181189.0,2.48,-1.42,-0.02,1.64
2023-02-20,1.38,1.399,1.4,1.368,226309,31267678.0,2.3,0.5,0.007,2.34
2023-02-21,1.395,1.408,1.414,1.39,162629,22829581.0,1.72,0.64,0.009,1.68
2023-02-22,1.402,1.394,1.41,1.391,147146,20588643.0,1.35,-0.99,-0.014,1.52
2023-02-23,1.391,1.412,1.416,1.391,165370,23254034.0,1.79,1.29,0.018,1.71
2023-02-24,1.413,1.395,1.417,1.39,143169,20012137.0,1.91,-1.2,-0.017,1.48
2023-02-27,1.398,1.394,1.406,1.383,139329,19428931.0,1.65,-0.07,-0.001,1.44
2023-02-28,1.394,1.393,1.398,1.379,236714,32943630.0,1.36,-0.07,-0.001,2.45
2023-03-01,1.393,1.393,1.397,1.387,169801,23634898.0,0.72,0.0,0.0,1.76
2023-03-02,1.393,1.372,1.393,1.37,210689,29016204.0,1.65,-1.51,-0.021,2.18
2023-03-03,1.373,1.374,1.381,1.37,159189,21882228.0,0.8,0.15,0.002,1.65
2023-03-06,1.374,1.397,1.399,1.362,218375,30130173.0,2.69,1.67,0.023,2.26
2023-03-07,1.395,1.38,1.4,1.38,216419,30100972.0,1.43,-1.22,-0.017,2.24
2023-03-08,1.38,1.372,1.39,1.365,160820,22109104.0,1.81,-0.58,-0.008,1.66
2023-03-09,1.374,1.366,1.376,1.364,166652,22821812.0,0.87,-0.44,-0.006,1.72
2023-03-10,1.364,1.356,1.367,1.348,305916,41525548.0,1.39,-0.73,-0.01,3.17
2023-03-13,1.355,1.345,1.362,1.341,203024,27353219.0,1.55,-0.81,-0.011,2.1
2023-03-14,1.345,1.33,1.345,1.306,252144,33318938.0,2.9,-1.12,-0.015,2.61
2023-03-15,1.335,1.331,1.351,1.327,230277,30817995.0,1.8,0.08,0.001,2.38
2023-03-16,1.331,1.295,1.331,1.29,238855,31233934.0,3.08,-2.7,-0.036,2.47
2023-03-17,1.297,1.28,1.303,1.28,431465,55492002.0,1.78,-1.16,-0.015,4.47
2023-03-20,1.28,1.292,1.304,1.269,231414,29756009.0,2.73,0.94,0.012,2.39
2023-03-21,1.291,1.303,1.304,1.283,188281,24336329.0,1.63,0.85,0.011,1.95
2023-03-22,1.304,1.308,1.325,1.304,153446,20172128.0,1.61,0.38,0.005,1.59
2023-03-23,1.305,1.303,1.309,1.298,199356,25965630.0,0.84,-0.38,-0.005,2.06
2023-03-24,1.302,1.307,1.318,1.292,173229,22558080.0,2.0,0.31,0.004,1.79
2023-03-27,1.307,1.317,1.321,1.296,266578,34879457.0,1.91,0.77,0.01,2.76
2023-03-28,1.318,1.3,1.318,1.3,201130,26274772.0,1.37,-1.29,-0.017,2.08
2023-03-29,1.301,1.308,1.319,1.301,179723,23561489.0,1.38,0.62,0.008,1.86
2023-03-30,1.307,1.319,1.319,1.3,175205,22977597.0,1.45,0.84,0.011,1.81
2023-03-31,1.319,1.323,1.338,1.319,199794,26533782.0,1.44,0.3,0.004,2.07
2023-04-03,1.319,1.328,1.333,1.313,199555,26400345.0,1.51,0.38,0.005,2.07
2023-04-04,1.327,1.305,1.327,1.292,232053,30249398.0,2.64,-1.73,-0.023,2.4
2023-04-06,1.302,1.309,1.309,1.292,225355,29259032.0,1.3,0.31,0.004,2.33
