# code=512660, name=军工ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.133,1.143,1.154,1.124,6962138,793603587.0,2.68,2.24,0.025,8.79
2023-01-31,1.138,1.147,1.15,1.136,4705772,538699761.0,1.22,0.35,0.004,5.94
2023-02-01,1.149,1.159,1.16,1.143,4185634,482049406.0,1.48,1.05,0.012,5.29
2023-02-02,1.163,1.143,1.168,1.14,4920882,565940571.0,2.42,-1.38,-0.016,6.22
2023-02-03,1.138,1.157,1.158,1.132,4768217,545130964.0,2.27,1.22,0.014,6.02
2023-02-06,1.153,1.148,1.161,1.142,3257739,374766347.0,1.64,-0.78,-0.009,4.12
2023-02-07,1.148,1.143,1.151,1.135,2902773,330973876.0,1.39,-0.44,-0.005,3.67
2023-02-08,1.143,1.124,1.143,1.123,3076985,347509743.0,1.75,-1.66,-0.019,3.89
2023-02-09,1.123,1.148,1.149,1.12,4141847,472187126.0,2.58,2.14,0.024,5.23
2023-02-10,1.146,1.137,1.149,1.132,3078962,350785534.0,1.48,-0.96,-0.011,3.89
2023-02-13,1.141,1.144,1.155,1.139,3554051,407283864.0,1.41,0.62,0.007,4.49
2023-02-14,1.144,1.138,1.146,1.133,2304417,262116507.0,1.14,-0.52,-0.006,2.91
2023-02-15,1.138,1.144,1.146,1.133,3157434,359495327.0,1.14,0.53,0.006,3.99
2023-02-16,1.143,1.123,1.146,1.111,3894320,440752813.0,3.06,-1.84,-0.021,4.92
2023-02-17,1.121,1.112,1.123,1.102,3859623,429464687.0,1.87,-0.98,-0.011,4.88
2023-02-20,1.11,1.116,1.118,1.096,3643064,403684430.0,1.98,0.36,0.004,4.6
2023-02-21,1.116,1.125,1.135,1.113,4153025,467109684.0,1.97,0.81,0.009,5.25
2023-02-22,1.12,1.129,1.134,1.118,2633208,297161860.0,1.42,0.36,0.004,3.33
2023-02-23,1.129,1.122,1.132,1.119,3166739,355945595.0,1.15,-0.62,-0.007,4.0
2023-02-24,1.122,1.14,1.148,1.122,5217598,595067212.0,2.32,1.6,0.018,6.59
2023-02-27,1.142,1.135,1.149,1.131,4081823,465102441.0,1.58,-0.44,-0.005,5.16
2023-02-28,1.133,1.137,1.139,1.127,2198603,249308616.0,1.06,0.18,0.002,2.78
2023-03-01,1.135,1.144,1.145,1.132,3418569,389738754.0,1.14,0.62,0.007,4.32
2023-03-02,1.144,1.145,1.158,1.142,4240582,488037940.0,1.4,0.09,0.001,5.36
2023-03-03,1.146,1.168,1.168,1.142,6674582,774333079.0,2.27,2.01,0.023,8.43
2023-03-06,1.175,1.175,1.187,1.17,6551120,771791350.0,1.46,0.6,0.007,8.28
2023-03-07,1.171,1.15,1.174,1.148,4553047,528510731.0,2.21,-2.13,-0.025,5.75
2023-03-08,1.146,1.166,1.168,1.143,3385742,392420051.0,2.17,1.39,0.016,4.28
2023-03-09,1.163,1.156,1.169,1.149,2116465,244923494.0,1.72,-0.86,-0.01,2.67
2023-03-10,1.15,1.138,1.154,1.137,2600272,297588958.0,1.47,-1.56,-0.018,3.28
2023-03-13,1.133,1.15,1.15,1.131,2191036,250416816.0,1.67,1.05,0.012,2.77
2023-03-14,1.147,1.144,1.154,1.129,2879772,329507013.0,2.17,-0.52,-0.006,3.64
2023-03-15,1.146,1.142,1.151,1.135,2340314,267220774.0,1.4,-0.17,-0.002,2.96
2023-03-16,1.133,1.112,1.136,1.11,4083028,457672250.0,2.28,-2.63,-0.03,5.16
2023-03-17,1.119,1.121,1.13,1.116,2759892,309756418.0,1.26,0.81,0.009,3.49
2023-03-20,1.125,1.107,1.125,1.105,2788710,310156890.0,1.78,-1.25,-0.014,3.52
2023-03-21,1.121,1.129,1.138,1.121,3944450,445633807.0,1.54,1.99,0.022,4.98
2023-03-22,1.129,1.126,1.13,1.122,2318402,260882062.0,0.71,-0.27,-0.003,2.93
2023-03-23,1.123,1.135,1.137,1.119,3822605,431365546.0,1.6,0.8,0.009,4.83
2023-03-24,1.134,1.126,1.134,1.12,3583093,402942248.0,1.23,-0.79,-0.009,4.53
2023-03-27,1.124,1.114,1.124,1.108,4002559,446082394.0,1.42,-1.07,-0.012,5.06
2023-03-28,1.112,1.097,1.115,1.096,3212649,354924103.0,1.71,-1.53,-0.017,4.06
2023-03-29,1.098,1.086,1.099,1.081,3915499,424773519.0,1.64,-1.0,-0.011,4.95
2023-03-30,1.083,1.088,1.09,1.08,3141039,340829326.0,0.92,0.18,0.002,3.97
2023-03-31,1.087,1.091,1.091,1.084,3728022,405573144.0,0.64,0.28,0.003,4.71
2023-04-03,1.091,1.109,1.11,1.089,4197154,462652817.0,1.92,1.65,0.018,5.3
2023-04-04,1.11,1.107,1.113,1.101,3222620,356091298.0,1.08,-0.18,-0.002,4.07
2023-04-06,1.107,1.122,1.123,1.099,6225240,692623815.0,2.17,1.36,0.015,7.86
2023-04-07,1.119,1.125,1.129,1.117,3517571,395196517.0,1.07,0.27,0.003,4.44
2023-04-10,1.132,1.117,1.135,1.114,3127099,351522864.0,1.87,-0.71,-0.008,3.95
2023-04-11,1.116,1.109,1.116,1.103,4150341,459305586.0,1.16,-0.72,-0.008,5.24
2023-04-12,1.106,1.111,1.114,1.105,2234517,247982551.0,0.81,0.18,0.002,2.82
2023-04-13,1.112,1.107,1.114,1.102,2068912,229059367.0,1.08,-0.36,-0.004,2.61
2023-04-14,1.108,1.109,1.11,1.1,2538218,280720523.0,0.9,0.18,0.002,3.21
2023-04-17,1.109,1.112,1.112,1.103,2775659,307550004.0,0.81,0.27,0.003,3.51
2023-04-18,1.112,1.107,1.112,1.1,3423210,378334812.0,1.08,-0.45,-0.005,4.32
2023-04-19,1.106,1.099,1.106,1.096,2668685,293695005.0,0.9,-0.72,-0.008,3.37
2023-04-20,1.097,1.092,1.1,1.087,2742269,299096069.0,1.18,-0.64,-0.007,3.46
2023-04-21,1.09,1.091,1.115,1.088,5906693,653246552.0,2.47,-0.09,-0.001,7.46
2023-04-24,1.091,1.077,1.093,1.07,4438168,478233401.0,2.11,-1.28,-0.014,5.61
2023-04-25,1.075,1.056,1.08,1.047,3508053,372552695.0,3.06,-1.95,-0.021,4.43
2023-04-26,1.051,1.066,1.074,1.05,2575340,274685470.0,2.27,0.95,0.01,3.25
2023-04-27,1.063,1.088,1.091,1.058,4019312,434660198.0,3.1,2.06,0.022,5.08
2023-04-28,1.087,1.091,1.092,1.082,3111817,338545770.0,0.92,0.28,0.003,3.93
2023-05-04,1.088,1.09,1.098,1.083,2150690,234541935.0,1.37,-0.09,-0.001,2.72
2023-05-05,1.088,1.077,1.09,1.071,2195603,236773920.0,1.74,-1.19,-0.013,2.77
2023-05-08,1.078,1.112,1.113,1.076,5640022,621461602.0,3.44,3.25,0.035,7.12
2023-05-09,1.112,1.092,1.122,1.091,5586344,619592924.0,2.79,-1.8,-0.02,7.06
2023-05-10,1.09,1.083,1.09,1.076,2886457,312234122.0,1.28,-0.82,-0.009,3.65
2023-05-11,1.083,1.073,1.084,1.07,3002464,322511820.0,1.29,-0.92,-0.01,3.79
2023-05-12,1.071,1.057,1.076,1.055,3425863,363973255.0,1.96,-1.49,-0.016,4.33
2023-05-15,1.056,1.088,1.09,1.053,4431226,475535956.0,3.5,2.93,0.031,5.6
2023-05-16,1.085,1.081,1.092,1.078,2317183,251355462.0,1.29,-0.64,-0.007,2.93
2023-05-17,1.077,1.108,1.111,1.076,5361596,589835717.0,3.24,2.5,0.027,6.77
2023-05-18,1.105,1.106,1.111,1.099,2730279,301790036.0,1.08,-0.18,-0.002,3.45
2023-05-19,1.102,1.107,1.111,1.096,2777323,307184763.0,1.36,0.09,0.001,3.51
2023-05-22,1.105,1.1,1.11,1.093,2843544,312400100.0,1.54,-0.63,-0.007,3.59
2023-05-23,1.099,1.082,1.099,1.081,2460093,267835933.0,1.64,-1.64,-0.018,3.11
2023-05-24,1.081,1.077,1.092,1.072,2559332,276708859.0,1.85,-0.46,-0.005,3.23
2023-05-25,1.073,1.081,1.087,1.07,2116706,228319760.0,1.58,0.37,0.004,2.67
2023-05-26,1.08,1.078,1.081,1.067,2408328,258915035.0,1.3,-0.28,-0.003,3.04
2023-05-29,1.088,1.08,1.096,1.078,2739746,297275975.0,1.67,0.19,0.002,3.46
2023-05-30,1.076,1.072,1.079,1.055,3040149,324408207.0,2.22,-0.74,-0.008,3.84
2023-05-31,1.07,1.076,1.085,1.067,2857002,308068872.0,1.68,0.37,0.004,3.61
2023-06-01,1.073,1.086,1.089,1.064,2552651,275596780.0,2.32,0.93,0.01,3.22
2023-06-02,1.085,1.08,1.088,1.077,3146179,340489558.0,1.01,-0.55,-0.006,3.97
2023-06-05,1.078,1.069,1.081,1.067,2316938,248523794.0,1.3,-1.02,-0.011,2.93
2023-06-06,1.068,1.046,1.069,1.042,4448624,469001287.0,2.53,-2.15,-0.023,5.62
2023-06-07,1.045,1.038,1.046,1.035,2583920,268488226.0,1.05,-0.76,-0.008,3.26
2023-06-08,1.036,1.036,1.04,1.028,2696773,278973043.0,1.16,-0.19,-0.002,3.41
2023-06-09,1.037,1.042,1.042,1.026,2893572,298641874.0,1.54,0.58,0.006,3.66
2023-06-12,1.036,1.038,1.043,1.035,2600746,269950757.0,0.77,-0.38,-0.004,3.29
2023-06-13,1.037,1.04,1.041,1.028,2633134,272727714.0,1.25,0.19,0.002,3.33
2023-06-14,1.039,1.039,1.042,1.036,2839311,294934023.0,0.58,-0.1,-0.001,3.59
2023-06-15,1.037,1.047,1.05,1.034,4070890,424843943.0,1.54,0.77,0.008,5.14
2023-06-16,1.048,1.064,1.068,1.048,5071726,538313240.0,1.91,1.62,0.017,6.41
2023-06-19,1.062,1.072,1.077,1.06,3675017,393897066.0,1.6,0.75,0.008,4.64
2023-06-20,1.072,1.103,1.107,1.068,7913085,867664351.0,3.64,2.89,0.031,10.0
2023-06-21,1.101,1.09,1.105,1.087,3152776,345400844.0,1.63,-1.18,-0.013,3.98
2023-06-26,1.085,1.072,1.092,1.07,2688953,289991707.0,2.02,-1.65,-0.018,3.4
2023-06-27,1.074,1.09,1.094,1.072,3014328,326943823.0,2.05,1.68,0.018,3.81
2023-06-28,1.089,1.097,1.103,1.073,6078648,665364144.0,2.75,0.64,0.007,7.68
2023-06-29,1.093,1.103,1.11,1.091,2856948,315444589.0,1.73,0.55,0.006,3.61
2023-06-30,1.105,1.124,1.128,1.103,4036754,452204786.0,2.27,1.9,0.021,5.1
2023-07-03,1.124,1.132,1.14,1.124,4725182,535072619.0,1.42,0.71,0.008,5.97
2023-07-04,1.13,1.134,1.139,1.127,2880023,326527210.0,1.06,0.18,0.002,3.64
2023-07-05,1.129,1.119,1.134,1.118,3004751,338108520.0,1.41,-1.32,-0.015,3.8
2023-07-06,1.118,1.112,1.123,1.11,2399265,267528728.0,1.16,-0.63,-0.007,3.03
2023-07-07,1.108,1.101,1.111,1.097,2045505,225460195.0,1.26,-0.99,-0.011,2.58
2023-07-10,1.102,1.106,1.113,1.099,2006056,221881956.0,1.27,0.45,0.005,2.53
2023-07-11,1.107,1.112,1.116,1.106,1726710,191965234.0,0.9,0.54,0.006,2.18
2023-07-12,1.113,1.092,1.114,1.091,2698518,296940964.0,2.07,-1.8,-0.02,3.41
2023-07-13,1.092,1.099,1.101,1.092,1506723,165333713.0,0.82,0.64,0.007,1.9
2023-07-14,1.1,1.094,1.103,1.093,3952420,433690439.0,0.91,-0.45,-0.005,4.99
2023-07-17,1.094,1.099,1.099,1.087,2533778,277313686.0,1.1,0.46,0.005,3.2
2023-07-18,1.096,1.1,1.106,1.091,1832430,201735392.0,1.36,0.09,0.001,2.31
2023-07-19,1.1,1.091,1.102,1.085,1671897,182449930.0,1.55,-0.82,-0.009,2.11
2023-07-20,1.091,1.07,1.092,1.069,2132091,230002304.0,2.11,-1.92,-0.021,2.69
2023-07-21,1.069,1.067,1.075,1.062,1595050,170399309.0,1.21,-0.28,-0.003,2.01
2023-07-24,1.065,1.075,1.082,1.063,2075025,222957683.0,1.78,0.75,0.008,2.62
2023-07-25,1.082,1.084,1.084,1.072,3125548,336937035.0,1.12,0.84,0.009,3.95
2023-07-26,1.082,1.076,1.083,1.073,1855315,199917586.0,0.92,-0.74,-0.008,2.34
2023-07-27,1.078,1.073,1.085,1.068,3095167,333271145.0,1.58,-0.28,-0.003,3.91
2023-07-28,1.068,1.071,1.072,1.056,4919991,523650240.0,1.49,-0.19,-0.002,6.22
2023-07-31,1.073,1.078,1.079,1.07,3472596,372844196.0,0.84,0.65,0.007,4.39
2023-08-01,1.077,1.081,1.083,1.074,3549299,383182742.0,0.83,0.28,0.003,4.48
2023-08-02,1.078,1.073,1.085,1.071,2104591,226541501.0,1.3,-0.74,-0.008,2.66
2023-08-03,1.071,1.072,1.073,1.065,1958737,209440036.0,0.75,-0.09,-0.001,2.47
2023-08-04,1.072,1.071,1.076,1.064,2468776,264105412.0,1.12,-0.09,-0.001,3.12
2023-08-07,1.068,1.067,1.072,1.065,2446741,261260292.0,0.65,-0.37,-0.004,3.09
2023-08-08,1.065,1.054,1.066,1.049,4910622,517809115.0,1.59,-1.22,-0.013,6.2
2023-08-09,1.051,1.05,1.053,1.047,3490756,366226799.0,0.57,-0.38,-0.004,4.41
2023-08-10,1.05,1.05,1.056,1.047,2683150,282269404.0,0.86,0.0,0.0,3.39
2023-08-11,1.05,1.04,1.052,1.036,3519430,367379484.0,1.52,-0.95,-0.01,4.45
2023-08-14,1.033,1.042,1.044,1.025,4197962,433372638.0,1.83,0.19,0.002,5.3
2023-08-15,1.04,1.031,1.043,1.025,3000512,309817796.0,1.73,-1.06,-0.011,3.79
2023-08-16,1.027,1.015,1.033,1.015,3293511,336785853.0,1.75,-1.55,-0.016,4.16
2023-08-17,1.012,1.047,1.049,1.006,6030691,622900203.0,4.24,3.15,0.032,7.62
2023-08-18,1.043,1.037,1.056,1.037,3674227,385050109.0,1.81,-0.96,-0.01,4.64
2023-08-21,1.04,1.02,1.043,1.019,3095564,319012778.0,2.31,-1.64,-0.017,3.91
2023-08-22,1.02,1.033,1.036,1.016,3756350,386196485.0,1.96,1.27,0.013,4.75
2023-08-23,1.03,1.01,1.03,1.009,3234302,329108977.0,2.03,-2.23,-0.023,4.09
2023-08-24,1.011,1.011,1.019,1.0,2948431,297891352.0,1.88,0.1,0.001,3.72
2023-08-25,1.006,0.994,1.012,0.991,3343387,334435465.0,2.08,-1.68,-0.017,4.22
2023-08-28,1.039,1.003,1.045,0.999,4363033,445122277.0,4.63,0.91,0.009,5.51
2023-08-29,1.0,1.031,1.037,0.998,4942294,505873753.0,3.89,2.79,0.028,6.24
2023-08-30,1.031,1.04,1.051,1.031,3367076,350820758.0,1.94,0.87,0.009,4.25
2023-08-31,1.039,1.035,1.043,1.03,1669188,172855312.0,1.25,-0.48,-0.005,2.11
2023-09-01,1.034,1.029,1.036,1.023,1964392,201994668.0,1.26,-0.58,-0.006,2.48
2023-09-04,1.031,1.038,1.039,1.027,2898888,299445886.0,1.17,0.87,0.009,3.66
2023-09-05,1.037,1.036,1.045,1.034,2326934,241827898.0,1.06,-0.19,-0.002,2.94
2023-09-06,1.034,1.053,1.056,1.027,3640137,380661224.0,2.8,1.64,0.017,4.6
2023-09-07,1.052,1.038,1.056,1.037,2742734,287256666.0,1.8,-1.42,-0.015,3.46
2023-09-08,1.037,1.062,1.064,1.033,4630136,488295553.0,2.99,2.31,0.024,5.85
2023-09-11,1.063,1.054,1.064,1.046,2757930,290235465.0,1.69,-0.75,-0.008,3.48
2023-09-12,1.051,1.048,1.052,1.043,1766347,185050351.0,0.85,-0.57,-0.006,2.23
2023-09-13,1.046,1.031,1.046,1.026,2673013,276177238.0,1.91,-1.62,-0.017,3.38
2023-09-14,1.03,1.029,1.035,1.026,1372337,141384806.0,0.87,-0.19,-0.002,1.73
2023-09-15,1.029,1.03,1.031,1.023,1826141,187621132.0,0.78,0.1,0.001,2.31
2023-09-18,1.025,1.022,1.026,1.017,1734386,177042686.0,0.87,-0.78,-0.008,2.19
2023-09-19,1.021,1.008,1.021,1.005,2102274,212343462.0,1.57,-1.37,-0.014,2.66
2023-09-20,1.006,0.998,1.009,0.998,2134703,213996381.0,1.09,-0.99,-0.01,2.7
2023-09-21,1.0,0.999,1.011,0.998,2013784,202012099.0,1.3,0.1,0.001,2.54
2023-09-22,0.994,1.012,1.013,0.994,2145988,215441010.0,1.9,1.3,0.013,2.71
