# code=512690, name=酒ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.929,0.926,0.934,0.911,8265337,764538456.0,2.53,1.87,0.017,2.35
2023-01-31,0.924,0.899,0.929,0.896,6957866,630575293.0,3.56,-2.92,-0.027,1.97
2023-02-01,0.9,0.904,0.906,0.886,9019866,810532501.0,2.22,0.56,0.005,2.56
2023-02-02,0.908,0.914,0.922,0.9,6151143,560783465.0,2.43,1.11,0.01,1.75
2023-02-03,0.905,0.906,0.911,0.89,8093898,728823821.0,2.3,-0.88,-0.008,2.3
2023-02-06,0.887,0.89,0.897,0.875,11013766,977164576.0,2.43,-1.77,-0.016,3.13
2023-02-07,0.89,0.889,0.899,0.885,4425481,394000727.0,1.57,-0.11,-0.001,1.26
2023-02-08,0.891,0.882,0.893,0.879,5710542,504977653.0,1.57,-0.79,-0.007,1.62
2023-02-09,0.881,0.912,0.914,0.88,10470930,950409989.0,3.85,3.4,0.03,2.97
2023-02-10,0.912,0.917,0.922,0.905,6266411,573060249.0,1.86,0.55,0.005,1.78
2023-02-13,0.914,0.951,0.959,0.913,9518211,900111171.0,5.02,3.71,0.034,2.7
2023-02-14,0.952,0.945,0.96,0.939,4256619,402830333.0,2.21,-0.63,-0.006,1.21
2023-02-15,0.946,0.945,0.958,0.94,7922988,749764166.0,1.9,0.0,0.0,2.25
2023-02-16,0.943,0.952,0.968,0.937,8227100,785304370.0,3.28,0.74,0.007,2.33
2023-02-17,0.947,0.938,0.968,0.936,8597407,819040127.0,3.36,-1.47,-0.014,2.44
2023-02-20,0.937,0.96,0.961,0.931,7386705,700506087.0,3.2,2.35,0.022,2.1
2023-02-21,0.96,0.946,0.96,0.939,5858752,554171051.0,2.19,-1.46,-0.014,1.66
2023-02-22,0.941,0.944,0.957,0.936,4737903,448506255.0,2.22,-0.21,-0.002,1.34
2023-02-23,0.944,0.933,0.95,0.927,6169111,576447366.0,2.44,-1.17,-0.011,1.75
2023-02-24,0.933,0.92,0.933,0.911,6082251,559131235.0,2.36,-1.39,-0.013,1.73
2023-02-27,0.913,0.932,0.937,0.911,4924942,456116844.0,2.83,1.3,0.012,1.4
2023-02-28,0.934,0.932,0.939,0.922,4185823,389151816.0,1.82,0.0,0.0,1.19
2023-03-01,0.932,0.941,0.945,0.923,5500428,515238784.0,2.36,0.97,0.009,1.56
2023-03-02,0.94,0.938,0.943,0.935,4630725,434331820.0,0.85,-0.32,-0.003,1.31
2023-03-03,0.942,0.931,0.95,0.926,6313281,590715520.0,2.56,-0.75,-0.007,1.79
2023-03-06,0.931,0.931,0.94,0.918,4942392,459596579.0,2.36,0.0,0.0,1.4
2023-03-07,0.928,0.913,0.932,0.912,4319986,398420182.0,2.15,-1.93,-0.018,1.23
2023-03-08,0.908,0.908,0.919,0.902,4516919,410026909.0,1.86,-0.55,-0.005,1.28
2023-03-09,0.907,0.9,0.912,0.886,6265739,563248884.0,2.86,-0.88,-0.008,1.78
2023-03-10,0.892,0.886,0.907,0.886,6266407,559255785.0,2.33,-1.56,-0.014,1.78
2023-03-13,0.888,0.904,0.91,0.887,5329437,481448466.0,2.6,2.03,0.018,1.51
2023-03-14,0.905,0.896,0.907,0.886,6162846,552556445.0,2.32,-0.88,-0.008,1.75
2023-03-15,0.905,0.885,0.907,0.883,4811832,429100589.0,2.68,-1.23,-0.011,1.37
2023-03-16,0.881,0.883,0.897,0.876,4625289,409600450.0,2.37,-0.23,-0.002,1.31
2023-03-17,0.891,0.869,0.893,0.865,6362940,558126716.0,3.17,-1.59,-0.014,1.81
2023-03-20,0.868,0.857,0.87,0.851,4978461,427600921.0,2.19,-1.38,-0.012,1.41
2023-03-21,0.861,0.886,0.889,0.856,5801423,508519858.0,3.85,3.38,0.029,1.65
2023-03-22,0.888,0.882,0.9,0.88,5774574,514530565.0,2.26,-0.45,-0.004,1.64
2023-03-23,0.878,0.892,0.902,0.876,7671505,685137406.0,2.95,1.13,0.01,2.18
2023-03-24,0.892,0.892,0.903,0.885,4904596,438682091.0,2.02,0.0,0.0,1.39
2023-03-27,0.894,0.884,0.895,0.88,6146092,544528410.0,1.68,-0.9,-0.008,1.74
2023-03-28,0.886,0.903,0.906,0.886,6586313,592204257.0,2.26,2.15,0.019,1.87
2023-03-29,0.908,0.912,0.914,0.898,9956934,905336307.0,1.77,1.0,0.009,2.83
2023-03-30,0.911,0.924,0.926,0.905,10699760,981583942.0,2.3,1.32,0.012,3.04
2023-03-31,0.927,0.92,0.939,0.919,6625710,614690930.0,2.16,-0.43,-0.004,1.88
2023-04-03,0.919,0.918,0.926,0.908,7270993,667282577.0,1.96,-0.22,-0.002,2.06
2023-04-04,0.917,0.925,0.927,0.908,7859473,721215918.0,2.07,0.76,0.007,2.23
2023-04-06,0.919,0.904,0.924,0.901,9696261,882304612.0,2.49,-2.27,-0.021,2.75
2023-04-07,0.902,0.9,0.912,0.894,7707861,695367487.0,1.99,-0.44,-0.004,2.19
2023-04-10,0.895,0.885,0.895,0.863,11585634,1014492657.0,3.56,-1.67,-0.015,3.29
