# code=512750, name=基本面50ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.125,1.123,1.137,1.12,87417,9842255.0,1.51,0.0,0.0,17.12
2023-01-31,1.12,1.115,1.126,1.113,110745,12398342.0,1.16,-0.71,-0.008,21.69
2023-02-01,1.118,1.118,1.118,1.106,64962,7217446.0,1.08,0.27,0.003,12.72
2023-02-02,1.119,1.114,1.119,1.109,83200,9242709.0,0.89,-0.36,-0.004,16.3
2023-02-03,1.114,1.102,1.114,1.095,79716,8759806.0,1.71,-1.08,-0.012,15.61
2023-02-06,1.102,1.085,1.102,1.084,80857,8794219.0,1.63,-1.54,-0.017,15.84
2023-02-07,1.089,1.093,1.096,1.088,89373,9764592.0,0.74,0.74,0.008,17.51
2023-02-08,1.094,1.089,1.1,1.088,84351,9226980.0,1.1,-0.37,-0.004,16.52
2023-02-09,1.09,1.096,1.099,1.089,133392,14620436.0,0.92,0.64,0.007,26.13
2023-02-10,1.096,1.097,1.098,1.092,81624,8936850.0,0.55,0.09,0.001,15.99
2023-02-13,1.099,1.1,1.1,1.087,77461,8476535.0,1.19,0.27,0.003,15.17
2023-02-14,1.101,1.103,1.104,1.097,66365,7301482.0,0.64,0.27,0.003,13.0
2023-02-15,1.105,1.096,1.105,1.093,65439,7179560.0,1.09,-0.63,-0.007,12.82
2023-02-16,1.097,1.094,1.113,1.091,73351,8091240.0,2.01,-0.18,-0.002,14.37
2023-02-17,1.099,1.089,1.101,1.088,71726,7870865.0,1.19,-0.46,-0.005,14.05
2023-02-20,1.089,1.117,1.12,1.089,86500,9547537.0,2.85,2.57,0.028,16.94
2023-02-21,1.12,1.125,1.126,1.116,80027,8987400.0,0.9,0.72,0.008,15.67
2023-02-22,1.125,1.114,1.125,1.114,81872,9153917.0,0.98,-0.98,-0.011,16.04
2023-02-23,1.115,1.112,1.121,1.11,71749,8005563.0,0.99,-0.18,-0.002,14.05
2023-02-24,1.112,1.106,1.113,1.101,59499,6580974.0,1.08,-0.54,-0.006,11.65
2023-02-27,1.106,1.1,1.106,1.098,130731,14412972.0,0.72,-0.54,-0.006,25.61
2023-02-28,1.101,1.109,1.109,1.095,84764,9330191.0,1.27,0.82,0.009,16.6
2023-03-01,1.11,1.131,1.133,1.109,98290,11029278.0,2.16,1.98,0.022,19.25
2023-03-02,1.132,1.138,1.141,1.125,92666,10496212.0,1.41,0.62,0.007,18.15
2023-03-03,1.139,1.149,1.151,1.138,83932,9601156.0,1.14,0.97,0.011,16.44
2023-03-06,1.149,1.136,1.153,1.135,74771,8544203.0,1.57,-1.13,-0.013,14.65
2023-03-07,1.138,1.133,1.157,1.131,89430,10257824.0,2.29,-0.26,-0.003,17.52
