# code=512980, name=传媒ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.651,0.642,0.659,0.641,2781928,179550602.0,2.8,-0.31,-0.002,3.5
2023-01-31,0.639,0.645,0.645,0.637,1233002,78974244.0,1.25,0.47,0.003,1.55
2023-02-01,0.643,0.653,0.654,0.639,1400849,90401194.0,2.33,1.24,0.008,1.76
2023-02-02,0.653,0.66,0.669,0.653,3154962,208966835.0,2.45,1.07,0.007,3.97
2023-02-03,0.656,0.668,0.67,0.656,1571668,104274133.0,2.12,1.21,0.008,1.98
2023-02-06,0.666,0.672,0.677,0.658,1777504,119098555.0,2.84,0.6,0.004,2.24
2023-02-07,0.671,0.686,0.689,0.667,3683445,250458285.0,3.27,2.08,0.014,4.63
2023-02-08,0.686,0.671,0.688,0.669,1758383,118656822.0,2.77,-2.19,-0.015,2.21
2023-02-09,0.665,0.687,0.688,0.663,1252576,84608493.0,3.73,2.38,0.016,1.57
2023-02-10,0.685,0.688,0.697,0.682,1544060,106542865.0,2.18,0.15,0.001,1.94
2023-02-13,0.686,0.694,0.696,0.681,1631313,112143205.0,2.18,0.87,0.006,2.05
2023-02-14,0.694,0.688,0.698,0.686,1196440,82490754.0,1.73,-0.86,-0.006,1.5
2023-02-15,0.687,0.701,0.702,0.685,1195600,83187001.0,2.47,1.89,0.013,1.5
2023-02-16,0.699,0.698,0.72,0.69,2083259,147467950.0,4.28,-0.43,-0.003,2.62
2023-02-17,0.697,0.678,0.7,0.677,1825040,124925580.0,3.3,-2.87,-0.02,2.29
2023-02-20,0.679,0.704,0.705,0.679,2140644,148457819.0,3.83,3.83,0.026,2.69
2023-02-21,0.701,0.694,0.706,0.688,1340821,93330698.0,2.56,-1.42,-0.01,1.69
2023-02-22,0.688,0.686,0.692,0.679,1073033,73501920.0,1.87,-1.15,-0.008,1.35
2023-02-23,0.686,0.675,0.688,0.67,879140,59597762.0,2.62,-1.6,-0.011,1.11
2023-02-24,0.673,0.674,0.678,0.668,737621,49663623.0,1.48,-0.15,-0.001,0.93
2023-02-27,0.67,0.663,0.675,0.661,888905,59327577.0,2.08,-1.63,-0.011,1.12
2023-02-28,0.665,0.671,0.672,0.662,977367,65312800.0,1.51,1.21,0.008,1.23
2023-03-01,0.67,0.698,0.7,0.67,1242478,85558158.0,4.47,4.02,0.027,1.56
2023-03-02,0.697,0.709,0.714,0.696,4249005,301475082.0,2.58,1.58,0.011,5.34
2023-03-03,0.708,0.706,0.713,0.697,1216066,85744903.0,2.26,-0.42,-0.003,1.53
2023-03-06,0.703,0.701,0.708,0.698,887055,62341972.0,1.42,-0.71,-0.005,1.12
2023-03-07,0.7,0.684,0.705,0.684,968686,67367559.0,3.0,-2.43,-0.017,1.22
2023-03-08,0.683,0.694,0.694,0.682,935635,64474785.0,1.75,1.46,0.01,1.18
2023-03-09,0.694,0.692,0.695,0.684,827668,57031406.0,1.59,-0.29,-0.002,1.04
2023-03-10,0.686,0.68,0.692,0.68,844029,57895908.0,1.73,-1.73,-0.012,1.06
2023-03-13,0.68,0.699,0.699,0.675,2064979,141091866.0,3.53,2.79,0.019,2.6
2023-03-14,0.697,0.695,0.709,0.69,1164258,81376671.0,2.72,-0.57,-0.004,1.46
2023-03-15,0.697,0.692,0.703,0.69,804083,55924354.0,1.87,-0.43,-0.003,1.01
2023-03-16,0.689,0.697,0.704,0.679,1170378,80965537.0,3.61,0.72,0.005,1.47
2023-03-17,0.699,0.73,0.733,0.699,2515744,181926242.0,4.88,4.73,0.033,3.16
2023-03-20,0.745,0.75,0.765,0.73,4640865,349359998.0,4.79,2.74,0.02,5.84
2023-03-21,0.747,0.766,0.772,0.745,4624484,351021277.0,3.6,2.13,0.016,5.81
2023-03-22,0.768,0.789,0.789,0.761,2810735,217939579.0,3.66,3.0,0.023,3.53
2023-03-23,0.783,0.787,0.79,0.775,2085809,163625140.0,1.9,-0.25,-0.002,2.62
2023-03-24,0.784,0.82,0.82,0.784,4476459,360721627.0,4.57,4.19,0.033,5.63
2023-03-27,0.816,0.828,0.839,0.804,3439668,284020424.0,4.27,0.98,0.008,4.33
2023-03-28,0.818,0.814,0.833,0.808,2691110,220482199.0,3.02,-1.69,-0.014,3.38
2023-03-29,0.808,0.806,0.823,0.795,2596787,210579345.0,3.44,-0.98,-0.008,3.27
2023-03-30,0.801,0.799,0.81,0.787,1436724,114907314.0,2.85,-0.87,-0.007,1.81
2023-03-31,0.793,0.846,0.847,0.791,3236351,265607800.0,7.01,5.88,0.047,4.07
2023-04-03,0.838,0.887,0.893,0.835,5251119,454797301.0,6.86,4.85,0.041,6.6
2023-04-04,0.88,0.882,0.905,0.875,5126582,457008905.0,3.38,-0.56,-0.005,6.45
2023-04-06,0.86,0.858,0.871,0.842,4691478,402510203.0,3.29,-2.72,-0.024,5.9
2023-04-07,0.854,0.89,0.897,0.845,3913229,340955751.0,6.06,3.73,0.032,4.92
2023-04-10,0.888,0.843,0.896,0.838,3062294,263575608.0,6.52,-5.28,-0.047,3.85
2023-04-11,0.841,0.89,0.907,0.841,3632738,319414078.0,7.83,5.58,0.047,4.57
2023-04-12,0.887,0.939,0.941,0.88,4448584,406932892.0,6.85,5.51,0.049,5.59
2023-04-13,0.933,0.92,0.954,0.916,3900817,366988076.0,4.05,-2.02,-0.019,4.9
2023-04-14,0.911,0.898,0.93,0.875,4617741,416956590.0,5.98,-2.39,-0.022,5.81
2023-04-17,0.888,0.863,0.89,0.86,4093982,356689909.0,3.34,-3.9,-0.035,5.15
2023-04-18,0.86,0.87,0.873,0.838,3153119,269617908.0,4.06,0.81,0.007,3.96
2023-04-19,0.86,0.871,0.894,0.859,3498359,308307034.0,4.02,0.11,0.001,4.4
2023-04-20,0.868,0.922,0.924,0.867,3573317,321866287.0,6.54,5.86,0.051,4.49
2023-04-21,0.922,0.876,0.934,0.874,3736883,335732810.0,6.51,-4.99,-0.046,4.7
2023-04-24,0.868,0.909,0.925,0.868,5236276,472359970.0,6.51,3.77,0.033,6.58
2023-04-25,0.905,0.933,0.94,0.893,4499339,412744186.0,5.17,2.64,0.024,5.66
2023-04-26,0.922,0.922,0.952,0.887,4007007,369940305.0,6.97,-1.18,-0.011,5.04
2023-04-27,0.908,0.88,0.923,0.864,3228038,288439544.0,6.4,-4.56,-0.042,4.06
2023-04-28,0.871,0.961,0.968,0.871,4598667,434232447.0,11.02,9.2,0.081,5.78
2023-05-04,0.975,1.019,1.028,0.968,4958691,493124969.0,6.24,6.04,0.058,6.24
2023-05-05,1.004,0.992,1.016,0.98,3181412,316168154.0,3.53,-2.65,-0.027,4.0
2023-05-08,0.974,0.984,1.001,0.955,3462705,339214960.0,4.64,-0.81,-0.008,4.35
2023-05-09,0.97,0.956,1.0,0.953,2807962,272935798.0,4.78,-2.85,-0.028,3.53
2023-05-10,0.946,0.946,0.975,0.923,3252079,309546122.0,5.44,-1.05,-0.01,4.09
2023-05-11,0.947,0.966,0.989,0.945,3048442,295179440.0,4.65,2.11,0.02,3.83
2023-05-12,0.954,0.917,0.966,0.916,2553229,239569842.0,5.18,-5.07,-0.049,3.21
2023-05-15,0.92,0.902,0.93,0.876,3277929,295028497.0,5.89,-1.64,-0.015,4.12
2023-05-16,0.901,0.866,0.911,0.863,3023479,268896438.0,5.32,-3.99,-0.036,3.8
2023-05-17,0.853,0.872,0.889,0.853,2309002,200767727.0,4.16,0.69,0.006,2.9
2023-05-18,0.868,0.898,0.902,0.86,2214167,196648074.0,4.82,2.98,0.026,2.78
2023-05-19,0.893,0.877,0.907,0.873,1819914,161545466.0,3.79,-2.34,-0.021,2.29
2023-05-22,0.868,0.859,0.878,0.844,2850898,245397158.0,3.88,-2.05,-0.018,3.58
2023-05-23,0.86,0.843,0.866,0.842,2452569,208752584.0,2.79,-1.86,-0.016,3.08
2023-05-24,0.838,0.85,0.856,0.827,2691580,226003524.0,3.44,0.83,0.007,3.38
2023-05-25,0.845,0.828,0.857,0.807,2021757,167796879.0,5.88,-2.59,-0.022,2.54
2023-05-26,0.823,0.848,0.851,0.819,2907417,244411803.0,3.86,2.42,0.02,3.66
2023-05-29,0.849,0.86,0.878,0.841,2802562,240238526.0,4.36,1.42,0.012,3.52
2023-05-30,0.851,0.9,0.904,0.835,3383323,296784039.0,8.02,4.65,0.04,4.25
2023-05-31,0.895,0.913,0.922,0.895,4159721,378928521.0,3.0,1.44,0.013,5.23
2023-06-01,0.904,0.934,0.955,0.902,5600509,521781431.0,5.81,2.3,0.021,7.04
2023-06-02,0.938,0.934,0.949,0.928,3152112,295303575.0,2.25,0.0,0.0,3.96
2023-06-05,0.929,0.954,0.959,0.925,2320431,219157451.0,3.64,2.14,0.02,2.92
2023-06-06,0.95,0.927,0.968,0.92,2746523,259271635.0,5.03,-2.83,-0.027,3.45
2023-06-07,0.921,0.936,0.946,0.912,1846513,171861126.0,3.67,0.97,0.009,2.32
2023-06-08,0.929,0.917,0.934,0.9,2105854,192423638.0,3.63,-2.03,-0.019,2.65
2023-06-09,0.91,0.955,0.957,0.908,3264561,304593333.0,5.34,4.14,0.038,4.1
2023-06-12,0.95,0.948,0.963,0.943,2441660,232904071.0,2.09,-0.73,-0.007,3.07
2023-06-13,0.945,0.979,0.985,0.945,3112944,302709429.0,4.22,3.27,0.031,3.91
2023-06-14,0.974,0.992,1.011,0.973,3520048,349039215.0,3.88,1.33,0.013,4.43
2023-06-15,0.994,0.986,1.015,0.981,2842504,282665367.0,3.43,-0.6,-0.006,3.57
2023-06-16,0.974,1.005,1.014,0.967,2418770,239893448.0,4.77,1.93,0.019,3.04
2023-06-19,1.004,1.012,1.016,0.995,2519560,253067429.0,2.09,0.7,0.007,3.17
2023-06-20,1.011,1.019,1.035,1.0,2411794,246138285.0,3.46,0.69,0.007,3.03
2023-06-21,1.005,0.941,1.009,0.94,4376498,424125893.0,6.77,-7.65,-0.078,5.5
2023-06-26,0.923,0.89,0.942,0.884,3322840,301115323.0,6.16,-5.42,-0.051,4.18
2023-06-27,0.89,0.9,0.914,0.883,1925265,172382593.0,3.48,1.12,0.01,2.42
2023-06-28,0.889,0.888,0.899,0.856,2541573,223058302.0,4.78,-1.33,-0.012,3.2
2023-06-29,0.881,0.9,0.908,0.881,2660404,238413758.0,3.04,1.35,0.012,3.35
2023-06-30,0.901,0.894,0.906,0.883,2956972,263768443.0,2.56,-0.67,-0.006,3.72
2023-07-03,0.895,0.86,0.899,0.845,2808607,241482119.0,6.04,-3.8,-0.034,3.53
2023-07-04,0.855,0.867,0.869,0.855,1676299,144252911.0,1.63,0.81,0.007,2.11
2023-07-05,0.863,0.854,0.87,0.853,2377791,204354311.0,1.96,-1.5,-0.013,2.99
2023-07-06,0.854,0.859,0.88,0.851,2140268,185059521.0,3.4,0.59,0.005,2.69
2023-07-07,0.854,0.852,0.86,0.828,1761827,148896630.0,3.73,-0.81,-0.007,2.22
2023-07-10,0.852,0.863,0.863,0.845,1253565,107301549.0,2.11,1.29,0.011,1.58
2023-07-11,0.861,0.855,0.867,0.846,1612144,138039535.0,2.43,-0.93,-0.008,2.03
