# code=513050, name=中概互联网ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.202,1.161,1.206,1.154,22481841,2650724985.0,4.42,-1.28,-0.015,6.89
2023-01-31,1.159,1.127,1.171,1.125,17765496,2033791541.0,3.96,-2.93,-0.034,5.45
2023-02-01,1.143,1.163,1.168,1.132,19037692,2184295988.0,3.19,3.19,0.036,5.84
2023-02-02,1.178,1.17,1.182,1.165,13117416,1540406855.0,1.46,0.6,0.007,4.02
2023-02-03,1.156,1.147,1.157,1.132,17789704,2030779965.0,2.14,-1.97,-0.023,5.45
2023-02-06,1.125,1.11,1.126,1.106,20941063,2331466717.0,1.74,-3.23,-0.037,6.42
2023-02-07,1.119,1.128,1.141,1.116,15831272,1788952895.0,2.25,1.62,0.018,4.85
2023-02-08,1.13,1.114,1.132,1.106,15078110,1683745400.0,2.3,-1.24,-0.014,4.62
2023-02-09,1.107,1.144,1.145,1.106,15684566,1768281833.0,3.5,2.69,0.03,4.81
2023-02-10,1.136,1.11,1.142,1.108,16282432,1823178529.0,2.97,-2.97,-0.034,4.99
2023-02-13,1.097,1.111,1.12,1.087,17635522,1950130106.0,2.97,0.09,0.001,5.41
2023-02-14,1.119,1.107,1.12,1.106,8751702,971799577.0,1.26,-0.36,-0.004,2.68
2023-02-15,1.109,1.096,1.111,1.086,15877316,1739133197.0,2.26,-0.99,-0.011,4.87
2023-02-16,1.106,1.115,1.137,1.103,25083779,2817187712.0,3.1,1.73,0.019,7.69
2023-02-17,1.116,1.096,1.126,1.095,14197758,1574540231.0,2.78,-1.7,-0.019,4.35
2023-02-20,1.092,1.104,1.106,1.081,17505657,1913282435.0,2.28,0.73,0.008,5.37
2023-02-21,1.096,1.069,1.098,1.062,23107170,2490669183.0,3.26,-3.17,-0.035,7.09
2023-02-22,1.057,1.053,1.067,1.046,19433940,2051442418.0,1.96,-1.5,-0.016,5.96
2023-02-23,1.053,1.059,1.071,1.049,20598730,2184883873.0,2.09,0.57,0.006,6.32
2023-02-24,1.055,1.041,1.055,1.04,13586652,1423252842.0,1.42,-1.7,-0.018,4.17
2023-02-27,1.031,1.034,1.054,1.028,20911219,2180897163.0,2.5,-0.67,-0.007,6.41
2023-02-28,1.045,1.034,1.052,1.026,18588242,1933148414.0,2.51,0.0,0.0,5.7
2023-03-01,1.036,1.079,1.08,1.033,28012416,2968562272.0,4.55,4.35,0.045,8.59
2023-03-02,1.065,1.061,1.072,1.058,15689083,1668042843.0,1.3,-1.67,-0.018,4.81
2023-03-03,1.079,1.079,1.085,1.067,15939580,1716382812.0,1.7,1.7,0.018,4.89
