# code=513330, name=恒生互联网ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.514,0.499,0.516,0.498,77663152,3938624228.0,3.62,0.4,0.002,9.88
2023-01-31,0.5,0.484,0.503,0.483,64324223,3165632328.0,4.01,-3.01,-0.015,8.18
2023-02-01,0.493,0.504,0.506,0.488,74024024,3671102066.0,3.72,4.13,0.02,9.41
2023-02-02,0.511,0.507,0.514,0.503,43853700,2234860192.0,2.18,0.6,0.003,5.58
2023-02-03,0.499,0.499,0.503,0.492,56124274,2783444629.0,2.17,-1.58,-0.008,7.14
2023-02-06,0.487,0.484,0.491,0.481,72616194,3520792409.0,2.0,-3.01,-0.015,9.23
2023-02-07,0.487,0.49,0.498,0.485,55723150,2739563680.0,2.69,1.24,0.006,7.09
2023-02-08,0.489,0.48,0.49,0.476,69496585,3350005107.0,2.86,-2.04,-0.01,8.84
2023-02-09,0.477,0.49,0.491,0.474,73812264,3560806078.0,3.54,2.08,0.01,9.39
2023-02-10,0.486,0.472,0.488,0.471,60982715,2917003418.0,3.47,-3.67,-0.018,7.75
2023-02-13,0.466,0.475,0.478,0.464,59050490,2786042206.0,2.97,0.64,0.003,7.51
2023-02-14,0.477,0.472,0.478,0.47,35592506,1683605385.0,1.68,-0.63,-0.003,4.53
2023-02-15,0.473,0.468,0.474,0.463,45559941,2133417657.0,2.33,-0.85,-0.004,5.79
2023-02-16,0.472,0.476,0.487,0.472,85956054,4125380436.0,3.21,1.71,0.008,10.93
2023-02-17,0.476,0.467,0.481,0.466,47696363,2256318033.0,3.15,-1.89,-0.009,6.07
2023-02-20,0.466,0.471,0.472,0.46,62841095,2929823720.0,2.57,0.86,0.004,7.99
2023-02-21,0.468,0.456,0.469,0.454,68663587,3161484612.0,3.18,-3.18,-0.015,8.73
2023-02-22,0.451,0.449,0.456,0.448,46518700,2098595718.0,1.75,-1.54,-0.007,5.92
2023-02-23,0.449,0.451,0.456,0.448,39071191,1766115644.0,1.78,0.45,0.002,4.97
2023-02-24,0.449,0.443,0.449,0.44,47696083,2117989010.0,2.0,-1.77,-0.008,6.07
2023-02-27,0.436,0.435,0.445,0.434,61892203,2721258269.0,2.48,-1.81,-0.008,7.87
2023-02-28,0.439,0.431,0.441,0.428,59794325,2594398282.0,2.99,-0.92,-0.004,7.6
2023-03-01,0.432,0.45,0.451,0.43,100960610,4465630889.0,4.87,4.41,0.019,12.84
2023-03-02,0.445,0.442,0.446,0.441,68277186,3024674878.0,1.11,-1.78,-0.008,8.68
2023-03-03,0.452,0.454,0.457,0.446,69956721,3159775244.0,2.49,2.71,0.012,8.9
2023-03-06,0.45,0.452,0.456,0.447,49976526,2257074002.0,1.98,-0.44,-0.002,6.36
2023-03-07,0.451,0.441,0.459,0.439,88179360,3965660442.0,4.42,-2.43,-0.011,11.21
2023-03-08,0.437,0.432,0.438,0.429,62287852,2695914694.0,2.04,-2.04,-0.009,7.92
2023-03-09,0.432,0.431,0.435,0.429,46543965,2011043695.0,1.39,-0.23,-0.001,5.92
2023-03-10,0.418,0.411,0.419,0.41,71156314,2952481785.0,2.09,-4.64,-0.02,9.05
2023-03-13,0.414,0.42,0.425,0.413,85586238,3586042476.0,2.92,2.19,0.009,10.88
2023-03-14,0.416,0.409,0.42,0.408,72102869,2980142349.0,2.86,-2.62,-0.011,9.17
2023-03-15,0.417,0.414,0.423,0.413,74643996,3123658789.0,2.44,1.22,0.005,9.49
2023-03-16,0.41,0.407,0.418,0.406,78867606,3248244986.0,2.9,-1.69,-0.007,10.03
2023-03-17,0.417,0.421,0.426,0.415,78533277,3302250259.0,2.7,3.44,0.014,9.99
2023-03-20,0.422,0.412,0.424,0.41,54246537,2261929416.0,3.33,-2.14,-0.009,6.9
2023-03-21,0.418,0.42,0.42,0.412,59300524,2473605866.0,1.94,1.94,0.008,7.54
2023-03-22,0.426,0.427,0.432,0.425,61769667,2645975256.0,1.67,1.67,0.007,7.85
2023-03-23,0.425,0.44,0.441,0.424,88453014,3827768384.0,3.98,3.04,0.013,11.25
2023-03-24,0.442,0.446,0.455,0.441,81233249,3636703173.0,3.18,1.36,0.006,10.33
2023-03-27,0.448,0.441,0.45,0.435,84465204,3725541000.0,3.36,-1.12,-0.005,10.74
2023-03-28,0.441,0.441,0.446,0.436,65994564,2909206135.0,2.27,0.0,0.0,8.39
2023-03-29,0.464,0.454,0.465,0.453,80530319,3687058766.0,2.72,2.95,0.013,10.24
2023-03-30,0.457,0.455,0.462,0.452,60676052,2769876840.0,2.2,0.22,0.001,7.72
2023-03-31,0.464,0.462,0.466,0.459,62739764,2901924892.0,1.54,1.54,0.007,7.98
2023-04-03,0.461,0.459,0.462,0.456,59654231,2736253648.0,1.3,-0.65,-0.003,7.59
2023-04-04,0.458,0.457,0.46,0.45,65373535,2965868827.0,2.18,-0.44,-0.002,8.31
2023-04-06,0.449,0.447,0.452,0.446,59283534,2658465877.0,1.31,-2.19,-0.01,7.54
2023-04-07,0.451,0.456,0.456,0.451,21798717,988466671.0,1.12,2.01,0.009,2.77
2023-04-10,0.456,0.455,0.457,0.454,11970370,544525199.0,0.66,-0.22,-0.001,1.52
2023-04-11,0.456,0.447,0.459,0.443,63193777,2847563229.0,3.52,-1.76,-0.008,8.04
2023-04-12,0.448,0.439,0.45,0.438,48005976,2126306292.0,2.68,-1.79,-0.008,6.1
2023-04-13,0.43,0.431,0.435,0.427,58706918,2528936793.0,1.82,-1.82,-0.008,7.47
2023-04-14,0.437,0.433,0.438,0.43,51881750,2250440752.0,1.86,0.46,0.002,6.6
2023-04-17,0.43,0.439,0.44,0.429,60116737,2610638603.0,2.54,1.39,0.006,7.64
2023-04-18,0.437,0.436,0.439,0.434,44342806,1933770243.0,1.14,-0.68,-0.003,5.64
2023-04-19,0.436,0.43,0.436,0.429,38303695,1654304056.0,1.61,-1.38,-0.006,4.87
2023-04-20,0.429,0.429,0.432,0.427,37572246,1614505281.0,1.16,-0.23,-0.001,4.78
2023-04-21,0.426,0.417,0.427,0.416,44935078,1896986663.0,2.56,-2.8,-0.012,5.71
2023-04-24,0.417,0.414,0.423,0.412,34403977,1436493798.0,2.64,-0.72,-0.003,4.38
2023-04-25,0.414,0.408,0.414,0.401,64636800,2624551555.0,3.14,-1.45,-0.006,8.22
2023-04-26,0.405,0.413,0.417,0.404,67816757,2793592116.0,3.19,1.23,0.005,8.62
2023-04-27,0.411,0.409,0.412,0.407,38174553,1562649116.0,1.21,-0.97,-0.004,4.85
2023-04-28,0.412,0.416,0.42,0.412,44277319,1843857552.0,1.96,1.71,0.007,5.63
2023-05-04,0.41,0.409,0.415,0.407,43977884,1804818104.0,1.92,-1.68,-0.007,5.59
2023-05-05,0.414,0.416,0.418,0.412,50909373,2113307869.0,1.47,1.71,0.007,6.47
2023-05-08,0.417,0.414,0.419,0.412,39965400,1658758191.0,1.68,-0.48,-0.002,5.08
2023-05-09,0.413,0.404,0.414,0.403,31442419,1285543155.0,2.66,-2.42,-0.01,4.0
2023-05-10,0.405,0.405,0.406,0.4,29616778,1194989583.0,1.49,0.25,0.001,3.77
2023-05-11,0.408,0.402,0.409,0.4,28785075,1164071675.0,2.22,-0.74,-0.003,3.66
