# code=515010, name=券商ETF基金
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.109,1.089,1.118,1.089,112744,12396230.0,2.64,-0.91,-0.01,0.82
2023-01-31,1.088,1.081,1.097,1.076,98683,10729260.0,1.93,-0.73,-0.008,0.72
2023-02-01,1.085,1.112,1.112,1.081,127655,13944321.0,2.87,2.87,0.031,0.93
2023-02-02,1.134,1.09,1.136,1.089,169061,18590470.0,4.23,-1.98,-0.022,1.23
2023-02-03,1.089,1.083,1.091,1.072,122336,13252120.0,1.74,-0.64,-0.007,0.89
2023-02-06,1.083,1.063,1.083,1.061,91085,9734355.0,2.03,-1.85,-0.02,0.66
2023-02-07,1.063,1.067,1.07,1.061,144145,15349984.0,0.85,0.38,0.004,1.05
2023-02-08,1.068,1.056,1.068,1.055,112845,11976530.0,1.22,-1.03,-0.011,0.82
2023-02-09,1.056,1.073,1.073,1.056,171191,18234109.0,1.61,1.61,0.017,1.25
2023-02-10,1.07,1.066,1.072,1.061,77602,8285095.0,1.03,-0.65,-0.007,0.57
2023-02-13,1.064,1.07,1.072,1.057,95762,10195618.0,1.41,0.38,0.004,0.7
2023-02-14,1.071,1.068,1.071,1.062,67697,7216472.0,0.84,-0.19,-0.002,0.49
2023-02-15,1.068,1.058,1.068,1.057,81035,8604036.0,1.03,-0.94,-0.01,0.59
2023-02-16,1.06,1.052,1.079,1.042,108044,11512483.0,3.5,-0.57,-0.006,0.79
2023-02-17,1.047,1.033,1.052,1.032,109843,11465559.0,1.9,-1.81,-0.019,0.8
2023-02-20,1.044,1.073,1.074,1.041,137481,14495440.0,3.19,3.87,0.04,1.0
2023-02-21,1.068,1.077,1.079,1.065,77270,8287508.0,1.3,0.37,0.004,0.56
2023-02-22,1.072,1.069,1.081,1.065,106673,11463328.0,1.49,-0.74,-0.008,0.78
2023-02-23,1.071,1.075,1.085,1.069,114732,12377410.0,1.5,0.56,0.006,0.84
2023-02-24,1.075,1.058,1.078,1.056,104051,11058135.0,2.05,-1.58,-0.017,0.76
2023-02-27,1.053,1.045,1.053,1.042,94768,9934212.0,1.04,-1.23,-0.013,0.69
2023-02-28,1.05,1.056,1.056,1.043,74102,7767815.0,1.24,1.05,0.011,0.54
2023-03-01,1.051,1.068,1.072,1.051,86720,9207654.0,1.99,1.14,0.012,0.63
2023-03-02,1.068,1.066,1.069,1.063,111515,11894927.0,0.56,-0.19,-0.002,0.81
2023-03-03,1.071,1.072,1.075,1.062,117820,12608632.0,1.22,0.56,0.006,0.86
2023-03-06,1.074,1.058,1.074,1.057,153793,16314792.0,1.59,-1.31,-0.014,1.12
2023-03-07,1.058,1.039,1.067,1.037,165723,17486224.0,2.84,-1.8,-0.019,1.21
2023-03-08,1.037,1.037,1.037,1.031,109937,11373787.0,0.58,-0.19,-0.002,0.8
2023-03-09,1.037,1.034,1.039,1.03,130503,13489719.0,0.87,-0.29,-0.003,0.95
2023-03-10,1.029,1.02,1.03,1.019,116960,11978768.0,1.06,-1.35,-0.014,0.85
2023-03-13,1.025,1.025,1.026,1.016,103324,10540379.0,0.98,0.49,0.005,0.75
2023-03-14,1.019,1.015,1.02,1.004,152975,15483717.0,1.56,-0.98,-0.01,1.12
2023-03-15,1.02,1.021,1.027,1.02,96154,9843553.0,0.69,0.59,0.006,0.7
2023-03-16,1.014,1.011,1.019,1.009,83803,8501893.0,0.98,-0.98,-0.01,0.61
2023-03-17,1.015,1.029,1.038,1.015,137571,14139495.0,2.27,1.78,0.018,1.0
2023-03-20,1.029,1.017,1.035,1.016,107648,11015534.0,1.85,-1.17,-0.012,0.79
2023-03-21,1.021,1.026,1.028,1.018,110191,11264090.0,0.98,0.88,0.009,0.8
2023-03-22,1.025,1.021,1.03,1.015,117480,12022220.0,1.46,-0.49,-0.005,0.86
2023-03-23,1.017,1.032,1.032,1.016,102464,10494259.0,1.57,1.08,0.011,0.75
2023-03-24,1.031,1.036,1.042,1.029,110872,11476703.0,1.26,0.39,0.004,0.81
2023-03-27,1.035,1.041,1.045,1.029,153290,15933214.0,1.54,0.48,0.005,1.12
2023-03-28,1.041,1.03,1.042,1.028,107825,11115655.0,1.34,-1.06,-0.011,0.79
2023-03-29,1.029,1.024,1.03,1.019,105248,10783057.0,1.07,-0.58,-0.006,0.77
2023-03-30,1.024,1.027,1.034,1.013,126444,12901926.0,2.05,0.29,0.003,0.92
2023-03-31,1.025,1.027,1.033,1.024,86865,8924358.0,0.88,0.0,0.0,0.63
2023-04-03,1.032,1.071,1.071,1.032,250032,26349237.0,3.8,4.28,0.044,1.82
2023-04-04,1.071,1.074,1.08,1.068,205079,22017951.0,1.12,0.28,0.003,1.5
2023-04-06,1.076,1.066,1.076,1.062,182270,19476690.0,1.3,-0.74,-0.008,1.33
2023-04-07,1.066,1.08,1.082,1.064,169711,18247330.0,1.69,1.31,0.014,1.24
2023-04-10,1.09,1.07,1.093,1.069,130795,14143086.0,2.22,-0.93,-0.01,0.95
2023-04-11,1.075,1.08,1.097,1.075,133533,14520234.0,2.06,0.93,0.01,0.97
2023-04-12,1.08,1.084,1.092,1.076,187556,20317735.0,1.48,0.37,0.004,1.37
2023-04-13,1.084,1.07,1.084,1.065,143457,15378979.0,1.75,-1.29,-0.014,1.05
2023-04-14,1.074,1.071,1.076,1.063,147246,15758720.0,1.21,0.09,0.001,1.07
2023-04-17,1.077,1.1,1.102,1.072,158039,17246021.0,2.8,2.71,0.029,1.15
2023-04-18,1.101,1.094,1.111,1.093,190388,20917911.0,1.64,-0.55,-0.006,1.39
2023-04-19,1.094,1.078,1.094,1.076,221698,24047081.0,1.65,-1.46,-0.016,1.62
2023-04-20,1.078,1.082,1.083,1.069,106466,11450093.0,1.3,0.37,0.004,0.78
2023-04-21,1.082,1.042,1.082,1.039,185260,19664024.0,3.97,-3.7,-0.04,1.35
2023-04-24,1.041,1.026,1.042,1.02,112429,11611468.0,2.11,-1.54,-0.016,0.82
2023-04-25,1.026,1.029,1.036,1.019,151720,15607719.0,1.66,0.29,0.003,1.11
2023-04-26,1.029,1.028,1.03,1.021,75730,7767124.0,0.87,-0.1,-0.001,0.55
2023-04-27,1.025,1.035,1.038,1.022,91327,9377880.0,1.56,0.68,0.007,0.67
2023-04-28,1.038,1.056,1.064,1.034,91430,9612242.0,2.9,2.03,0.021,0.67
2023-05-04,1.053,1.068,1.072,1.044,152852,16170221.0,2.65,1.14,0.012,1.12
2023-05-05,1.067,1.083,1.104,1.063,197645,21612193.0,3.84,1.4,0.015,1.44
2023-05-08,1.083,1.105,1.118,1.073,256684,28127889.0,4.16,2.03,0.022,1.87
2023-05-09,1.108,1.12,1.165,1.107,278583,31792490.0,5.25,1.36,0.015,2.03
2023-05-10,1.107,1.085,1.116,1.082,361233,39574661.0,3.04,-3.13,-0.035,2.64
2023-05-11,1.092,1.085,1.099,1.083,156922,17105697.0,1.47,0.0,0.0,1.15
2023-05-12,1.085,1.069,1.089,1.069,86226,9309974.0,1.84,-1.47,-0.016,0.63
2023-05-15,1.07,1.088,1.09,1.05,190916,20432163.0,3.74,1.78,0.019,1.39
2023-05-16,1.084,1.078,1.098,1.077,145889,15847083.0,1.93,-0.92,-0.01,1.06
2023-05-17,1.078,1.076,1.083,1.069,73154,7866060.0,1.3,-0.19,-0.002,0.53
2023-05-18,1.078,1.074,1.084,1.068,98239,10571858.0,1.49,-0.19,-0.002,0.72
2023-05-19,1.073,1.057,1.073,1.055,214333,22669960.0,1.68,-1.58,-0.017,1.56
2023-05-22,1.057,1.054,1.061,1.049,154340,16266265.0,1.14,-0.28,-0.003,1.13
2023-05-23,1.059,1.039,1.061,1.038,81545,8548250.0,2.18,-1.42,-0.015,0.6
2023-05-24,1.038,1.024,1.038,1.024,138903,14323006.0,1.35,-1.44,-0.015,1.01
2023-05-25,1.021,1.026,1.026,1.013,176569,18022459.0,1.27,0.2,0.002,1.29
2023-05-26,1.027,1.029,1.03,1.018,111760,11425737.0,1.17,0.29,0.003,0.82
2023-05-29,1.03,1.022,1.031,1.019,166218,17082730.0,1.17,-0.68,-0.007,1.21
2023-05-30,1.022,1.022,1.023,1.009,186927,19039254.0,1.37,0.0,0.0,1.36
2023-05-31,1.022,1.016,1.022,1.013,94576,9621394.0,0.88,-0.59,-0.006,0.69
2023-06-01,1.017,1.018,1.028,1.012,78352,7992586.0,1.57,0.2,0.002,0.57
2023-06-02,1.018,1.025,1.027,1.018,90420,9246588.0,0.88,0.69,0.007,0.66
2023-06-05,1.026,1.019,1.027,1.018,145962,14902090.0,0.88,-0.59,-0.006,1.07
2023-06-06,1.023,1.007,1.024,1.006,103535,10528563.0,1.77,-1.18,-0.012,0.76
2023-06-07,1.01,1.009,1.016,1.005,75583,7632214.0,1.09,0.2,0.002,0.55
2023-06-08,1.009,1.02,1.024,1.002,88482,8935449.0,2.18,1.09,0.011,0.65
2023-06-09,1.018,1.017,1.018,1.012,83991,8522053.0,0.59,-0.29,-0.003,0.61
2023-06-12,1.015,1.007,1.015,1.004,100784,10149980.0,1.08,-0.98,-0.01,0.74
2023-06-13,1.006,1.012,1.013,1.006,66943,6756835.0,0.7,0.5,0.005,0.49
2023-06-14,1.016,1.012,1.026,1.011,67810,6907133.0,1.48,0.0,0.0,0.49
2023-06-15,1.02,1.027,1.029,1.014,125659,12809710.0,1.48,1.48,0.015,0.92
2023-06-16,1.027,1.033,1.034,1.023,87093,8948677.0,1.07,0.58,0.006,0.64
2023-06-19,1.034,1.025,1.034,1.023,73492,7547508.0,1.06,-0.77,-0.008,0.54
2023-06-20,1.021,1.022,1.029,1.02,113172,11590217.0,0.88,-0.29,-0.003,0.83
2023-06-21,1.021,1.003,1.022,1.002,104214,10541466.0,1.96,-1.86,-0.019,0.76
2023-06-26,1.001,0.981,1.001,0.979,116768,11509606.0,2.19,-2.19,-0.022,0.85
2023-06-27,0.98,0.989,0.99,0.98,99233,9769848.0,1.02,0.82,0.008,0.72
2023-06-28,0.989,0.989,0.991,0.98,79779,7847496.0,1.11,0.0,0.0,0.58
2023-06-29,0.988,0.987,0.991,0.984,70608,6964451.0,0.71,-0.2,-0.002,0.52
2023-06-30,0.987,1.002,1.006,0.987,228521,22835204.0,1.93,1.52,0.015,1.67
2023-07-03,1.002,1.017,1.02,1.002,217517,22035957.0,1.8,1.5,0.015,1.59
2023-07-04,1.017,1.017,1.02,1.011,61386,6240695.0,0.88,0.0,0.0,0.45
2023-07-05,1.018,1.008,1.018,1.007,82445,8340796.0,1.08,-0.88,-0.009,0.6
2023-07-06,1.013,1.007,1.014,1.005,94164,9501700.0,0.89,-0.1,-0.001,0.69
2023-07-07,1.005,1.015,1.019,1.002,426395,43286970.0,1.69,0.79,0.008,3.11
2023-07-10,1.017,1.017,1.022,1.013,90544,9216926.0,0.89,0.2,0.002,0.66
2023-07-11,1.016,1.023,1.025,1.016,259671,26502593.0,0.88,0.59,0.006,1.9
2023-07-12,1.023,1.011,1.025,1.011,61638,6276783.0,1.37,-1.17,-0.012,0.45
2023-07-13,1.02,1.029,1.032,1.02,129196,13296064.0,1.19,1.78,0.018,0.94
2023-07-14,1.033,1.027,1.033,1.026,139617,14354558.0,0.68,-0.19,-0.002,1.02
2023-07-17,1.026,1.023,1.026,1.018,32578,3327515.0,0.78,-0.39,-0.004,0.24
2023-07-18,1.023,1.025,1.029,1.02,79537,8142284.0,0.88,0.2,0.002,0.58
2023-07-19,1.025,1.031,1.031,1.023,69396,7124362.0,0.78,0.59,0.006,0.51
2023-07-20,1.032,1.022,1.035,1.022,92672,9553174.0,1.26,-0.87,-0.009,0.68
2023-07-21,1.022,1.024,1.03,1.022,90172,9252651.0,0.78,0.2,0.002,0.66
2023-07-24,1.022,1.024,1.03,1.02,117273,12025578.0,0.98,0.0,0.0,0.86
2023-07-25,1.05,1.076,1.083,1.05,290824,30963020.0,3.22,5.08,0.052,2.12
2023-07-26,1.075,1.077,1.081,1.066,167048,17968273.0,1.39,0.09,0.001,1.22
2023-07-27,1.077,1.069,1.084,1.066,107408,11530476.0,1.67,-0.74,-0.008,0.78
2023-07-28,1.069,1.157,1.158,1.069,476745,53634117.0,8.33,8.23,0.088,3.48
2023-07-31,1.174,1.157,1.19,1.157,294325,34509289.0,2.85,0.0,0.0,2.15
2023-08-01,1.15,1.15,1.175,1.136,315796,36691576.0,3.37,-0.61,-0.007,2.3
2023-08-02,1.145,1.157,1.183,1.145,238203,27762574.0,3.3,0.61,0.007,1.74
2023-08-03,1.164,1.201,1.203,1.151,272236,32055096.0,4.49,3.8,0.044,1.99
2023-08-04,1.251,1.211,1.267,1.209,538766,66350753.0,4.83,0.83,0.01,3.93
2023-08-07,1.191,1.214,1.215,1.183,411446,49504217.0,2.64,0.25,0.003,3.0
2023-08-08,1.202,1.206,1.231,1.171,276389,33188849.0,4.94,-0.66,-0.008,2.02
2023-08-09,1.192,1.198,1.215,1.192,197048,23729734.0,1.91,-0.66,-0.008,1.44
2023-08-10,1.198,1.224,1.224,1.198,248156,30010441.0,2.17,2.17,0.026,1.81
2023-08-11,1.219,1.173,1.219,1.17,446452,52922419.0,4.0,-4.17,-0.051,3.26
2023-08-14,1.158,1.162,1.177,1.143,378360,43867164.0,2.9,-0.94,-0.011,2.76
2023-08-15,1.159,1.181,1.181,1.157,287292,33629642.0,2.07,1.64,0.019,2.1
2023-08-16,1.167,1.183,1.211,1.144,268803,31872037.0,5.67,0.17,0.002,1.96
2023-08-17,1.179,1.183,1.19,1.162,280333,33041179.0,2.37,0.0,0.0,2.05
2023-08-18,1.184,1.163,1.201,1.163,202754,23959737.0,3.21,-1.69,-0.02,1.48
2023-08-21,1.157,1.125,1.161,1.124,589871,66991425.0,3.18,-3.27,-0.038,4.3
2023-08-22,1.125,1.144,1.15,1.122,234521,26583840.0,2.49,1.69,0.019,1.71
2023-08-23,1.138,1.118,1.139,1.115,174070,19608742.0,2.1,-2.27,-0.026,1.27
2023-08-24,1.117,1.132,1.151,1.117,199985,22682895.0,3.04,1.25,0.014,1.46
2023-08-25,1.128,1.138,1.147,1.128,244842,27901353.0,1.68,0.53,0.006,1.79
2023-08-28,1.252,1.17,1.252,1.164,498714,60448998.0,7.73,2.81,0.032,3.64
2023-08-29,1.157,1.158,1.169,1.127,386405,44332795.0,3.59,-1.03,-0.012,2.82
2023-08-30,1.152,1.127,1.155,1.125,355469,40444013.0,2.59,-2.68,-0.031,2.59
2023-08-31,1.125,1.104,1.132,1.103,279299,31070987.0,2.57,-2.04,-0.023,2.04
2023-09-01,1.106,1.106,1.117,1.103,278206,30837815.0,1.27,0.18,0.002,2.03
2023-09-04,1.108,1.114,1.12,1.101,211781,23535800.0,1.72,0.72,0.008,1.55
2023-09-05,1.114,1.105,1.114,1.1,206143,22754932.0,1.26,-0.81,-0.009,1.5
2023-09-06,1.101,1.099,1.103,1.092,187822,20601402.0,1.0,-0.54,-0.006,1.37
2023-09-07,1.096,1.094,1.107,1.091,217192,23854425.0,1.46,-0.45,-0.005,1.59
2023-09-08,1.094,1.099,1.104,1.086,200006,21836342.0,1.65,0.46,0.005,1.46
2023-09-11,1.095,1.117,1.124,1.094,309231,34353795.0,2.73,1.64,0.018,2.26
2023-09-12,1.117,1.107,1.117,1.104,189014,20946494.0,1.16,-0.9,-0.01,1.38
2023-09-13,1.105,1.093,1.106,1.089,213232,23337662.0,1.54,-1.26,-0.014,1.56
2023-09-14,1.09,1.096,1.1,1.09,255946,28013933.0,0.91,0.27,0.003,1.87
2023-09-15,1.098,1.091,1.102,1.087,202361,22169703.0,1.37,-0.46,-0.005,1.48
2023-09-18,1.09,1.09,1.093,1.08,852266,92584985.0,1.19,-0.09,-0.001,6.22
2023-09-19,1.093,1.091,1.097,1.088,177556,19390377.0,0.83,0.09,0.001,1.3
2023-09-20,1.091,1.087,1.095,1.086,170010,18549666.0,0.82,-0.37,-0.004,1.24
2023-09-21,1.084,1.078,1.094,1.078,198923,21589854.0,1.47,-0.83,-0.009,1.45
2023-09-22,1.079,1.111,1.112,1.079,257998,28303973.0,3.06,3.06,0.033,1.88
2023-09-25,1.108,1.086,1.108,1.084,223738,24368830.0,2.16,-2.25,-0.025,1.63
2023-09-26,1.085,1.085,1.091,1.084,197217,21447157.0,0.64,-0.09,-0.001,1.44
2023-09-27,1.086,1.088,1.091,1.084,158136,17202348.0,0.65,0.28,0.003,1.15
2023-09-28,1.092,1.082,1.092,1.078,139400,15070170.0,1.29,-0.55,-0.006,1.02
2023-10-09,1.072,1.068,1.073,1.057,161151,17173575.0,1.48,-1.29,-0.014,1.18
2023-10-10,1.068,1.067,1.077,1.065,125075,13372444.0,1.12,-0.09,-0.001,0.91
2023-10-11,1.066,1.063,1.073,1.06,175628,18758722.0,1.22,-0.37,-0.004,1.28
2023-10-12,1.066,1.074,1.081,1.066,127618,13688713.0,1.41,1.03,0.011,0.93
2023-10-13,1.067,1.064,1.068,1.062,127913,13627329.0,0.56,-0.93,-0.01,0.93
2023-10-16,1.061,1.061,1.067,1.055,154183,16375532.0,1.13,-0.28,-0.003,1.13
2023-10-17,1.061,1.077,1.084,1.056,318380,33937852.0,2.64,1.51,0.016,2.32
2023-10-18,1.073,1.073,1.081,1.069,380162,40821874.0,1.11,-0.37,-0.004,2.77
2023-10-19,1.072,1.069,1.084,1.066,423514,45540022.0,1.68,-0.37,-0.004,3.09
2023-10-20,1.064,1.07,1.078,1.061,186990,20003800.0,1.59,0.09,0.001,1.36
2023-10-23,1.067,1.045,1.067,1.039,187274,19648426.0,2.62,-2.34,-0.025,1.37
2023-10-24,1.049,1.077,1.082,1.048,245156,26073101.0,3.25,3.06,0.032,1.79
2023-10-25,1.09,1.076,1.09,1.075,178431,19309640.0,1.39,-0.09,-0.001,1.3
2023-10-26,1.068,1.077,1.078,1.065,191441,20509365.0,1.21,0.09,0.001,1.4
2023-10-27,1.068,1.081,1.085,1.065,169420,18206562.0,1.86,0.37,0.004,1.24
2023-10-30,1.078,1.076,1.078,1.066,203234,21756457.0,1.11,-0.46,-0.005,1.48
2023-10-31,1.076,1.077,1.084,1.072,151311,16315619.0,1.12,0.09,0.001,1.1
2023-11-01,1.08,1.077,1.091,1.075,125732,13560321.0,1.49,0.0,0.0,0.92
2023-11-02,1.078,1.068,1.084,1.068,157273,16919171.0,1.49,-0.84,-0.009,1.15
2023-11-03,1.068,1.079,1.082,1.066,139770,15016877.0,1.5,1.03,0.011,1.02
2023-11-06,1.112,1.123,1.127,1.1,247070,27474274.0,2.5,4.08,0.044,1.8
2023-11-07,1.12,1.129,1.132,1.111,171732,19356609.0,1.87,0.53,0.006,1.25
2023-11-08,1.126,1.117,1.13,1.109,183704,20570496.0,1.86,-1.06,-0.012,1.34
2023-11-09,1.116,1.112,1.118,1.107,150487,16733896.0,0.98,-0.45,-0.005,1.1
2023-11-10,1.108,1.112,1.119,1.108,168105,18720471.0,0.99,0.0,0.0,1.23
2023-11-13,1.112,1.108,1.112,1.104,141859,15695261.0,0.72,-0.36,-0.004,1.04
2023-11-14,1.111,1.123,1.138,1.107,225476,25279488.0,2.8,1.35,0.015,1.65
2023-11-15,1.129,1.124,1.15,1.121,218883,24722235.0,2.58,0.09,0.001,1.6
2023-11-16,1.119,1.114,1.128,1.114,167398,18775190.0,1.25,-0.89,-0.01,1.22
2023-11-17,1.11,1.117,1.12,1.109,149965,16713542.0,0.99,0.27,0.003,1.09
2023-11-20,1.117,1.114,1.117,1.102,147142,16309946.0,1.34,-0.27,-0.003,1.07
2023-11-21,1.116,1.113,1.131,1.111,158446,17809596.0,1.8,-0.09,-0.001,1.16
2023-11-22,1.11,1.102,1.113,1.101,114094,12651368.0,1.08,-0.99,-0.011,0.83
2023-11-23,1.101,1.102,1.104,1.094,135212,14843046.0,0.91,0.0,0.0,0.99
2023-11-24,1.098,1.092,1.098,1.091,107368,11765238.0,0.64,-0.91,-0.01,0.78
2023-11-27,1.088,1.081,1.088,1.076,121039,13054728.0,1.1,-1.01,-0.011,0.88
2023-11-28,1.082,1.08,1.084,1.074,119731,12917835.0,0.93,-0.09,-0.001,0.87
2023-11-29,1.081,1.07,1.081,1.066,118583,12734495.0,1.39,-0.93,-0.01,0.87
2023-11-30,1.072,1.073,1.076,1.068,127585,13679189.0,0.75,0.28,0.003,0.93
2023-12-01,1.071,1.077,1.079,1.068,133317,14283015.0,1.03,0.37,0.004,0.97
2023-12-04,1.079,1.077,1.084,1.075,137604,14852886.0,0.84,0.0,0.0,1.0
2023-12-05,1.077,1.063,1.077,1.063,161662,17303276.0,1.3,-1.3,-0.014,1.18
2023-12-06,1.063,1.058,1.066,1.057,138632,14710986.0,0.85,-0.47,-0.005,1.01
2023-12-07,1.057,1.063,1.066,1.054,152418,16161456.0,1.13,0.47,0.005,1.11
2023-12-08,1.064,1.057,1.067,1.056,121509,12902778.0,1.03,-0.56,-0.006,0.89
2023-12-11,1.054,1.074,1.076,1.042,179612,18946459.0,3.22,1.61,0.017,1.31
2023-12-12,1.073,1.071,1.075,1.067,152407,16309248.0,0.74,-0.28,-0.003,1.11
2023-12-13,1.069,1.058,1.069,1.057,211990,22518577.0,1.12,-1.21,-0.013,1.55
2023-12-14,1.06,1.055,1.065,1.053,167999,17804081.0,1.13,-0.28,-0.003,1.23
2023-12-15,1.057,1.054,1.065,1.052,152238,16122239.0,1.23,-0.09,-0.001,1.11
2023-12-18,1.053,1.052,1.062,1.047,131900,13928554.0,1.42,-0.19,-0.002,0.96
2023-12-19,1.05,1.05,1.055,1.042,118555,12448260.0,1.24,-0.19,-0.002,0.87
2023-12-20,1.05,1.021,1.05,1.021,283904,29449994.0,2.76,-2.76,-0.029,2.07
2023-12-21,1.02,1.02,1.025,1.012,168831,17189101.0,1.27,-0.1,-0.001,1.23
2023-12-22,1.02,1.019,1.026,1.012,193584,19705737.0,1.37,-0.1,-0.001,1.41
2023-12-25,1.019,1.012,1.019,1.009,100583,10181219.0,0.98,-0.69,-0.007,0.73
2023-12-26,1.01,1.001,1.012,0.999,137757,13822735.0,1.28,-1.09,-0.011,1.01
2023-12-27,1.003,1.009,1.02,0.991,187248,18744668.0,2.9,0.8,0.008,1.37
2023-12-28,1.005,1.031,1.035,1.005,175211,17909101.0,2.97,2.18,0.022,1.28
2023-12-29,1.031,1.032,1.035,1.028,160371,16558986.0,0.68,0.1,0.001,1.17
2024-01-02,1.032,1.019,1.032,1.019,138098,14142160.0,1.26,-1.26,-0.013,1.01
2024-01-03,1.016,1.022,1.026,1.016,151462,15451734.0,0.98,0.29,0.003,1.11
2024-01-04,1.018,1.012,1.018,1.005,169990,17211927.0,1.27,-0.98,-0.01,1.24
2024-01-05,1.006,1.005,1.02,1.001,168324,17048277.0,1.88,-0.69,-0.007,1.23
2024-01-08,1.0,0.987,1.002,0.986,153667,15250784.0,1.59,-1.79,-0.018,1.12
2024-01-09,0.987,0.982,0.991,0.977,126525,12487202.0,1.42,-0.51,-0.005,0.92
2024-01-10,0.979,0.977,0.987,0.972,154271,15111037.0,1.53,-0.51,-0.005,1.13
2024-01-11,0.975,0.987,0.989,0.975,177841,17444009.0,1.43,1.02,0.01,1.3
2024-01-12,0.982,0.978,0.991,0.978,138441,13659120.0,1.32,-0.91,-0.009,1.01
2024-01-15,0.974,0.976,0.986,0.971,144642,14163960.0,1.53,-0.2,-0.002,1.06
2024-01-16,0.977,0.987,0.987,0.969,157450,15409702.0,1.84,1.13,0.011,1.15
2024-01-17,0.984,0.969,0.984,0.968,138159,13523234.0,1.62,-1.82,-0.018,1.01
