# code=515050, name=5G通信ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.871,0.878,0.884,0.871,1090514,95733794.0,1.51,1.86,0.016,3.29
2023-01-31,0.878,0.866,0.878,0.863,805606,69928399.0,1.71,-1.37,-0.012,2.43
2023-02-01,0.865,0.878,0.878,0.864,881022,76822717.0,1.62,1.39,0.012,2.66
2023-02-02,0.879,0.879,0.891,0.877,1430643,126588437.0,1.59,0.11,0.001,4.32
2023-02-03,0.883,0.892,0.893,0.871,1191574,104996485.0,2.5,1.48,0.013,3.6
2023-02-06,0.888,0.882,0.891,0.877,1156514,101929229.0,1.57,-1.12,-0.01,3.49
2023-02-07,0.88,0.883,0.887,0.877,722557,63772789.0,1.13,0.11,0.001,2.18
2023-02-08,0.886,0.872,0.891,0.871,626772,54989951.0,2.27,-1.25,-0.011,1.89
2023-02-09,0.87,0.9,0.901,0.866,1238951,110030644.0,4.01,3.21,0.028,3.74
2023-02-10,0.9,0.9,0.915,0.896,1007294,91267497.0,2.11,0.0,0.0,3.04
2023-02-13,0.899,0.911,0.911,0.895,702503,63517021.0,1.78,1.22,0.011,2.12
2023-02-14,0.911,0.906,0.915,0.901,549169,49790878.0,1.54,-0.55,-0.005,1.66
2023-02-15,0.907,0.921,0.922,0.902,873294,79865170.0,2.21,1.66,0.015,2.64
2023-02-16,0.92,0.907,0.938,0.9,1373314,126562735.0,4.13,-1.52,-0.014,4.15
2023-02-17,0.906,0.876,0.908,0.873,1083047,95919297.0,3.86,-3.42,-0.031,3.27
2023-02-20,0.87,0.888,0.89,0.869,696265,61261649.0,2.4,1.37,0.012,2.1
2023-02-21,0.888,0.891,0.9,0.883,730575,65192170.0,1.91,0.34,0.003,2.21
2023-02-22,0.888,0.886,0.89,0.877,583616,51629686.0,1.46,-0.56,-0.005,1.76
2023-02-23,0.885,0.881,0.889,0.876,589566,52010352.0,1.47,-0.56,-0.005,1.78
2023-02-24,0.881,0.881,0.889,0.874,522341,46048412.0,1.7,0.0,0.0,1.58
2023-02-27,0.879,0.871,0.88,0.869,526946,46012590.0,1.25,-1.14,-0.01,1.59
2023-02-28,0.879,0.884,0.895,0.872,816400,72174307.0,2.64,1.49,0.013,2.47
2023-03-01,0.882,0.902,0.903,0.88,986558,88234584.0,2.6,2.04,0.018,2.98
2023-03-02,0.9,0.899,0.91,0.897,1477517,133108157.0,1.44,-0.33,-0.003,4.46
2023-03-03,0.9,0.896,0.9,0.885,674145,60219950.0,1.67,-0.33,-0.003,2.04
2023-03-06,0.897,0.898,0.905,0.896,552171,49687998.0,1.0,0.22,0.002,1.67
2023-03-07,0.897,0.874,0.898,0.869,1004254,88553759.0,3.23,-2.67,-0.024,3.03
2023-03-08,0.869,0.878,0.881,0.867,781678,68442941.0,1.6,0.46,0.004,2.36
2023-03-09,0.876,0.892,0.895,0.875,874868,77352269.0,2.28,1.59,0.014,2.64
2023-03-10,0.883,0.878,0.889,0.876,701616,61902945.0,1.46,-1.57,-0.014,2.12
2023-03-13,0.873,0.891,0.891,0.871,1197536,105432919.0,2.28,1.48,0.013,3.62
2023-03-14,0.886,0.884,0.888,0.868,824611,72520079.0,2.24,-0.79,-0.007,2.49
2023-03-15,0.886,0.882,0.894,0.881,839446,74431208.0,1.47,-0.23,-0.002,2.54
2023-03-16,0.878,0.871,0.882,0.87,747082,65479590.0,1.36,-1.25,-0.011,2.26
2023-03-17,0.878,0.894,0.898,0.878,1373212,122490640.0,2.3,2.64,0.023,4.15
2023-03-20,0.895,0.906,0.917,0.895,1356783,122839071.0,2.46,1.34,0.012,4.1
2023-03-21,0.903,0.909,0.912,0.899,1025413,93028606.0,1.43,0.33,0.003,3.1
2023-03-22,0.911,0.943,0.943,0.908,2016054,187635631.0,3.85,3.74,0.034,6.09
2023-03-23,0.94,0.975,0.977,0.935,2289432,220172938.0,4.45,3.39,0.032,6.91
2023-03-24,0.976,0.992,0.993,0.971,1763333,173680167.0,2.26,1.74,0.017,5.33
