# code=515450, name=红利低波50ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.871,0.865,0.927,0.865,164453,19575581.0,7.15,-0.23,-0.002,0.15
2023-01-31,0.862,0.861,0.868,0.861,204473,24222282.0,0.81,-0.46,-0.004,0.19
2023-02-01,0.86,0.871,0.871,0.86,218740,25900879.0,1.28,1.16,0.01,0.2
2023-02-02,0.867,0.865,0.871,0.864,238231,28258610.0,0.8,-0.69,-0.006,0.22
2023-02-03,0.861,0.86,0.863,0.853,233950,27534927.0,1.16,-0.58,-0.005,0.22
2023-02-06,0.855,0.851,0.855,0.85,218220,25580079.0,0.58,-1.05,-0.009,0.2
2023-02-07,0.848,0.853,0.854,0.848,212267,24888799.0,0.71,0.24,0.002,0.2
2023-02-08,0.85,0.848,0.856,0.847,200505,23494028.0,1.06,-0.59,-0.005,0.19
2023-02-09,0.846,0.855,0.858,0.846,296145,34717008.0,1.42,0.83,0.007,0.27
2023-02-10,0.85,0.86,0.862,0.85,223803,26386106.0,1.4,0.58,0.005,0.21
2023-02-13,0.861,0.87,0.87,0.859,189534,22472692.0,1.28,1.16,0.01,0.18
2023-02-14,0.865,0.871,0.871,0.865,211015,25099578.0,0.69,0.11,0.001,0.2
2023-02-15,0.861,0.87,0.873,0.861,223431,26580590.0,1.38,-0.11,-0.001,0.21
2023-02-16,0.865,0.867,0.883,0.863,351970,42093904.0,2.3,-0.34,-0.003,0.33
2023-02-17,0.862,0.857,0.872,0.856,248371,29439669.0,1.85,-1.15,-0.01,0.23
2023-02-20,0.857,0.887,0.887,0.857,483250,57836556.0,3.5,3.5,0.03,0.45
2023-02-21,0.882,0.895,0.895,0.882,245538,29743850.0,1.47,0.9,0.008,0.23
2023-02-22,0.889,0.886,0.891,0.886,255474,30894991.0,0.56,-1.01,-0.009,0.24
2023-02-23,0.885,0.885,0.892,0.882,376724,45506976.0,1.13,-0.11,-0.001,0.35
2023-02-24,0.887,0.883,0.887,0.878,255769,30762155.0,1.02,-0.23,-0.002,0.24
2023-02-27,0.879,0.879,0.883,0.877,191692,23030213.0,0.68,-0.45,-0.004,0.18
2023-02-28,0.876,0.89,0.891,0.876,242983,29261416.0,1.71,1.25,0.011,0.22
2023-03-01,0.892,0.906,0.912,0.889,265934,32532427.0,2.58,1.8,0.016,0.25
2023-03-02,0.91,0.914,0.918,0.906,221719,27348785.0,1.32,0.88,0.008,0.21
2023-03-03,0.916,0.933,0.933,0.916,281588,34998374.0,1.86,2.08,0.019,0.26
2023-03-06,0.932,0.929,0.98,0.928,229923,28845362.0,5.57,-0.43,-0.004,0.21
2023-03-07,0.929,0.922,0.947,0.92,313798,39519838.0,2.91,-0.75,-0.007,0.29
2023-03-08,0.918,0.924,0.926,0.914,253974,31512232.0,1.3,0.22,0.002,0.23
2023-03-09,0.919,0.925,0.935,0.919,246215,30637190.0,1.73,0.11,0.001,0.23
2023-03-10,0.923,0.908,0.94,0.907,241962,29940569.0,3.57,-1.84,-0.017,0.22
2023-03-13,0.906,0.933,0.933,0.906,319742,39721965.0,2.97,2.75,0.025,0.3
2023-03-14,0.94,0.925,0.94,0.918,217355,27092571.0,2.36,-0.86,-0.008,0.2
2023-03-15,0.93,0.937,0.94,0.924,250349,31293119.0,1.73,1.3,0.012,0.23
2023-03-16,0.94,0.933,0.944,0.93,266926,33575770.0,1.49,-0.43,-0.004,0.25
2023-03-17,0.945,0.959,0.96,0.942,488781,62244686.0,1.93,2.79,0.026,0.45
2023-03-20,0.97,0.948,0.975,0.948,296083,37963046.0,2.82,-1.15,-0.011,0.27
2023-03-21,0.95,0.943,0.96,0.941,242603,30734153.0,2.0,-0.53,-0.005,0.22
2023-03-22,0.939,0.961,0.961,0.939,287940,36703287.0,2.33,1.91,0.018,0.27
2023-03-23,0.955,0.968,0.969,0.954,242321,31005571.0,1.56,0.73,0.007,0.22
2023-03-24,0.977,0.96,0.977,0.954,214176,27375087.0,2.38,-0.83,-0.008,0.2
2023-03-27,0.971,0.944,0.971,0.935,259435,32747803.0,3.75,-1.67,-0.016,0.24
2023-03-28,0.957,0.943,0.957,0.941,205757,26012719.0,1.69,-0.11,-0.001,0.19
2023-03-29,0.96,0.939,0.96,0.934,188762,23740051.0,2.76,-0.42,-0.004,0.17
2023-03-30,0.944,0.951,0.953,0.933,222492,28069645.0,2.13,1.28,0.012,0.21
2023-03-31,0.959,0.954,0.959,0.941,171292,21812159.0,1.89,0.32,0.003,0.16
2023-04-03,0.959,0.962,0.964,0.955,159720,20435550.0,0.94,0.84,0.008,0.15
2023-04-04,0.967,0.983,0.985,0.96,251023,32549505.0,2.6,2.18,0.021,0.23
2023-04-06,0.991,0.985,0.991,0.976,201563,26218176.0,1.53,0.2,0.002,0.19
2023-04-07,0.994,0.98,0.994,0.977,249151,32407393.0,1.73,-0.51,-0.005,0.23
2023-04-10,0.988,0.981,0.988,0.979,177726,23162726.0,0.92,0.1,0.001,0.16
2023-04-11,0.989,0.988,0.989,0.977,179769,23391056.0,1.22,0.71,0.007,0.17
2023-04-12,1.0,1.003,1.005,0.986,158118,20886119.0,1.92,1.52,0.015,0.15
2023-04-13,1.011,0.997,1.011,0.992,210832,27811746.0,1.89,-0.6,-0.006,0.2
2023-04-14,1.008,1.003,1.008,0.993,165522,21834738.0,1.5,0.6,0.006,0.15
2023-04-17,1.01,1.024,1.026,0.998,224268,29906392.0,2.79,2.09,0.021,0.21
2023-04-18,1.03,1.033,1.035,1.02,161283,21700852.0,1.46,0.88,0.009,0.15
2023-04-19,1.039,1.022,1.039,1.018,187126,25229404.0,2.03,-1.06,-0.011,0.17
2023-04-20,1.025,1.039,1.039,1.019,196147,26420166.0,1.96,1.66,0.017,0.18
2023-04-21,1.038,1.017,1.049,1.016,238368,32287980.0,3.18,-2.12,-0.022,0.22
2023-04-24,1.023,1.025,1.034,1.017,220090,29615528.0,1.67,0.79,0.008,0.2
2023-04-25,1.026,1.032,1.037,1.019,222112,29922776.0,1.76,0.68,0.007,0.21
2023-04-26,1.035,1.015,1.035,1.003,216760,28992933.0,3.1,-1.65,-0.017,0.2
2023-04-27,1.016,1.024,1.027,1.007,188622,25216465.0,1.97,0.89,0.009,0.17
2023-04-28,1.026,1.037,1.041,1.024,178364,24084860.0,1.66,1.27,0.013,0.16
2023-05-04,1.038,1.059,1.064,1.022,192002,26185690.0,4.05,2.12,0.022,0.18
2023-05-05,1.059,1.059,1.075,1.052,179017,24754154.0,2.17,0.0,0.0,0.17
2023-05-08,1.056,1.096,1.106,1.056,267503,37654047.0,4.72,3.49,0.037,0.25
2023-05-09,1.096,1.081,1.112,1.079,214263,30369108.0,3.01,-1.37,-0.015,0.2
2023-05-10,1.078,1.048,1.079,1.043,173523,23969846.0,3.33,-3.05,-0.033,0.16
2023-05-11,1.056,1.041,1.059,1.04,201274,27507177.0,1.81,-0.67,-0.007,0.19
2023-05-12,1.056,1.032,1.056,1.032,179003,24358760.0,2.31,-0.86,-0.009,0.17
2023-05-15,1.025,1.037,1.039,1.004,200018,26779993.0,3.39,0.48,0.005,0.19
2023-05-16,1.037,1.027,1.043,1.025,164136,22242175.0,1.74,-0.96,-0.01,0.15
2023-05-17,1.027,1.025,1.032,1.017,178073,23901873.0,1.46,-0.19,-0.002,0.16
2023-05-18,1.032,1.039,1.05,1.029,278304,37895670.0,2.05,1.37,0.014,0.26
2023-05-19,1.038,1.021,1.038,1.019,200606,27014974.0,1.83,-1.73,-0.018,0.19
2023-05-22,1.032,1.02,1.032,1.016,170134,22843826.0,1.57,-0.1,-0.001,0.16
2023-05-23,1.03,1.002,1.03,1.002,204808,27326778.0,2.75,-1.76,-0.018,0.19
2023-05-24,1.008,0.976,1.008,0.975,179448,23465164.0,3.29,-2.59,-0.026,0.17
2023-05-25,0.977,0.979,0.981,0.964,261319,33837574.0,1.74,0.31,0.003,0.24
2023-05-26,0.98,0.988,0.993,0.975,148073,19296652.0,1.84,0.92,0.009,0.14
