# code=515580, name=科技100ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.793,0.795,0.802,0.793,86582,6908898.0,1.14,0.63,0.005,2.13
2023-01-31,0.788,0.788,0.794,0.786,182694,14433108.0,1.01,-0.88,-0.007,4.5
2023-02-01,0.789,0.799,0.799,0.787,182122,14456461.0,1.52,1.4,0.011,4.49
2023-02-02,0.8,0.797,0.805,0.795,137154,10966190.0,1.25,-0.25,-0.002,3.38
2023-02-03,0.8,0.794,0.8,0.781,189485,14938290.0,2.38,-0.38,-0.003,4.67
2023-02-06,0.795,0.793,0.799,0.787,158119,12509629.0,1.51,-0.13,-0.001,3.89
2023-02-07,0.794,0.791,0.795,0.788,153657,12169905.0,0.88,-0.25,-0.002,3.78
2023-02-08,0.802,0.788,0.802,0.787,171809,13603306.0,1.9,-0.38,-0.003,4.23
2023-02-09,0.784,0.802,0.802,0.784,135985,10834906.0,2.28,1.78,0.014,3.35
2023-02-10,0.802,0.798,0.805,0.794,168822,13477447.0,1.37,-0.5,-0.004,4.16
2023-02-13,0.798,0.8,0.802,0.798,168389,13451078.0,0.5,0.25,0.002,4.15
2023-02-14,0.805,0.803,0.805,0.799,190415,15264889.0,0.75,0.38,0.003,4.69
2023-02-15,0.8,0.81,0.812,0.796,218387,17637883.0,1.99,0.87,0.007,5.38
2023-02-16,0.812,0.8,0.819,0.794,229774,18687421.0,3.09,-1.23,-0.01,5.66
2023-02-17,0.795,0.78,0.803,0.78,195439,15464936.0,2.88,-2.5,-0.02,4.81
2023-02-20,0.776,0.801,0.801,0.776,207494,16336339.0,3.21,2.69,0.021,5.11
2023-02-21,0.801,0.805,0.807,0.759,216090,17338931.0,5.99,0.5,0.004,5.32
2023-02-22,0.807,0.8,0.807,0.796,186170,14872561.0,1.37,-0.62,-0.005,4.59
2023-02-23,0.807,0.796,0.807,0.794,147029,11738323.0,1.63,-0.5,-0.004,3.62
2023-02-24,0.803,0.798,0.807,0.791,221423,17616767.0,2.01,0.25,0.002,5.45
