# code=515700, name=新能车ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,2.477,2.447,2.5,2.445,1404717,348427232.0,2.31,2.69,0.064,18.33
2023-01-31,2.449,2.446,2.47,2.438,678655,166414657.0,1.31,-0.04,-0.001,8.85
2023-02-01,2.453,2.496,2.5,2.453,799998,199000860.0,1.92,2.04,0.05,10.44
2023-02-02,2.506,2.476,2.508,2.471,598229,148731895.0,1.48,-0.8,-0.02,7.8
2023-02-03,2.472,2.438,2.472,2.407,886901,215909313.0,2.63,-1.53,-0.038,11.57
2023-02-06,2.43,2.402,2.43,2.381,818250,196617692.0,2.01,-1.48,-0.036,10.68
2023-02-07,2.402,2.407,2.418,2.39,742957,178445165.0,1.17,0.21,0.005,9.69
2023-02-08,2.409,2.411,2.435,2.4,1089339,263261283.0,1.45,0.17,0.004,14.21
2023-02-09,2.415,2.43,2.432,2.392,875287,211882981.0,1.66,0.79,0.019,11.42
2023-02-10,2.43,2.392,2.43,2.382,612730,147121572.0,1.98,-1.56,-0.038,7.99
2023-02-13,2.39,2.409,2.416,2.381,665023,159851315.0,1.46,0.71,0.017,8.68
2023-02-14,2.42,2.397,2.424,2.387,598254,143332093.0,1.54,-0.5,-0.012,7.8
2023-02-15,2.404,2.38,2.418,2.379,479568,114677671.0,1.63,-0.71,-0.017,6.26
2023-02-16,2.383,2.338,2.396,2.319,746025,176542523.0,3.24,-1.76,-0.042,9.73
2023-02-17,2.339,2.287,2.347,2.286,656854,151890528.0,2.61,-2.18,-0.051,8.57
2023-02-20,2.278,2.292,2.294,2.245,786745,178226732.0,2.14,0.22,0.005,10.26
2023-02-21,2.293,2.299,2.311,2.275,622251,142907375.0,1.57,0.31,0.007,8.12
2023-02-22,2.28,2.274,2.292,2.271,472263,107620296.0,0.91,-1.09,-0.025,6.16
2023-02-23,2.277,2.287,2.294,2.275,509085,116283121.0,0.84,0.57,0.013,6.64
2023-02-24,2.287,2.26,2.289,2.251,470872,106658365.0,1.66,-1.18,-0.027,6.14
2023-02-27,2.25,2.238,2.261,2.233,531413,119372407.0,1.24,-0.97,-0.022,6.93
2023-02-28,2.245,2.251,2.255,2.227,511245,114515778.0,1.25,0.58,0.013,6.67
2023-03-01,2.254,2.263,2.265,2.236,725076,163558619.0,1.29,0.53,0.012,9.46
2023-03-02,2.267,2.23,2.267,2.228,788249,176570771.0,1.72,-1.46,-0.033,10.28
2023-03-03,2.233,2.226,2.241,2.217,697958,155458594.0,1.08,-0.18,-0.004,9.11
2023-03-06,2.231,2.23,2.232,2.182,870032,192353925.0,2.25,0.18,0.004,11.35
2023-03-07,2.225,2.191,2.226,2.19,733716,162171469.0,1.61,-1.75,-0.039,9.57
2023-03-08,2.185,2.178,2.198,2.17,560352,122157654.0,1.28,-0.59,-0.013,7.31
2023-03-09,2.175,2.182,2.2,2.172,524027,114612263.0,1.29,0.18,0.004,6.84
2023-03-10,2.176,2.15,2.176,2.141,1150190,247761265.0,1.6,-1.47,-0.032,15.01
2023-03-13,2.144,2.119,2.148,2.108,794805,168612605.0,1.86,-1.44,-0.031,10.37
2023-03-14,2.118,2.102,2.118,2.057,1282685,267775362.0,2.88,-0.8,-0.017,16.73
2023-03-15,2.106,2.092,2.135,2.091,761127,160780972.0,2.09,-0.48,-0.01,9.93
2023-03-16,2.081,2.054,2.092,2.049,778851,161299149.0,2.06,-1.82,-0.038,10.16
2023-03-17,2.067,2.047,2.078,2.041,728192,149931265.0,1.8,-0.34,-0.007,9.5
2023-03-20,2.047,2.053,2.073,2.022,742279,152143979.0,2.49,0.29,0.006,9.68
2023-03-21,2.057,2.102,2.102,2.05,778657,161682797.0,2.53,2.39,0.049,10.16
2023-03-22,2.114,2.115,2.146,2.107,827395,175801645.0,1.86,0.62,0.013,10.79
2023-03-23,2.103,2.108,2.122,2.098,624464,131635615.0,1.13,-0.33,-0.007,8.15
2023-03-24,2.108,2.115,2.127,2.091,639850,135097531.0,1.71,0.33,0.007,8.35
2023-03-27,2.114,2.12,2.128,2.095,600304,126801355.0,1.56,0.24,0.005,7.83
2023-03-28,2.118,2.098,2.125,2.097,555154,116958803.0,1.32,-1.04,-0.022,7.24
2023-03-29,2.103,2.11,2.134,2.103,649412,137662802.0,1.48,0.57,0.012,8.47
2023-03-30,2.111,2.13,2.13,2.101,650097,137673135.0,1.37,0.95,0.02,8.48
2023-03-31,2.133,2.138,2.167,2.13,1256083,270039919.0,1.74,0.38,0.008,16.39
2023-04-03,2.138,2.143,2.159,2.118,881771,188268038.0,1.92,0.23,0.005,11.5
2023-04-04,2.139,2.09,2.14,2.076,924814,193807398.0,2.99,-2.47,-0.053,12.07
2023-04-06,2.09,2.082,2.09,2.06,655303,135794838.0,1.44,-0.38,-0.008,8.55
2023-04-07,2.077,2.085,2.107,2.077,995845,208117972.0,1.44,0.14,0.003,12.99
2023-04-10,2.092,2.135,2.135,2.087,1306400,275874555.0,2.3,2.4,0.05,17.04
2023-04-11,2.135,2.13,2.148,2.118,792933,169042674.0,1.41,-0.23,-0.005,10.34
