# code=515790, name=光伏ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,1.52,1.504,1.528,1.501,4804285,726210074.0,1.8,0.4,0.006,4.69
2023-01-31,1.503,1.521,1.528,1.496,4624905,702096919.0,2.13,1.13,0.017,4.51
2023-02-01,1.527,1.514,1.527,1.485,6201665,932701649.0,2.76,-0.46,-0.007,6.05
2023-02-02,1.513,1.5,1.515,1.492,3631187,545597482.0,1.52,-0.92,-0.014,3.54
2023-02-03,1.491,1.47,1.494,1.453,4541562,666525950.0,2.73,-2.0,-0.03,4.43
2023-02-06,1.458,1.463,1.472,1.45,3293469,480629765.0,1.5,-0.48,-0.007,3.21
2023-02-07,1.464,1.46,1.475,1.449,2996276,437399361.0,1.78,-0.21,-0.003,2.92
2023-02-08,1.459,1.453,1.472,1.453,2697178,394178476.0,1.3,-0.48,-0.007,2.63
2023-02-09,1.45,1.478,1.482,1.442,3970819,583111012.0,2.75,1.72,0.025,3.88
2023-02-10,1.47,1.451,1.473,1.445,3151867,458606061.0,1.89,-1.83,-0.027,3.08
2023-02-13,1.448,1.455,1.465,1.444,2551612,370526409.0,1.45,0.28,0.004,2.49
2023-02-14,1.456,1.453,1.462,1.442,2829971,410243798.0,1.37,-0.14,-0.002,2.76
2023-02-15,1.453,1.444,1.47,1.441,2874314,417260651.0,2.0,-0.62,-0.009,2.81
2023-02-16,1.442,1.417,1.456,1.407,4579216,656943233.0,3.39,-1.87,-0.027,4.47
2023-02-17,1.414,1.388,1.423,1.386,4796219,672611768.0,2.61,-2.05,-0.029,4.68
2023-02-20,1.386,1.418,1.42,1.378,4206932,589553944.0,3.03,2.16,0.03,4.11
2023-02-21,1.417,1.438,1.449,1.41,4049177,578494944.0,2.75,1.41,0.02,3.95
2023-02-22,1.426,1.425,1.449,1.422,2562998,367847462.0,1.88,-0.9,-0.013,2.5
2023-02-23,1.426,1.461,1.466,1.426,5791374,840756523.0,2.81,2.53,0.036,5.65
2023-02-24,1.464,1.436,1.464,1.432,3189190,460048183.0,2.19,-1.71,-0.025,3.11
2023-02-27,1.428,1.442,1.468,1.42,3469692,502081218.0,3.34,0.42,0.006,3.39
2023-02-28,1.439,1.444,1.447,1.423,2932242,420996123.0,1.66,0.14,0.002,2.86
2023-03-01,1.44,1.427,1.444,1.419,5130814,731184598.0,1.73,-1.18,-0.017,5.01
2023-03-02,1.429,1.398,1.433,1.395,4200014,591576713.0,2.66,-2.03,-0.029,4.1
2023-03-03,1.398,1.398,1.413,1.395,3096078,433844241.0,1.29,0.0,0.0,3.02
2023-03-06,1.399,1.447,1.453,1.389,7669703,1094668146.0,4.58,3.51,0.049,7.49
2023-03-07,1.44,1.433,1.452,1.431,4335142,622965983.0,1.45,-0.97,-0.014,4.23
2023-03-08,1.427,1.416,1.453,1.41,4661937,666394242.0,3.0,-1.19,-0.017,4.55
2023-03-09,1.42,1.407,1.426,1.405,2536069,358315214.0,1.48,-0.64,-0.009,2.48
2023-03-10,1.4,1.393,1.409,1.381,3901543,543412720.0,1.99,-1.0,-0.014,3.81
2023-03-13,1.392,1.392,1.411,1.383,2928659,408975075.0,2.01,-0.07,-0.001,2.86
2023-03-14,1.39,1.365,1.393,1.336,5438544,739245408.0,4.09,-1.94,-0.027,5.31
