# code=515980, name=人工智能ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.433,0.43,0.437,0.426,118719,10190180.0,2.6,1.65,0.007,0.11
2023-01-31,0.43,0.42,0.431,0.418,128987,10871761.0,3.02,-2.33,-0.01,0.12
2023-02-01,0.42,0.429,0.43,0.418,166524,14122207.0,2.86,2.14,0.009,0.15
2023-02-02,0.436,0.434,0.439,0.43,296867,25685279.0,2.1,1.17,0.005,0.27
2023-02-03,0.431,0.435,0.437,0.425,191029,16447078.0,2.76,0.23,0.001,0.17
2023-02-06,0.435,0.436,0.442,0.432,270551,23626866.0,2.3,0.23,0.001,0.25
2023-02-07,0.436,0.436,0.439,0.432,151601,13195452.0,1.61,0.0,0.0,0.14
2023-02-08,0.437,0.435,0.442,0.434,148567,12988755.0,1.83,-0.23,-0.001,0.14
2023-02-09,0.433,0.45,0.45,0.429,280371,24731751.0,4.83,3.45,0.015,0.26
2023-02-10,0.452,0.445,0.454,0.442,399113,35806019.0,2.67,-1.11,-0.005,0.36
2023-02-13,0.445,0.451,0.452,0.441,321470,28805548.0,2.47,1.35,0.006,0.29
2023-02-14,0.451,0.45,0.454,0.446,189366,16989543.0,1.77,-0.22,-0.001,0.17
2023-02-15,0.449,0.462,0.462,0.447,290678,26484948.0,3.33,2.67,0.012,0.26
2023-02-16,0.459,0.453,0.47,0.448,351005,32268075.0,4.76,-1.95,-0.009,0.32
2023-02-17,0.451,0.434,0.454,0.434,322484,28484051.0,4.42,-4.19,-0.019,0.29
2023-02-20,0.432,0.45,0.45,0.432,241883,21414005.0,4.15,3.69,0.016,0.22
2023-02-21,0.451,0.449,0.457,0.445,297727,26878806.0,2.67,-0.22,-0.001,0.27
2023-02-22,0.446,0.452,0.454,0.441,177769,15879390.0,2.9,0.67,0.003,0.16
2023-02-23,0.452,0.444,0.452,0.442,159622,14253908.0,2.21,-1.77,-0.008,0.15
2023-02-24,0.444,0.447,0.451,0.442,450713,40365112.0,2.03,0.68,0.003,0.41
2023-02-27,0.443,0.441,0.449,0.44,149737,13258174.0,2.01,-1.34,-0.006,0.14
2023-02-28,0.445,0.448,0.453,0.442,189443,16966270.0,2.49,1.59,0.007,0.17
2023-03-01,0.448,0.465,0.467,0.447,370285,33999277.0,4.46,3.79,0.017,0.34
2023-03-02,0.465,0.467,0.471,0.464,230045,21504947.0,1.51,0.43,0.002,0.21
2023-03-03,0.464,0.462,0.465,0.455,254014,23394531.0,2.14,-1.07,-0.005,0.23
2023-03-06,0.46,0.459,0.462,0.455,145393,13338815.0,1.52,-0.65,-0.003,0.13
2023-03-07,0.458,0.448,0.46,0.446,258141,23322486.0,3.05,-2.4,-0.011,0.24
2023-03-08,0.448,0.451,0.451,0.446,144426,12952282.0,1.12,0.67,0.003,0.13
2023-03-09,0.453,0.454,0.456,0.447,169953,15361305.0,2.0,0.67,0.003,0.15
2023-03-10,0.449,0.447,0.454,0.447,136168,12245247.0,1.54,-1.54,-0.007,0.12
2023-03-13,0.445,0.461,0.461,0.443,288098,26206913.0,4.03,3.13,0.014,0.26
2023-03-14,0.458,0.461,0.463,0.451,161105,14763237.0,2.6,0.0,0.0,0.15
2023-03-15,0.463,0.458,0.465,0.457,333381,30786358.0,1.74,-0.65,-0.003,0.3
2023-03-16,0.455,0.454,0.461,0.451,389981,35415393.0,2.18,-0.87,-0.004,0.36
2023-03-17,0.458,0.471,0.474,0.454,379845,35482622.0,4.41,3.74,0.017,0.35
2023-03-20,0.472,0.47,0.482,0.469,241408,22929255.0,2.76,-0.21,-0.001,0.22
2023-03-21,0.471,0.474,0.475,0.465,168812,15902904.0,2.13,0.85,0.004,0.15
2023-03-22,0.474,0.487,0.487,0.468,482637,46346482.0,4.01,2.74,0.013,0.44
2023-03-23,0.485,0.51,0.51,0.482,448891,44698037.0,5.75,4.72,0.023,0.41
2023-03-24,0.51,0.521,0.525,0.504,519351,53513559.0,4.12,2.16,0.011,0.47
2023-03-27,0.522,0.52,0.529,0.509,754884,78659142.0,3.84,-0.19,-0.001,0.69
2023-03-28,0.517,0.507,0.518,0.505,415877,42543950.0,2.5,-2.5,-0.013,0.38
2023-03-29,0.504,0.514,0.521,0.499,490616,49810309.0,4.34,1.38,0.007,0.45
2023-03-30,0.51,0.507,0.515,0.501,410028,41737101.0,2.72,-1.36,-0.007,0.37
2023-03-31,0.505,0.52,0.522,0.497,398050,40486416.0,4.93,2.56,0.013,0.36
2023-04-03,0.523,0.548,0.549,0.522,522185,55807671.0,5.19,5.38,0.028,0.48
2023-04-04,0.548,0.553,0.564,0.543,565633,62357966.0,3.83,0.91,0.005,0.52
2023-04-06,0.543,0.553,0.562,0.54,558831,61771356.0,3.98,0.0,0.0,0.51
2023-04-07,0.554,0.559,0.563,0.549,308073,34249649.0,2.53,1.08,0.006,0.28
2023-04-10,0.564,0.533,0.569,0.53,495179,54184683.0,6.98,-4.65,-0.026,0.45
2023-04-11,0.53,0.535,0.539,0.523,401701,42755028.0,3.0,0.38,0.002,0.37
2023-04-12,0.534,0.55,0.553,0.531,371474,40499769.0,4.11,2.8,0.015,0.34
2023-04-13,0.545,0.529,0.547,0.526,362837,38753916.0,3.82,-3.82,-0.021,0.33
2023-04-14,0.529,0.53,0.533,0.515,314217,32991044.0,3.4,0.19,0.001,0.29
2023-04-17,0.527,0.527,0.529,0.519,225477,23664445.0,1.89,-0.57,-0.003,0.21
2023-04-18,0.527,0.529,0.533,0.518,326726,34301852.0,2.85,0.38,0.002,0.3
2023-04-19,0.53,0.532,0.544,0.529,476010,50980231.0,2.84,0.57,0.003,0.43
2023-04-20,0.531,0.548,0.549,0.528,505186,54485919.0,3.95,3.01,0.016,0.46
2023-04-21,0.549,0.52,0.549,0.516,546458,57684446.0,6.02,-5.11,-0.028,0.5
2023-04-24,0.518,0.512,0.52,0.509,308336,31734790.0,2.12,-1.54,-0.008,0.28
2023-04-25,0.512,0.513,0.519,0.505,419243,42916057.0,2.73,0.2,0.001,0.38
2023-04-26,0.511,0.491,0.512,0.486,451468,44754469.0,5.07,-4.29,-0.022,0.41
2023-04-27,0.485,0.483,0.494,0.476,376111,36427028.0,3.67,-1.63,-0.008,0.34
2023-04-28,0.479,0.495,0.497,0.478,403320,39531829.0,3.93,2.48,0.012,0.37
2023-05-04,0.493,0.486,0.494,0.48,297467,28838750.0,2.83,-1.82,-0.009,0.27
2023-05-05,0.483,0.476,0.487,0.473,322129,30900607.0,2.88,-2.06,-0.01,0.29
2023-05-08,0.481,0.487,0.49,0.475,591024,57357444.0,3.15,2.31,0.011,0.54
2023-05-09,0.487,0.485,0.492,0.483,498714,48614323.0,1.85,-0.41,-0.002,0.45
2023-05-10,0.485,0.479,0.489,0.474,376359,36122289.0,3.09,-1.24,-0.006,0.34
2023-05-11,0.483,0.471,0.484,0.471,466056,44248633.0,2.71,-1.67,-0.008,0.42
2023-05-12,0.471,0.469,0.476,0.469,226574,21378010.0,1.49,-0.42,-0.002,0.21
2023-05-15,0.469,0.471,0.473,0.458,391755,36391981.0,3.2,0.43,0.002,0.36
2023-05-16,0.472,0.462,0.473,0.46,265374,24703183.0,2.76,-1.91,-0.009,0.24
2023-05-17,0.455,0.464,0.468,0.455,281257,26045372.0,2.81,0.43,0.002,0.26
2023-05-18,0.467,0.477,0.48,0.464,484193,45923275.0,3.45,2.8,0.013,0.44
2023-05-19,0.479,0.479,0.485,0.476,431062,41394894.0,1.89,0.42,0.002,0.39
2023-05-22,0.478,0.475,0.48,0.47,308314,29237109.0,2.09,-0.84,-0.004,0.28
2023-05-23,0.474,0.468,0.475,0.468,251146,23638081.0,1.47,-1.47,-0.007,0.23
2023-05-24,0.464,0.465,0.473,0.461,304565,28358763.0,2.56,-0.64,-0.003,0.28
2023-05-25,0.465,0.469,0.474,0.459,314117,29219018.0,3.23,0.86,0.004,0.29
2023-05-26,0.47,0.48,0.481,0.467,429655,40854128.0,2.99,2.35,0.011,0.39
2023-05-29,0.485,0.482,0.488,0.476,290024,27928642.0,2.5,0.42,0.002,0.26
2023-05-30,0.479,0.495,0.496,0.473,431188,41903712.0,4.77,2.7,0.013,0.39
2023-05-31,0.498,0.502,0.503,0.493,498803,49663294.0,2.02,1.41,0.007,0.45
2023-06-01,0.5,0.513,0.517,0.497,660460,67412666.0,3.98,2.19,0.011,0.6
2023-06-02,0.513,0.51,0.515,0.508,438396,44724506.0,1.36,-0.58,-0.003,0.4
2023-06-05,0.506,0.511,0.514,0.506,331674,33836303.0,1.57,0.2,0.001,0.3
2023-06-06,0.51,0.494,0.51,0.492,443422,44282546.0,3.52,-3.33,-0.017,0.4
2023-06-07,0.494,0.498,0.501,0.492,285144,28352870.0,1.82,0.81,0.004,0.26
2023-06-08,0.495,0.493,0.495,0.485,337084,33069329.0,2.01,-1.0,-0.005,0.31
2023-06-09,0.492,0.501,0.501,0.488,390852,38632446.0,2.64,1.62,0.008,0.36
2023-06-12,0.503,0.508,0.513,0.502,509077,51804521.0,2.2,1.4,0.007,0.46
2023-06-13,0.508,0.525,0.528,0.501,723804,75219782.0,5.31,3.35,0.017,0.66
2023-06-14,0.525,0.53,0.534,0.518,533287,56153837.0,3.05,0.95,0.005,0.49
2023-06-15,0.529,0.524,0.535,0.523,438378,46258552.0,2.26,-1.13,-0.006,0.4
