# code=516080, name=创新药ETF易方达
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.764,0.753,0.772,0.751,109443,8312409.0,2.75,-1.31,-0.01,0.58
2023-01-31,0.75,0.736,0.755,0.734,111130,8253189.0,2.79,-2.26,-0.017,0.59
2023-02-01,0.739,0.741,0.741,0.728,114811,8431601.0,1.77,0.68,0.005,0.61
2023-02-02,0.742,0.749,0.759,0.739,107599,8122520.0,2.7,1.08,0.008,0.57
2023-02-03,0.747,0.746,0.755,0.739,86565,6446209.0,2.14,-0.4,-0.003,0.46
2023-02-06,0.744,0.733,0.744,0.729,88750,6504889.0,2.01,-1.74,-0.013,0.47
2023-02-07,0.732,0.731,0.739,0.725,87134,6375642.0,1.91,-0.27,-0.002,0.46
2023-02-08,0.734,0.733,0.741,0.732,70291,5174960.0,1.23,0.27,0.002,0.37
2023-02-09,0.733,0.739,0.739,0.73,92068,6772283.0,1.23,0.82,0.006,0.49
2023-02-10,0.74,0.737,0.742,0.731,65166,4806828.0,1.49,-0.27,-0.002,0.35
2023-02-13,0.74,0.741,0.752,0.737,111094,8249540.0,2.04,0.54,0.004,0.59
2023-02-14,0.738,0.74,0.744,0.735,65937,4864969.0,1.21,-0.13,-0.001,0.35
2023-02-15,0.738,0.728,0.74,0.725,83341,6070059.0,2.03,-1.62,-0.012,0.44
2023-02-16,0.728,0.718,0.733,0.712,107038,7793849.0,2.88,-1.37,-0.01,0.57
2023-02-17,0.718,0.717,0.725,0.713,84707,6099973.0,1.67,-0.14,-0.001,0.45
2023-02-20,0.717,0.727,0.73,0.71,67303,4841511.0,2.79,1.39,0.01,0.36
2023-02-21,0.727,0.726,0.731,0.724,92332,6699042.0,0.96,-0.14,-0.001,0.49
2023-02-22,0.729,0.722,0.733,0.721,57241,4155994.0,1.65,-0.55,-0.004,0.31
2023-02-23,0.725,0.719,0.73,0.716,76750,5543034.0,1.94,-0.42,-0.003,0.41
2023-02-24,0.723,0.713,0.723,0.711,73080,5218785.0,1.67,-0.83,-0.006,0.39
2023-02-27,0.71,0.706,0.712,0.703,89836,6357451.0,1.26,-0.98,-0.007,0.48
2023-02-28,0.706,0.716,0.717,0.706,151482,10777790.0,1.56,1.42,0.01,0.81
2023-03-01,0.713,0.715,0.716,0.708,107869,7690543.0,1.12,-0.14,-0.001,0.58
2023-03-02,0.716,0.709,0.716,0.707,104643,7427848.0,1.26,-0.84,-0.006,0.56
2023-03-03,0.709,0.708,0.716,0.707,128289,9116637.0,1.27,-0.14,-0.001,0.68
2023-03-06,0.708,0.708,0.71,0.703,74209,5250599.0,0.99,0.0,0.0,0.4
2023-03-07,0.707,0.696,0.712,0.696,100538,7073317.0,2.26,-1.69,-0.012,0.54
2023-03-08,0.694,0.692,0.695,0.689,76731,5319209.0,0.86,-0.57,-0.004,0.41
2023-03-09,0.692,0.696,0.7,0.692,97700,6797224.0,1.16,0.58,0.004,0.52
2023-03-10,0.696,0.698,0.701,0.687,86061,5966678.0,2.01,0.29,0.002,0.46
2023-03-13,0.69,0.692,0.695,0.688,63632,4395643.0,1.0,-0.86,-0.006,0.34
2023-03-14,0.691,0.693,0.702,0.689,85756,5962841.0,1.88,0.14,0.001,0.46
2023-03-15,0.696,0.692,0.702,0.692,70622,4928076.0,1.44,-0.14,-0.001,0.38
2023-03-16,0.692,0.684,0.694,0.683,109329,7515489.0,1.59,-1.16,-0.008,0.58
2023-03-17,0.687,0.674,0.69,0.672,90838,6161395.0,2.63,-1.46,-0.01,0.48
2023-03-20,0.674,0.666,0.678,0.66,83757,5567313.0,2.67,-1.19,-0.008,0.45
2023-03-21,0.666,0.686,0.687,0.666,79342,5391959.0,3.15,3.0,0.02,0.42
2023-03-22,0.689,0.69,0.694,0.685,62600,4330773.0,1.31,0.58,0.004,0.33
2023-03-23,0.687,0.687,0.692,0.683,83953,5778509.0,1.3,-0.43,-0.003,0.45
2023-03-24,0.691,0.68,0.691,0.679,77612,5299854.0,1.75,-1.02,-0.007,0.41
2023-03-27,0.68,0.689,0.694,0.672,55308,3779048.0,3.24,1.32,0.009,0.29
2023-03-28,0.689,0.685,0.689,0.682,54950,3765812.0,1.02,-0.58,-0.004,0.29
2023-03-29,0.685,0.676,0.685,0.675,83378,5651321.0,1.46,-1.31,-0.009,0.44
2023-03-30,0.677,0.678,0.679,0.67,81799,5523298.0,1.33,0.3,0.002,0.44
2023-03-31,0.678,0.673,0.679,0.671,97007,6541743.0,1.18,-0.74,-0.005,0.52
2023-04-03,0.673,0.667,0.677,0.666,114135,7624280.0,1.63,-0.89,-0.006,0.61
2023-04-04,0.667,0.672,0.672,0.663,117426,7833802.0,1.35,0.75,0.005,0.63
2023-04-06,0.675,0.68,0.68,0.67,152514,10318363.0,1.49,1.19,0.008,0.81
2023-04-07,0.683,0.706,0.706,0.681,162926,11388908.0,3.68,3.82,0.026,0.87
2023-04-10,0.709,0.712,0.719,0.709,214137,15265240.0,1.42,0.85,0.006,1.14
2023-04-11,0.712,0.708,0.715,0.703,156757,11107402.0,1.69,-0.56,-0.004,0.84
2023-04-12,0.708,0.703,0.714,0.7,117465,8299939.0,1.98,-0.71,-0.005,0.63
2023-04-13,0.703,0.72,0.721,0.697,184172,13146687.0,3.41,2.42,0.017,0.98
2023-04-14,0.721,0.719,0.735,0.716,232862,16850079.0,2.64,-0.14,-0.001,1.24
2023-04-17,0.716,0.725,0.728,0.714,193386,13969900.0,1.95,0.83,0.006,1.03
2023-04-18,0.723,0.713,0.723,0.711,131786,9408639.0,1.66,-1.66,-0.012,0.7
2023-04-19,0.714,0.703,0.715,0.7,130379,9188419.0,2.1,-1.4,-0.01,0.7
2023-04-20,0.704,0.692,0.706,0.69,149032,10380926.0,2.28,-1.56,-0.011,0.79
2023-04-21,0.691,0.688,0.698,0.686,139744,9668337.0,1.73,-0.58,-0.004,0.75
2023-04-24,0.691,0.684,0.698,0.68,123225,8490809.0,2.62,-0.58,-0.004,0.66
2023-04-25,0.683,0.661,0.683,0.655,179537,11922127.0,4.09,-3.36,-0.023,0.96
2023-04-26,0.664,0.667,0.668,0.661,68661,4567578.0,1.06,0.91,0.006,0.37
2023-04-27,0.666,0.672,0.676,0.666,78001,5223464.0,1.5,0.75,0.005,0.42
2023-04-28,0.675,0.675,0.679,0.666,97375,6531250.0,1.93,0.45,0.003,0.52
2023-05-04,0.675,0.675,0.68,0.671,109666,7418853.0,1.33,0.0,0.0,0.58
2023-05-05,0.675,0.66,0.675,0.659,134509,8931217.0,2.37,-2.22,-0.015,0.72
2023-05-08,0.658,0.66,0.664,0.652,108329,7105337.0,1.82,0.0,0.0,0.58
2023-05-09,0.659,0.648,0.659,0.647,157121,10244917.0,1.82,-1.82,-0.012,0.84
2023-05-10,0.649,0.65,0.652,0.642,74577,4826350.0,1.54,0.31,0.002,0.4
2023-05-11,0.65,0.65,0.662,0.649,113397,7421436.0,2.0,0.0,0.0,0.6
2023-05-12,0.648,0.645,0.654,0.644,83160,5403124.0,1.54,-0.77,-0.005,0.44
2023-05-15,0.642,0.658,0.659,0.641,86740,5631832.0,2.79,2.02,0.013,0.46
2023-05-16,0.66,0.665,0.669,0.66,101670,6757599.0,1.37,1.06,0.007,0.54
2023-05-17,0.666,0.66,0.666,0.657,73840,4873916.0,1.35,-0.75,-0.005,0.39
2023-05-18,0.664,0.653,0.664,0.65,84848,5561290.0,2.12,-1.06,-0.007,0.45
2023-05-19,0.651,0.662,0.664,0.651,94785,6254649.0,1.99,1.38,0.009,0.51
2023-05-22,0.662,0.666,0.671,0.662,88960,5912787.0,1.36,0.6,0.004,0.47
2023-05-23,0.665,0.672,0.678,0.665,118673,8004862.0,1.95,0.9,0.006,0.63
2023-05-24,0.672,0.661,0.672,0.659,101104,6700798.0,1.93,-1.64,-0.011,0.54
2023-05-25,0.659,0.657,0.661,0.651,89504,5865412.0,1.51,-0.61,-0.004,0.48
2023-05-26,0.656,0.661,0.665,0.652,73613,4857818.0,1.98,0.61,0.004,0.39
2023-05-29,0.663,0.659,0.665,0.653,69771,4600322.0,1.82,-0.3,-0.002,0.37
2023-05-30,0.659,0.651,0.661,0.64,149057,9647680.0,3.19,-1.21,-0.008,0.79
2023-05-31,0.654,0.64,0.654,0.638,102866,6638276.0,2.46,-1.69,-0.011,0.55
2023-06-01,0.639,0.644,0.651,0.638,95536,6169841.0,2.03,0.63,0.004,0.51
2023-06-02,0.65,0.645,0.65,0.641,80689,5197014.0,1.4,0.16,0.001,0.43
2023-06-05,0.649,0.643,0.649,0.638,99262,6353702.0,1.71,-0.31,-0.002,0.53
2023-06-06,0.639,0.628,0.64,0.626,106900,6777746.0,2.18,-2.33,-0.015,0.57
2023-06-07,0.627,0.619,0.632,0.617,112180,7010607.0,2.39,-1.43,-0.009,0.6
2023-06-08,0.62,0.614,0.62,0.611,109486,6715083.0,1.45,-0.81,-0.005,0.58
2023-06-09,0.613,0.621,0.625,0.613,63401,3922176.0,1.95,1.14,0.007,0.34
2023-06-12,0.621,0.618,0.621,0.613,90134,5566583.0,1.29,-0.48,-0.003,0.48
2023-06-13,0.619,0.617,0.622,0.613,89990,5546165.0,1.46,-0.16,-0.001,0.48
2023-06-14,0.617,0.617,0.624,0.615,97655,6058984.0,1.46,0.0,0.0,0.52
2023-06-15,0.617,0.63,0.631,0.616,105905,6626831.0,2.43,2.11,0.013,0.56
2023-06-16,0.633,0.632,0.638,0.628,89029,5637941.0,1.59,0.32,0.002,0.47
