# code=516670, name=畜牧养殖ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-30,0.868,0.862,0.872,0.86,393853,34055942.0,1.4,0.23,0.002,2.24
2023-01-31,0.863,0.869,0.88,0.863,409518,35689489.0,1.97,0.81,0.007,2.33
2023-02-01,0.869,0.881,0.882,0.866,507175,44304530.0,1.84,1.38,0.012,2.88
2023-02-02,0.882,0.885,0.887,0.876,408871,36043929.0,1.25,0.45,0.004,2.33
2023-02-03,0.885,0.88,0.892,0.874,397176,35050560.0,2.03,-0.56,-0.005,2.26
2023-02-06,0.872,0.885,0.886,0.87,444848,39070475.0,1.82,0.57,0.005,2.53
2023-02-07,0.885,0.877,0.889,0.874,246796,21668320.0,1.69,-0.9,-0.008,1.4
2023-02-08,0.876,0.868,0.876,0.867,166778,14538409.0,1.03,-1.03,-0.009,0.95
2023-02-09,0.873,0.872,0.873,0.867,269709,23466201.0,0.69,0.46,0.004,1.53
2023-02-10,0.87,0.874,0.88,0.87,204150,17874724.0,1.15,0.23,0.002,1.16
2023-02-13,0.878,0.873,0.882,0.864,267675,23363207.0,2.06,-0.11,-0.001,1.52
2023-02-14,0.877,0.868,0.879,0.864,182682,15853247.0,1.72,-0.57,-0.005,1.04
2023-02-15,0.866,0.858,0.866,0.856,153471,13178869.0,1.15,-1.15,-0.01,0.87
2023-02-16,0.858,0.852,0.868,0.844,211499,18152558.0,2.8,-0.7,-0.006,1.2
2023-02-17,0.854,0.852,0.859,0.85,195486,16706768.0,1.06,0.0,0.0,1.11
2023-02-20,0.856,0.862,0.862,0.847,343009,29273612.0,1.76,1.17,0.01,1.95
2023-02-21,0.862,0.869,0.876,0.86,396912,34458581.0,1.86,0.81,0.007,2.26
2023-02-22,0.869,0.874,0.878,0.868,338495,29578974.0,1.15,0.58,0.005,1.93
2023-02-23,0.874,0.873,0.881,0.868,381093,33327152.0,1.49,-0.11,-0.001,2.17
2023-02-24,0.873,0.875,0.884,0.871,437470,38361608.0,1.49,0.23,0.002,2.49
2023-02-27,0.875,0.869,0.881,0.867,290007,25254943.0,1.6,-0.69,-0.006,1.65
2023-02-28,0.867,0.876,0.878,0.867,373161,32587556.0,1.27,0.81,0.007,2.12
2023-03-01,0.875,0.876,0.877,0.871,209038,18269971.0,0.68,0.0,0.0,1.19
2023-03-02,0.876,0.87,0.877,0.868,368937,32136352.0,1.03,-0.68,-0.006,2.1
2023-03-03,0.868,0.867,0.872,0.863,274000,23773535.0,1.03,-0.34,-0.003,1.56
2023-03-06,0.868,0.875,0.88,0.863,267899,23392216.0,1.96,0.92,0.008,1.52
2023-03-07,0.875,0.856,0.876,0.855,190009,16435295.0,2.4,-2.17,-0.019,1.08
2023-03-08,0.856,0.853,0.856,0.848,132722,11288984.0,0.93,-0.35,-0.003,0.75
2023-03-09,0.853,0.847,0.858,0.845,205063,17423407.0,1.52,-0.7,-0.006,1.17
2023-03-10,0.844,0.84,0.845,0.832,489387,40936159.0,1.53,-0.83,-0.007,2.78
2023-03-13,0.837,0.845,0.846,0.832,252276,21124102.0,1.67,0.6,0.005,1.43
2023-03-14,0.845,0.861,0.867,0.844,342173,29408489.0,2.72,1.89,0.016,1.95
2023-03-15,0.861,0.86,0.874,0.859,207348,17930028.0,1.74,-0.12,-0.001,1.18
2023-03-16,0.859,0.838,0.859,0.838,251682,21297067.0,2.44,-2.56,-0.022,1.43
2023-03-17,0.843,0.837,0.844,0.835,243409,20401734.0,1.07,-0.12,-0.001,1.38
2023-03-20,0.838,0.825,0.838,0.824,356412,29528635.0,1.67,-1.43,-0.012,2.03
2023-03-21,0.827,0.828,0.83,0.825,293038,24248851.0,0.61,0.36,0.003,1.67
2023-03-22,0.83,0.829,0.836,0.826,258491,21478423.0,1.21,0.12,0.001,1.47
2023-03-23,0.83,0.828,0.833,0.825,187088,15485980.0,0.97,-0.12,-0.001,1.06
2023-03-24,0.829,0.831,0.836,0.827,195275,16224415.0,1.09,0.36,0.003,1.11
2023-03-27,0.831,0.84,0.84,0.826,252470,21061629.0,1.68,1.08,0.009,1.44
2023-03-28,0.839,0.846,0.852,0.836,224323,18962025.0,1.9,0.71,0.006,1.28
2023-03-29,0.842,0.832,0.845,0.83,401599,33464711.0,1.77,-1.65,-0.014,2.28
2023-03-30,0.833,0.841,0.842,0.832,259218,21708784.0,1.2,1.08,0.009,1.47
2023-03-31,0.846,0.859,0.87,0.846,469568,40479338.0,2.85,2.14,0.018,2.67
2023-04-03,0.858,0.873,0.88,0.855,568767,49584533.0,2.91,1.63,0.014,3.23
2023-04-04,0.872,0.886,0.896,0.872,707995,62786841.0,2.75,1.49,0.013,4.03
2023-04-06,0.888,0.881,0.896,0.873,794689,69898971.0,2.6,-0.56,-0.005,4.52
2023-04-07,0.876,0.871,0.88,0.871,524867,45852649.0,1.02,-1.14,-0.01,2.99
2023-04-10,0.871,0.866,0.878,0.863,525530,45723570.0,1.72,-0.57,-0.005,2.99
2023-04-11,0.867,0.864,0.87,0.86,238865,20602540.0,1.15,-0.23,-0.002,1.36
2023-04-12,0.864,0.855,0.864,0.849,291152,24850142.0,1.74,-1.04,-0.009,1.66
2023-04-13,0.854,0.85,0.855,0.845,309707,26298218.0,1.17,-0.58,-0.005,1.76
2023-04-14,0.852,0.846,0.853,0.841,497044,42029170.0,1.41,-0.47,-0.004,2.83
2023-04-17,0.853,0.849,0.853,0.84,812037,68468334.0,1.54,0.35,0.003,4.62
2023-04-18,0.85,0.846,0.85,0.84,539269,45556792.0,1.18,-0.35,-0.003,3.07
2023-04-19,0.844,0.843,0.852,0.84,723489,61129220.0,1.42,-0.35,-0.003,4.11
2023-04-20,0.843,0.834,0.843,0.831,712888,59523717.0,1.42,-1.07,-0.009,4.05
2023-04-21,0.837,0.827,0.84,0.825,830222,69041347.0,1.8,-0.84,-0.007,4.72
2023-04-24,0.825,0.814,0.827,0.808,853105,69709242.0,2.3,-1.57,-0.013,4.85
2023-04-25,0.815,0.812,0.816,0.801,975835,79080378.0,1.84,-0.25,-0.002,5.55
2023-04-26,0.812,0.816,0.819,0.805,393633,31989943.0,1.72,0.49,0.004,2.24
2023-04-27,0.816,0.811,0.817,0.807,719880,58364449.0,1.23,-0.61,-0.005,4.09
2023-04-28,0.815,0.808,0.815,0.804,453642,36597557.0,1.36,-0.37,-0.003,2.58
2023-05-04,0.806,0.803,0.808,0.8,476133,38229663.0,0.99,-0.62,-0.005,2.71
2023-05-05,0.803,0.79,0.803,0.784,563987,44579757.0,2.37,-1.62,-0.013,3.21
2023-05-08,0.791,0.785,0.792,0.782,581312,45674189.0,1.27,-0.63,-0.005,3.31
2023-05-09,0.784,0.788,0.793,0.779,472640,37084014.0,1.78,0.38,0.003,2.69
2023-05-10,0.789,0.781,0.789,0.777,586347,45781821.0,1.52,-0.89,-0.007,3.33
2023-05-11,0.781,0.783,0.793,0.78,360138,28314572.0,1.66,0.26,0.002,2.05
2023-05-12,0.783,0.785,0.792,0.781,295873,23246249.0,1.4,0.26,0.002,1.68
2023-05-15,0.786,0.779,0.786,0.769,482032,37339852.0,2.17,-0.76,-0.006,2.74
2023-05-16,0.78,0.776,0.782,0.774,443014,34429768.0,1.03,-0.39,-0.003,2.52
