# code=588000, name=科创50ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-20,1.07,1.073,1.078,1.066,16421996,1759824360.0,1.12,0.47,0.005,3.36
2023-01-30,1.091,1.074,1.093,1.074,22279389,2411461071.0,1.77,0.09,0.001,4.56
2023-01-31,1.07,1.058,1.073,1.056,16957741,1803302025.0,1.58,-1.49,-0.016,3.47
2023-02-01,1.058,1.071,1.071,1.052,18451332,1961318868.0,1.8,1.23,0.013,3.78
2023-02-02,1.074,1.075,1.085,1.071,20885420,2251406473.0,1.31,0.37,0.004,4.28
2023-02-03,1.071,1.078,1.079,1.06,19976253,2136299251.0,1.77,0.28,0.003,4.09
2023-02-06,1.071,1.068,1.083,1.063,16677315,1785210577.0,1.86,-0.93,-0.01,3.41
2023-02-07,1.067,1.063,1.071,1.058,14391346,1529356560.0,1.22,-0.47,-0.005,2.95
2023-02-08,1.064,1.054,1.069,1.053,12107039,1282709653.0,1.51,-0.85,-0.009,2.48
2023-02-09,1.051,1.082,1.082,1.048,24068469,2569853826.0,3.23,2.66,0.028,4.93
2023-02-10,1.08,1.068,1.082,1.062,21112832,2262142058.0,1.85,-1.29,-0.014,4.32
2023-02-13,1.062,1.069,1.075,1.062,13541774,1447070256.0,1.22,0.09,0.001,2.77
2023-02-14,1.071,1.065,1.076,1.06,12509814,1334142428.0,1.5,-0.37,-0.004,2.56
2023-02-15,1.065,1.067,1.07,1.06,14358765,1529610762.0,0.94,0.19,0.002,2.94
2023-02-16,1.066,1.049,1.073,1.04,26293118,2786075058.0,3.09,-1.69,-0.018,5.38
2023-02-17,1.046,1.029,1.049,1.027,23213014,2409925789.0,2.1,-1.91,-0.02,4.75
2023-02-20,1.027,1.042,1.042,1.022,18565534,1916913972.0,1.94,1.26,0.013,3.8
2023-02-21,1.04,1.038,1.045,1.032,13039765,1354470355.0,1.25,-0.38,-0.004,2.67
2023-02-22,1.033,1.032,1.036,1.03,11492338,1186191161.0,0.58,-0.58,-0.006,2.35
2023-02-23,1.032,1.035,1.041,1.031,10365394,1073366008.0,0.97,0.29,0.003,2.12
2023-02-24,1.037,1.033,1.042,1.031,10411903,1078317906.0,1.06,-0.19,-0.002,2.13
2023-02-27,1.029,1.028,1.038,1.027,11842127,1220957221.0,1.06,-0.48,-0.005,2.42
2023-02-28,1.033,1.033,1.037,1.023,12156394,1252309809.0,1.36,0.49,0.005,2.49
2023-03-01,1.033,1.038,1.041,1.027,17389960,1799488220.0,1.36,0.48,0.005,3.56
2023-03-02,1.038,1.032,1.04,1.031,12307513,1273676827.0,0.87,-0.58,-0.006,2.52
2023-03-03,1.037,1.043,1.044,1.033,18735251,1949623573.0,1.07,1.07,0.011,3.84
2023-03-06,1.043,1.053,1.055,1.035,19876391,2078829711.0,1.92,0.96,0.01,4.07
2023-03-07,1.05,1.034,1.053,1.033,19066300,1989998583.0,1.9,-1.8,-0.019,3.9
2023-03-08,1.03,1.038,1.04,1.029,12927400,1337999528.0,1.06,0.39,0.004,2.65
2023-03-09,1.038,1.041,1.045,1.036,13482129,1404507086.0,0.87,0.29,0.003,2.76
2023-03-10,1.035,1.037,1.046,1.03,16527155,1715364965.0,1.54,-0.38,-0.004,3.38
2023-03-13,1.034,1.04,1.041,1.031,13320113,1379745664.0,0.96,0.29,0.003,2.73
2023-03-14,1.039,1.055,1.057,1.029,25928670,2705562167.0,2.69,1.44,0.015,5.31
2023-03-15,1.056,1.048,1.067,1.048,21548218,2277422783.0,1.8,-0.66,-0.007,4.41
2023-03-16,1.043,1.032,1.052,1.031,21737584,2261291459.0,2.0,-1.53,-0.016,4.45
2023-03-17,1.04,1.056,1.062,1.036,33646411,3534769265.0,2.52,2.33,0.024,6.89
2023-03-20,1.057,1.068,1.075,1.053,28002171,2987833040.0,2.08,1.14,0.012,5.73
2023-03-21,1.068,1.07,1.07,1.061,15353827,1636111183.0,0.84,0.19,0.002,3.14
2023-03-22,1.073,1.074,1.08,1.069,18497416,1986603362.0,1.03,0.37,0.004,3.79
2023-03-23,1.071,1.099,1.1,1.07,35746540,3895810573.0,2.79,2.33,0.025,7.32
2023-03-24,1.1,1.104,1.105,1.091,23857020,2623234063.0,1.27,0.45,0.005,4.88
2023-03-27,1.102,1.098,1.112,1.085,26283476,2890393912.0,2.45,-0.54,-0.006,5.38
