日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,Y_next_day_return,Y_future_5d_return,Y_future_10d_return,Y_future_5d_vol_change,Y_future_10d_vol_change
2023-01-30,1.025,1.009,1.029,1.005,1340835,300767814.0,2.34,-1.46,-0.015,1.61,,,,,,,,,0.0049554013875126035,0.0009910802775026095,-0.021803766105054412,,
2023-01-31,1.005,1.014,1.017,1.001,1019942,228965873.0,1.59,0.5,0.005,1.22,,,,,,,,,0.0039447731755424265,-0.004930966469428144,-0.01972386587771202,,
2023-02-01,1.012,1.018,1.018,1.005,1187610,266248819.0,1.28,0.39,0.004,1.42,,,,,,,,,0.005893909626718985,-0.015717092337917515,-0.035363457760314354,,
2023-02-02,1.018,1.024,1.03,1.007,1241048,280760962.0,2.26,0.59,0.006,1.49,,,,,,,,,-0.013671875,-0.017578125,-0.056640625,,
2023-02-03,1.02,1.01,1.02,1.0,1204880,269338553.0,1.95,-1.37,-0.014,1.44,,,,,,,1.0150000000000001,,0.0,-0.01881188118811883,-0.02079207920792081,,
2023-02-06,1.001,1.01,1.011,0.999,889811,198418939.0,1.19,0.0,0.0,1.07,,,,,,,1.0152,,-0.000990099009901102,-0.022772277227722793,0.004950495049504955,-0.1278202013298475,
2023-02-07,1.007,1.009,1.021,1.005,739324,165820889.0,1.58,-0.1,-0.001,0.89,,,,,,,1.0142,,-0.006937561942517267,-0.014866204162537033,0.03567888999008928,0.15056965236431963,
2023-02-08,1.013,1.002,1.015,1.0,679542,151902416.0,1.49,-0.69,-0.007,0.81,,,,,,,1.011,,0.003992015968063978,-0.019960079840319334,0.048902195608782284,0.2945841638112443,
2023-02-09,1.0,1.006,1.007,0.997,607645,135240826.0,1.0,0.4,0.004,0.73,,,,,,,1.0074,,-0.01491053677932408,-0.03976143141153088,0.05268389662027828,0.40800448224075003,
2023-02-10,1.004,0.991,1.004,0.987,923571,203800421.0,1.69,-1.49,-0.015,1.11,,,,,,,1.0036,1.0093,-0.004036326942482349,-0.0020181634712411745,0.06357214934409683,1.1970452848940392,
2023-02-13,0.99,0.987,0.99,0.974,928746,202901527.0,1.61,-0.4,-0.004,1.11,,,,,,,0.999,1.0070999999999999,0.007092198581560183,0.028368794326240954,0.07396149949341435,1.7943005395462595,1.0654047490086431
2023-02-14,0.987,0.994,0.999,0.983,820837,181006513.0,1.62,0.71,0.007,0.98,,,,,,,0.9960000000000001,1.0051,-0.012072434607645843,0.051307847082494806,0.055331991951710124,1.5539974714880498,1.1230162215700021
2023-02-15,0.994,0.982,0.998,0.982,700578,153919867.0,1.61,-1.21,-0.012,0.84,,,,,,,0.992,1.0014999999999998,-0.016293279022403295,0.070264765784114,0.07230142566191433,0.9936091236236404,0.9059747144718835
2023-02-16,0.984,0.966,0.99,0.96,845855,184358625.0,3.05,-1.63,-0.016,1.01,,,,,,,0.984,0.9957,0.023809523809523725,0.09627329192546585,0.09109730848861286,0.1434506936977218,0.6192180396981488
2023-02-17,0.966,0.989,0.995,0.966,1160077,254203317.0,3.0,2.38,0.023,1.39,,,,,,,0.9836,0.9936,0.02628918099089983,0.0657229524772498,0.0667340748230536,-0.09968367260212652,0.04344932281092362
2023-02-20,0.992,1.015,1.017,0.992,1796261,402000079.0,2.53,2.63,0.026,2.15,,,,,,,0.9892,0.9940999999999999,0.029556650246305383,0.044334975369458185,0.01379310344827589,-0.3610902329346479,-0.07465680265178543
2023-02-21,1.022,1.045,1.052,1.015,1719980,395675151.0,3.65,2.96,0.03,2.06,,,,,,,0.9994,0.9977,0.00574162679425827,0.00382775119617218,-0.011483253588516762,-0.6477889427259862,-0.43568183468497224
2023-02-22,1.042,1.051,1.059,1.033,1454425,337084400.0,2.49,0.57,0.006,1.74,,,,,,,1.0131999999999999,1.0026,0.007611798287345373,0.0019029495718363432,-0.02378686964795429,-0.6016521638957564,-0.4326973424996361
2023-02-23,1.08,1.059,1.085,1.053,1683967,396420532.0,3.04,0.76,0.008,2.02,,,,,,,1.0317999999999998,1.0078999999999998,-0.0047214353163360645,-0.0047214353163360645,-0.03682719546742208,-0.4063686255777905,-0.4695890414426681
