# code=159916, name=深F60ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-09,4.6,4.627,4.629,4.6,8798,4053629.0,0.63,1.09,0.05,1.69
2020-01-10,4.627,4.616,4.639,4.595,2549,1174470.0,0.95,-0.24,-0.011,0.49
2020-01-13,4.619,4.648,4.649,4.6,1290,595848.0,1.06,0.69,0.032,0.25
2020-01-14,4.648,4.639,4.678,4.636,2159,1003501.0,0.9,-0.19,-0.009,0.41
2020-01-15,4.639,4.595,4.666,4.57,1252,576343.0,2.07,-0.95,-0.044,0.24
2020-01-16,4.585,4.573,4.62,4.56,970,444207.0,1.31,-0.48,-0.022,0.19
2020-01-17,4.573,4.573,4.604,4.557,842,385360.0,1.03,0.0,0.0,0.16
2020-01-20,4.573,4.614,4.614,4.559,2023,927996.0,1.2,0.9,0.041,0.39
2020-01-21,4.58,4.515,4.59,4.411,1957,886878.0,3.88,-2.15,-0.099,0.38
2020-01-22,4.481,4.541,4.558,4.428,1707,765313.0,2.88,0.58,0.026,0.33
2020-01-23,4.46,4.39,4.515,4.336,3525,1565187.0,3.94,-3.33,-0.151,0.68
2020-02-03,3.995,3.994,4.125,3.951,7064,2843420.0,3.96,-9.02,-0.396,1.36
2020-02-04,3.985,4.14,4.2,3.981,5773,2379792.0,5.48,3.66,0.146,1.11
2020-02-05,4.14,4.289,4.338,4.14,2790,1176076.0,4.78,3.6,0.149,0.54
2020-02-06,4.29,4.301,4.33,4.2,6488,2748624.0,3.03,0.28,0.012,1.25
2020-02-07,4.301,4.286,4.301,4.115,27284,11654232.0,4.32,-0.35,-0.015,5.24
2020-02-10,4.286,4.27,4.286,4.19,7657,3270572.0,2.24,-0.37,-0.016,1.47
2020-02-11,4.27,4.312,4.328,4.27,2322,998156.0,1.36,0.98,0.042,0.45
2020-02-12,4.315,4.315,4.319,4.261,16744,7162741.0,1.35,0.07,0.003,3.22
2020-02-13,4.315,4.316,4.322,4.299,1618,696836.0,0.53,0.02,0.001,0.31
2020-02-14,4.319,4.312,4.339,4.3,21185,9135601.0,0.9,-0.09,-0.004,4.07
2020-02-17,4.356,4.41,4.419,4.312,31888,13939467.0,2.48,2.27,0.098,6.12
2020-02-18,4.415,4.411,4.416,4.352,31596,13839237.0,1.45,0.02,0.001,6.07
2020-02-19,4.408,4.411,4.47,4.389,1796,795105.0,1.84,0.0,0.0,0.34
2020-02-20,4.443,4.527,4.532,4.416,17687,7900043.0,2.63,2.63,0.116,3.4
2020-02-21,4.527,4.527,4.562,4.519,2729,1238316.0,0.95,0.0,0.0,0.52
2020-02-24,4.428,4.533,4.556,4.423,2574,1158120.0,2.94,0.13,0.006,0.49
2020-02-25,4.401,4.503,4.509,4.38,2910,1302632.0,2.85,-0.66,-0.03,0.56
2020-02-26,4.431,4.488,4.559,4.424,3653,1645112.0,3.0,-0.33,-0.015,0.7
2020-02-27,4.5,4.499,4.514,4.458,2084,936498.0,1.25,0.25,0.011,0.4
2020-02-28,4.364,4.355,4.453,4.355,6187,2717588.0,2.18,-3.2,-0.144,1.19
2020-03-02,4.355,4.519,4.6,4.355,3535,1586446.0,5.63,3.77,0.164,0.68
2020-03-03,4.599,4.48,4.599,4.422,2430,1097844.0,3.92,-0.86,-0.039,0.47
2020-03-04,4.4,4.519,4.519,4.4,769,343803.0,2.66,0.87,0.039,0.15
2020-03-05,4.525,4.612,4.628,4.519,3228,1478619.0,2.41,2.06,0.093,0.62
2020-03-06,4.569,4.55,4.572,4.536,539,245489.0,0.78,-1.34,-0.062,0.1
2020-03-09,4.537,4.414,4.538,4.4,1843,818043.0,3.03,-2.99,-0.136,0.35
2020-03-10,4.44,4.45,4.48,4.31,2136,939436.0,3.85,0.82,0.036,0.41
2020-03-11,4.414,4.403,4.467,4.401,430,190555.0,1.48,-1.06,-0.047,0.08
2020-03-12,4.401,4.328,4.401,4.3,1242,536733.0,2.29,-1.7,-0.075,0.24
2020-03-13,4.242,4.331,4.334,4.111,4937,2090932.0,5.15,0.07,0.003,0.95
2020-03-16,4.318,4.172,4.318,4.1,2882,1205164.0,5.03,-3.67,-0.159,0.55
2020-03-17,4.11,4.1,4.2,3.986,2943,1186026.0,5.13,-1.73,-0.072,0.57
2020-03-18,3.985,4.03,4.151,3.985,1183,484602.0,4.05,-1.71,-0.07,0.23
2020-03-19,3.998,3.954,4.058,3.868,1958,774629.0,4.71,-1.89,-0.076,0.38
2020-03-20,3.954,3.991,3.997,3.916,1126,445077.0,2.05,0.94,0.037,0.22
2020-03-23,3.968,3.83,3.968,3.8,4138,1591552.0,4.21,-4.03,-0.161,0.79
2020-03-24,3.83,3.852,3.95,3.83,2643,1021960.0,3.13,0.57,0.022,0.51
2020-03-25,3.876,3.977,4.008,3.876,1007,399562.0,3.43,3.25,0.125,0.19
2020-03-26,3.938,3.95,3.977,3.938,2544,1004897.0,0.98,-0.68,-0.027,0.49
2020-03-27,3.991,3.97,3.995,3.95,1701,675286.0,1.14,0.51,0.02,0.33
2020-03-30,3.957,3.908,3.957,3.858,927,361108.0,2.49,-1.56,-0.062,0.18
2020-03-31,3.964,3.933,3.964,3.918,1002,394343.0,1.18,0.64,0.025,0.19
2020-04-01,3.933,3.94,3.973,3.908,879,346899.0,1.65,0.18,0.007,0.17
2020-04-02,3.925,3.987,3.987,3.91,629,247363.0,1.95,1.19,0.047,0.12
2020-04-03,3.987,3.949,3.987,3.925,647,256478.0,1.56,-0.95,-0.038,0.12
2020-04-07,4.026,4.022,4.026,3.972,1178,472103.0,1.37,1.85,0.073,0.23
2020-04-08,4.022,4.008,4.022,3.99,762,305160.0,0.8,-0.35,-0.014,0.15
2020-04-09,4.008,4.004,4.022,3.995,605,242359.0,0.67,-0.1,-0.004,0.12
2020-04-10,3.991,4.0,4.051,3.991,784,315032.0,1.5,-0.1,-0.004,0.15
2020-04-13,3.999,3.998,4.012,3.952,527,210463.0,1.5,-0.05,-0.002,0.1
2020-04-14,3.999,4.036,4.037,3.999,815,328302.0,0.95,0.95,0.038,0.16
2020-04-15,4.036,4.015,4.039,4.004,814,327551.0,0.87,-0.52,-0.021,0.16
2020-04-16,4.013,3.99,4.013,3.981,982,391765.0,0.8,-0.62,-0.025,0.19
2020-04-17,4.036,4.02,4.036,4.005,972,391294.0,0.78,0.75,0.03,0.19
2020-04-20,4.026,4.025,4.026,3.998,870,349268.0,0.7,0.12,0.005,0.17
2020-04-21,4.025,3.986,4.025,3.961,1176,468635.0,1.59,-0.97,-0.039,0.23
2020-04-22,3.986,4.006,4.006,3.956,892,355754.0,1.25,0.5,0.02,0.17
2020-04-23,4.006,3.998,4.013,3.997,803,321400.0,0.4,-0.2,-0.008,0.15
2020-04-24,4.01,3.975,4.01,3.966,562,223676.0,1.1,-0.58,-0.023,0.11
2020-04-27,3.975,3.988,4.011,3.975,721,287734.0,0.91,0.33,0.013,0.14
