# code=512980, name=传媒ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-01-16,0.921,0.912,0.926,0.909,589248,53966416.0,1.84,-1.08,-0.01,1.08
2020-01-17,0.913,0.912,0.924,0.907,524429,48018052.0,1.86,0.0,0.0,0.96
2020-01-20,0.912,0.916,0.918,0.899,641922,58292841.0,2.08,0.44,0.004,1.18
2020-01-21,0.909,0.897,0.909,0.891,1159591,104196377.0,1.97,-2.07,-0.019,2.13
2020-01-22,0.885,0.902,0.907,0.874,1062109,94324102.0,3.68,0.56,0.005,1.95
2020-01-23,0.89,0.878,0.917,0.865,978983,87617256.0,5.76,-2.66,-0.024,1.79
2020-02-03,0.79,0.79,0.83,0.79,836711,66942761.0,4.56,-10.02,-0.088,1.53
2020-02-04,0.794,0.832,0.84,0.787,934356,76804568.0,6.71,5.32,0.042,1.71
2020-02-05,0.84,0.849,0.869,0.833,933840,79291787.0,4.33,2.04,0.017,1.71
2020-02-06,0.849,0.909,0.91,0.843,880203,78252722.0,7.89,7.07,0.06,1.61
2020-02-07,0.905,0.931,0.936,0.9,1159448,106747681.0,3.96,2.42,0.022,2.13
2020-02-10,0.922,0.921,0.936,0.903,522472,48142188.0,3.54,-1.07,-0.01,0.96
2020-02-11,0.925,0.912,0.925,0.902,381029,34754997.0,2.5,-0.98,-0.009,0.7
2020-02-12,0.913,0.934,0.935,0.909,565671,52377775.0,2.85,2.41,0.022,1.04
2020-02-13,0.933,0.916,0.933,0.908,1114467,102527242.0,2.68,-1.93,-0.018,2.04
2020-02-14,0.909,0.918,0.926,0.904,1019815,93282469.0,2.4,0.22,0.002,1.87
2020-02-17,0.926,0.947,0.947,0.918,758228,70966602.0,3.16,3.16,0.029,1.39
2020-02-18,0.956,0.959,0.96,0.934,554064,52615783.0,2.75,1.27,0.012,1.02
2020-02-19,0.951,0.929,0.953,0.926,950488,89230733.0,2.82,-3.13,-0.03,1.74
2020-02-20,0.935,0.947,0.947,0.925,960140,90169456.0,2.37,1.94,0.018,1.76
2020-02-21,0.946,0.971,0.981,0.943,1095055,105874987.0,4.01,2.53,0.024,2.01
2020-02-24,0.967,0.982,0.984,0.956,772355,75065718.0,2.88,1.13,0.011,1.42
2020-02-25,0.955,0.975,0.978,0.92,1090185,104022872.0,5.91,-0.71,-0.007,2.0
2020-02-26,0.953,0.936,0.965,0.928,810703,76765757.0,3.79,-4.0,-0.039,1.49
2020-02-27,0.94,0.946,0.958,0.921,849175,80314115.0,3.95,1.07,0.01,1.56
2020-02-28,0.916,0.893,0.932,0.889,1049510,95984685.0,4.55,-5.6,-0.053,1.92
2020-03-02,0.9,0.917,0.924,0.887,552327,50015672.0,4.14,2.69,0.024,1.01
2020-03-03,0.931,0.919,0.949,0.909,628202,58673338.0,4.36,0.22,0.002,1.15
2020-03-04,0.913,0.918,0.924,0.899,352766,32141685.0,2.72,-0.11,-0.001,0.65
2020-03-05,0.935,0.929,0.939,0.918,493103,45839026.0,2.29,1.2,0.011,0.9
2020-03-06,0.919,0.917,0.929,0.91,367799,33838877.0,2.05,-1.29,-0.012,0.67
2020-03-09,0.899,0.871,0.905,0.869,715610,63272357.0,3.93,-5.02,-0.046,1.31
2020-03-10,0.866,0.901,0.902,0.859,654528,57666750.0,4.94,3.44,0.03,1.2
2020-03-11,0.899,0.884,0.906,0.88,674199,60405188.0,2.89,-1.89,-0.017,1.24
2020-03-12,0.874,0.865,0.874,0.855,525505,45465435.0,2.15,-2.15,-0.019,0.96
2020-03-13,0.821,0.86,0.869,0.817,674549,57206574.0,6.01,-0.58,-0.005,1.24
2020-03-16,0.862,0.822,0.865,0.819,472430,40192590.0,5.35,-4.42,-0.038,0.87
2020-03-17,0.823,0.826,0.845,0.799,535926,44020931.0,5.6,0.49,0.004,0.98
2020-03-18,0.834,0.813,0.852,0.81,338743,28219977.0,5.08,-1.57,-0.013,0.62
2020-03-19,0.814,0.824,0.825,0.798,564302,45993349.0,3.32,1.35,0.011,1.03
2020-03-20,0.83,0.839,0.843,0.823,431348,36059749.0,2.43,1.82,0.015,0.79
2020-03-23,0.811,0.808,0.83,0.801,282195,23054738.0,3.46,-3.69,-0.031,0.52
2020-03-24,0.822,0.814,0.831,0.791,261397,21172834.0,4.95,0.74,0.006,0.48
2020-03-25,0.832,0.836,0.84,0.823,306734,25567016.0,2.09,2.7,0.022,0.56
2020-03-26,0.83,0.835,0.844,0.824,373674,31221374.0,2.39,-0.12,-0.001,0.68
2020-03-27,0.841,0.818,0.843,0.818,298875,24768952.0,2.99,-2.04,-0.017,0.55
2020-03-30,0.804,0.789,0.818,0.775,333231,26248151.0,5.26,-3.55,-0.029,0.61
2020-03-31,0.795,0.79,0.799,0.788,222267,17618639.0,1.39,0.13,0.001,0.41
2020-04-01,0.787,0.785,0.801,0.782,244079,19317318.0,2.41,-0.63,-0.005,0.45
2020-04-02,0.782,0.805,0.805,0.781,172950,13684716.0,3.06,2.55,0.02,0.32
2020-04-03,0.803,0.797,0.804,0.79,255102,20326181.0,1.74,-0.99,-0.008,0.47
2020-04-07,0.808,0.821,0.824,0.807,207982,16964332.0,2.13,3.01,0.024,0.38
2020-04-08,0.82,0.823,0.826,0.81,347895,28548130.0,1.95,0.24,0.002,0.64
2020-04-09,0.828,0.832,0.837,0.823,369840,30762349.0,1.7,1.09,0.009,0.68
2020-04-10,0.833,0.808,0.836,0.804,203969,16635318.0,3.85,-2.88,-0.024,0.37
2020-04-13,0.802,0.788,0.802,0.784,244042,19300379.0,2.23,-2.48,-0.02,0.45
2020-04-14,0.789,0.819,0.82,0.789,558414,45157886.0,3.93,3.93,0.031,1.02
2020-04-15,0.817,0.813,0.824,0.812,251620,20626041.0,1.47,-0.73,-0.006,0.46
2020-04-16,0.811,0.825,0.83,0.809,486906,40194715.0,2.58,1.48,0.012,0.89
2020-04-17,0.833,0.827,0.838,0.823,567950,47279927.0,1.82,0.24,0.002,1.04
2020-04-20,0.825,0.832,0.833,0.822,98753,8178153.0,1.33,0.6,0.005,0.18
