# code=513630, name=港股红利指数ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-12-08,0.971,0.972,0.976,0.969,5864928,575257997.0,0.72,-0.21,-0.002,6.14
2023-12-11,0.97,0.971,0.975,0.956,924486,89852690.0,1.95,-0.1,-0.001,0.97
2023-12-12,0.971,0.984,0.984,0.968,1174796,115959668.0,1.65,1.34,0.013,1.23
2023-12-13,0.984,0.973,0.984,0.971,418128,41189447.0,1.32,-1.12,-0.011,0.44
2023-12-14,0.978,0.976,0.983,0.976,457744,45179602.0,0.72,0.31,0.003,0.48
2023-12-15,0.983,0.989,0.996,0.978,2253084,225007162.0,1.84,1.33,0.013,2.36
2023-12-18,0.988,0.988,0.992,0.983,883371,87902412.0,0.91,-0.1,-0.001,0.92
2023-12-19,0.987,0.984,0.989,0.984,606767,60318755.0,0.51,-0.4,-0.004,0.63
2023-12-20,0.987,0.989,0.991,0.985,1658695,165371745.0,0.61,0.51,0.005,1.74
2023-12-21,0.989,0.993,0.994,0.983,768927,76736202.0,1.11,0.4,0.004,0.8
2023-12-22,0.991,0.992,0.997,0.987,1039246,104051620.0,1.01,-0.1,-0.001,1.09
2023-12-25,0.989,0.992,0.994,0.988,129945,12994066.0,0.6,0.0,0.0,0.14
2023-12-26,0.996,0.989,0.996,0.988,99497,9940964.0,0.81,-0.3,-0.003,0.1
2023-12-27,0.99,0.999,1.006,0.99,1560811,157227749.0,1.62,1.01,0.01,1.63
2023-12-28,1.0,1.011,1.013,1.0,1394475,141736956.0,1.3,1.2,0.012,1.46
2023-12-29,1.011,1.01,1.013,1.006,562738,57324689.0,0.69,-0.1,-0.001,0.59
2024-01-02,1.01,1.01,1.016,1.007,510214,52056134.0,0.89,0.0,0.0,0.53
2024-01-03,1.007,1.013,1.015,1.007,462163,47194861.0,0.79,0.3,0.003,0.48
2024-01-04,1.013,1.015,1.017,1.013,581017,59424818.0,0.39,0.2,0.002,0.61
2024-01-05,1.015,1.021,1.033,1.013,1447342,149814122.0,1.97,0.59,0.006,1.51
2024-01-08,1.021,1.002,1.028,1.0,1047372,106226852.0,2.74,-1.86,-0.019,1.1
2024-01-09,1.002,1.007,1.01,1.001,774471,78612671.0,0.9,0.5,0.005,0.81
2024-01-10,1.007,0.998,1.008,0.997,558329,56358018.0,1.09,-0.89,-0.009,0.58
2024-01-11,0.999,1.004,1.007,0.995,336741,34059720.0,1.2,0.6,0.006,0.35
2024-01-12,1.002,1.004,1.01,1.0,333412,33786452.0,1.0,0.0,0.0,0.35
2024-01-15,1.006,1.011,1.017,1.003,719377,73285994.0,1.39,0.7,0.007,0.75
2024-01-16,1.01,1.004,1.019,1.003,678312,69000348.0,1.58,-0.69,-0.007,0.71
2024-01-17,1.002,0.976,1.003,0.974,942972,93396622.0,2.89,-2.79,-0.028,0.99
2024-01-18,0.975,0.98,0.982,0.969,492218,48296012.0,1.33,0.41,0.004,0.52
2024-01-19,0.981,0.967,0.982,0.967,480512,47186819.0,1.53,-1.33,-0.013,0.5
2024-01-22,0.967,0.941,0.97,0.937,1158026,110633187.0,3.41,-2.69,-0.026,1.21
2024-01-23,0.944,0.962,0.969,0.941,511311,49394084.0,2.98,2.23,0.021,0.53
2024-01-24,0.966,0.98,0.982,0.965,497125,48793531.0,1.77,1.87,0.018,0.52
2024-01-25,0.987,1.02,1.022,0.983,1789283,181919311.0,3.98,4.08,0.04,1.87
2024-01-26,1.02,1.025,1.033,1.016,1084920,112066798.0,1.67,0.49,0.005,1.14
2024-01-29,1.025,1.025,1.04,1.025,1518091,157888250.0,1.46,0.0,0.0,1.59
2024-01-30,1.025,1.006,1.025,1.005,848878,86626678.0,1.95,-1.85,-0.019,0.89
2024-01-31,1.003,1.001,1.014,0.999,757295,76699654.0,1.49,-0.5,-0.005,0.79
2024-02-01,1.001,0.999,1.01,0.997,670769,67803393.0,1.3,-0.2,-0.002,0.7
2024-02-02,1.001,1.005,1.021,0.998,1033209,105136724.0,2.3,0.6,0.006,1.08
2024-02-05,1.003,1.004,1.01,0.994,753803,76221307.0,1.59,-0.1,-0.001,0.79
2024-02-06,1.003,1.021,1.026,1.003,554233,56892577.0,2.29,1.69,0.017,0.58
2024-02-07,1.027,1.032,1.037,1.021,816404,84595610.0,1.57,1.08,0.011,0.85
2024-02-08,1.102,1.017,1.102,1.008,937285,96978655.0,9.11,-1.45,-0.015,0.98
2024-02-19,1.023,1.041,1.048,1.02,867487,90471505.0,2.75,2.36,0.024,0.91
2024-02-20,1.038,1.044,1.048,1.036,529965,55737715.0,1.15,0.29,0.003,0.55
2024-02-21,1.043,1.053,1.07,1.042,1175268,125583549.0,2.68,0.86,0.009,1.23
2024-02-22,1.051,1.072,1.084,1.045,1377091,147739615.0,3.7,1.8,0.019,1.44
2024-02-23,1.075,1.076,1.087,1.073,1010599,109811059.0,1.31,0.37,0.004,1.06
2024-02-26,1.071,1.058,1.074,1.058,775585,83277330.0,1.49,-1.67,-0.018,0.81
2024-02-27,1.057,1.061,1.066,1.053,942814,100639397.0,1.23,0.28,0.003,0.99
2024-02-28,1.062,1.063,1.074,1.06,1092038,117532410.0,1.32,0.19,0.002,1.14
2024-02-29,1.058,1.055,1.063,1.052,620674,66083385.0,1.03,-0.75,-0.008,0.65
2024-03-01,1.055,1.044,1.056,1.04,614205,64799041.0,1.52,-1.04,-0.011,0.64
2024-03-04,1.045,1.043,1.048,1.038,806078,84640906.0,0.96,-0.1,-0.001,0.84
2024-03-05,1.038,1.037,1.043,1.029,791190,82552866.0,1.34,-0.58,-0.006,0.83
2024-03-06,1.038,1.041,1.044,1.03,1187770,123982195.0,1.35,0.39,0.004,1.24
2024-03-07,1.042,1.046,1.059,1.041,762478,80800780.0,1.73,0.48,0.005,0.8
2024-03-08,1.046,1.059,1.061,1.046,488310,51992680.0,1.43,1.24,0.013,0.51
2024-03-11,1.059,1.048,1.066,1.046,908614,96407311.0,1.89,-1.04,-0.011,0.95
2024-03-12,1.05,1.06,1.061,1.043,1238623,131085496.0,1.72,1.15,0.012,1.3
2024-03-13,1.06,1.057,1.061,1.05,990942,105404576.0,1.04,-0.28,-0.003,1.04
2024-03-14,1.057,1.057,1.065,1.054,691283,73859101.0,1.04,0.0,0.0,0.72
2024-03-15,1.055,1.048,1.057,1.043,442102,46738280.0,1.32,-0.85,-0.009,0.46
2024-03-18,1.049,1.052,1.056,1.047,742517,78695413.0,0.86,0.38,0.004,0.78
2024-03-19,1.049,1.045,1.056,1.042,815427,86294262.0,1.33,-0.67,-0.007,0.85
2024-03-20,1.044,1.046,1.049,1.043,311768,32859815.0,0.57,0.1,0.001,0.33
2024-03-21,1.049,1.064,1.066,1.049,677134,72357405.0,1.63,1.72,0.018,0.71
2024-03-22,1.06,1.051,1.062,1.05,1039655,110407053.0,1.13,-1.22,-0.013,1.09
2024-03-25,1.048,1.052,1.058,1.048,501943,53251342.0,0.95,0.1,0.001,0.53
2024-03-26,1.053,1.045,1.054,1.036,752522,78941268.0,1.71,-0.67,-0.007,0.79
2024-03-27,1.044,1.032,1.044,1.029,749002,78163341.0,1.44,-1.24,-0.013,0.78
2024-03-28,1.03,1.028,1.033,1.016,1130291,116752048.0,1.65,-0.39,-0.004,1.18
2024-03-29,1.028,1.033,1.034,1.026,223916,23268543.0,0.78,0.49,0.005,0.23
2024-04-01,1.033,1.039,1.04,1.03,159613,16661031.0,0.97,0.58,0.006,0.17
2024-04-02,1.039,1.044,1.052,1.038,454861,47973275.0,1.35,0.48,0.005,0.48
2024-04-03,1.043,1.039,1.045,1.037,303107,31769984.0,0.77,-0.48,-0.005,0.32
2024-04-08,1.033,1.037,1.046,1.023,415565,43451132.0,2.21,-0.19,-0.002,0.43
2024-04-09,1.037,1.041,1.047,1.037,374667,39293788.0,0.96,0.39,0.004,0.39
2024-04-10,1.042,1.046,1.048,1.04,860691,90589149.0,0.77,0.48,0.005,0.9
2024-04-11,1.037,1.047,1.049,1.036,743742,78221701.0,1.24,0.1,0.001,0.78
2024-04-12,1.046,1.029,1.046,1.028,602292,62751000.0,1.72,-1.72,-0.018,0.63
2024-04-15,1.025,1.035,1.042,1.023,772747,80549855.0,1.85,0.58,0.006,0.81
2024-04-16,1.033,1.032,1.04,1.029,567800,59195947.0,1.06,-0.29,-0.003,0.59
2024-04-17,1.033,1.034,1.036,1.027,480943,50050508.0,0.87,0.19,0.002,0.5
2024-04-18,1.033,1.039,1.047,1.03,860907,90195405.0,1.64,0.48,0.005,0.9
2024-04-19,1.037,1.038,1.039,1.029,867721,90441360.0,0.96,-0.1,-0.001,0.91
2024-04-22,1.043,1.04,1.054,1.04,673416,71067606.0,1.35,0.19,0.002,0.7
2024-04-23,1.042,1.04,1.049,1.036,672632,70691059.0,1.25,0.0,0.0,0.7
2024-04-24,1.045,1.059,1.062,1.044,977764,103990819.0,1.73,1.83,0.019,1.02
2024-04-25,1.06,1.067,1.072,1.057,1077388,115648478.0,1.42,0.76,0.008,1.13
2024-04-26,1.071,1.076,1.078,1.068,1131280,122449392.0,0.94,0.84,0.009,1.18
2024-04-29,1.075,1.097,1.1,1.067,5863149,644318487.0,3.07,1.95,0.021,6.13
2024-04-30,1.096,1.087,1.101,1.085,502700,55454180.0,1.46,-0.91,-0.01,0.53
2024-05-06,1.1,1.097,1.101,1.092,373431,41218483.0,0.83,0.92,0.01,0.39
2024-05-07,1.094,1.095,1.104,1.093,1066445,117768326.0,1.0,-0.18,-0.002,1.12
2024-05-08,1.095,1.093,1.106,1.092,533157,59019896.0,1.28,-0.18,-0.002,0.56
2024-05-09,1.093,1.103,1.108,1.093,535422,59478188.0,1.37,0.91,0.01,0.56
2024-05-10,1.114,1.162,1.163,1.113,2386935,276725748.0,4.53,5.35,0.059,2.5
2024-05-13,1.162,1.171,1.176,1.158,1392694,163728367.0,1.55,0.77,0.009,1.46
2024-05-14,1.17,1.162,1.179,1.159,945680,110931089.0,1.71,-0.77,-0.009,0.99
2024-05-15,1.158,1.153,1.162,1.149,582679,67709968.0,1.12,-0.77,-0.009,0.61
2024-05-16,1.155,1.18,1.188,1.155,1775485,210207183.0,2.86,2.34,0.027,1.86
2024-05-17,1.184,1.193,1.2,1.18,1458841,174275428.0,1.69,1.1,0.013,1.53
2024-05-20,1.197,1.2,1.206,1.196,625813,75755491.0,0.84,0.59,0.007,0.65
2024-05-21,1.196,1.183,1.2,1.181,1123193,134312281.0,1.58,-1.42,-0.017,1.18
2024-05-22,1.183,1.187,1.194,1.183,575916,68958928.0,0.93,0.34,0.004,0.6
2024-05-23,1.184,1.174,1.185,1.164,648305,76431026.0,1.77,-1.1,-0.013,0.68
2024-05-24,1.168,1.159,1.177,1.159,562563,66084545.0,1.53,-1.28,-0.015,0.59
2024-05-27,1.165,1.184,1.187,1.164,948301,112392306.0,1.98,2.16,0.025,0.99
2024-05-28,1.186,1.181,1.207,1.18,1892048,227485619.0,2.28,-0.25,-0.003,1.98
2024-05-29,1.181,1.167,1.183,1.162,726811,85644055.0,1.78,-1.19,-0.014,0.76
2024-05-30,1.162,1.147,1.17,1.144,641246,74405913.0,2.23,-1.71,-0.02,0.67
2024-05-31,1.155,1.154,1.165,1.15,684212,79882668.0,1.31,0.61,0.007,0.72
2024-06-03,1.154,1.161,1.169,1.153,529650,62083084.0,1.39,0.61,0.007,0.55
2024-06-04,1.16,1.164,1.165,1.149,395694,46185980.0,1.38,0.26,0.003,0.41
2024-06-05,1.169,1.15,1.172,1.149,480796,56170922.0,1.98,-1.2,-0.014,0.5
2024-06-06,1.156,1.153,1.168,1.152,425391,49561032.0,1.39,0.26,0.003,0.45
2024-06-07,1.157,1.158,1.165,1.153,428039,49928534.0,1.04,0.43,0.005,0.45
2024-06-11,1.153,1.137,1.156,1.126,694049,79298534.0,2.59,-1.81,-0.021,0.73
2024-06-12,1.138,1.132,1.138,1.119,342241,38852700.0,1.67,-0.44,-0.005,0.36
2024-06-13,1.135,1.134,1.141,1.131,374216,42787932.0,0.88,0.18,0.002,0.39
2024-06-14,1.133,1.14,1.148,1.132,226611,26054192.0,1.41,0.53,0.006,0.24
2024-06-17,1.141,1.128,1.141,1.125,340944,38853051.0,1.4,-1.05,-0.012,0.36
2024-06-18,1.132,1.139,1.14,1.125,508916,58085056.0,1.33,0.98,0.011,0.53
2024-06-19,1.141,1.165,1.169,1.14,1553719,181773647.0,2.55,2.28,0.026,1.63
2024-06-20,1.167,1.166,1.181,1.166,1003347,118578342.0,1.29,0.09,0.001,1.05
