# code=520550, name=港股红利低波ETF
日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-24,0.948,0.954,0.955,0.94,1232716,122277322.0,1.6,1.71,0.016,12.51
2025-01-27,0.958,0.96,0.965,0.955,668817,67072942.0,1.05,0.63,0.006,6.79
2025-02-05,0.962,0.953,0.965,0.952,191958,19150901.0,1.35,-0.73,-0.007,1.95
2025-02-06,0.953,0.961,0.963,0.953,189311,18956494.0,1.05,0.84,0.008,1.92
2025-02-07,0.961,0.961,0.964,0.957,216997,21779884.0,0.73,0.0,0.0,2.2
2025-02-10,0.961,0.966,0.968,0.961,253304,25521686.0,0.73,0.52,0.005,2.57
2025-02-11,0.966,0.964,0.968,0.963,123262,12420774.0,0.52,-0.21,-0.002,1.25
2025-02-12,0.964,0.976,0.976,0.964,338469,34286107.0,1.24,1.24,0.012,3.43
2025-02-13,0.972,0.977,0.982,0.971,311839,31776883.0,1.13,0.1,0.001,3.16
2025-02-14,0.977,0.969,0.977,0.965,355244,35922784.0,1.23,-0.82,-0.008,3.6
2025-02-17,0.976,0.98,0.983,0.966,546487,55444355.0,1.75,1.14,0.011,5.55
2025-02-18,0.98,0.983,0.99,0.975,356180,36546126.0,1.53,0.31,0.003,3.61
2025-02-19,0.983,0.985,0.99,0.98,265811,27344118.0,1.02,0.2,0.002,2.7
2025-02-20,0.985,0.984,0.988,0.98,185360,19008518.0,0.81,-0.1,-0.001,1.88
2025-02-21,0.985,0.981,0.986,0.979,235916,24152323.0,0.71,-0.3,-0.003,2.39
2025-02-24,0.984,0.995,0.995,0.978,282906,29168732.0,1.73,1.43,0.014,2.87
2025-02-25,0.99,0.982,0.991,0.981,171867,17649150.0,1.01,-1.31,-0.013,1.74
2025-02-26,0.983,0.999,1.0,0.983,219517,22686268.0,1.73,1.73,0.017,2.23
2025-02-27,1.001,1.004,1.004,0.995,219967,22901325.0,0.9,0.5,0.005,2.23
2025-02-28,1.005,0.984,1.007,0.983,296517,30610003.0,2.39,-1.99,-0.02,3.01
2025-03-03,0.985,0.991,0.997,0.985,253263,26203193.0,1.22,0.71,0.007,2.57
2025-03-04,0.991,0.994,0.994,0.983,133375,13739221.0,1.11,0.3,0.003,1.35
2025-03-05,0.995,1.006,1.011,0.993,312496,32675453.0,1.81,1.21,0.012,3.17
2025-03-06,1.013,1.017,1.02,1.007,365723,38661485.0,1.29,1.09,0.011,3.71
2025-03-07,1.017,1.017,1.023,1.011,289875,30753521.0,1.18,0.0,0.0,2.94
2025-03-10,1.016,1.015,1.022,1.011,183165,19373424.0,1.08,-0.2,-0.002,1.86
2025-03-11,1.01,1.015,1.016,1.002,125737,13224690.0,1.38,0.0,0.0,1.28
2025-03-12,1.017,1.019,1.021,1.014,113129,11987197.0,0.69,0.39,0.004,1.15
2025-03-13,1.018,1.015,1.022,1.009,261780,27704293.0,1.28,-0.39,-0.004,2.66
2025-03-14,1.016,1.024,1.029,1.016,245001,26116453.0,1.28,0.89,0.009,2.49
2025-03-17,1.029,1.034,1.035,1.025,326879,35056468.0,0.98,0.98,0.01,3.32
2025-03-18,1.037,1.045,1.051,1.035,179972,19481568.0,1.55,1.06,0.011,1.83
2025-03-19,1.046,1.048,1.049,1.043,134332,14610957.0,0.57,0.29,0.003,1.36
2025-03-20,1.051,1.041,1.051,1.04,279810,30406389.0,1.05,-0.67,-0.007,2.84
2025-03-21,1.039,1.028,1.043,1.022,221331,23777184.0,2.02,-1.25,-0.013,2.25
2025-03-24,1.028,1.025,1.033,1.02,197022,21036557.0,1.26,-0.29,-0.003,2.0
2025-03-25,1.027,1.021,1.029,1.02,99213,10576769.0,0.88,-0.39,-0.004,1.01
2025-03-26,1.027,1.022,1.028,1.019,113663,12107725.0,0.88,0.1,0.001,1.15
2025-03-27,1.022,1.028,1.03,1.022,153273,16382954.0,0.78,0.59,0.006,1.56
2025-03-28,1.03,1.02,1.032,1.014,160223,17021780.0,1.75,-0.78,-0.008,1.63
2025-03-31,1.014,1.011,1.019,1.009,145043,15308650.0,0.98,-0.88,-0.009,1.47
2025-04-01,1.011,1.021,1.021,1.011,170015,18004649.0,0.99,0.99,0.01,1.73
2025-04-02,1.023,1.026,1.026,1.017,94361,10041930.0,0.88,0.49,0.005,0.96
2025-04-03,1.019,1.018,1.024,1.011,132942,14095139.0,1.27,-0.78,-0.008,1.35
2025-04-07,0.987,0.936,0.989,0.928,478060,47394765.0,5.99,-8.06,-0.082,4.85
2025-04-08,0.945,0.937,0.987,0.932,631682,62454990.0,5.88,0.11,0.001,6.41
2025-04-09,0.915,0.937,0.943,0.909,523213,50808376.0,3.63,0.0,0.0,5.31
2025-04-10,0.957,0.957,0.967,0.953,380829,38219814.0,1.49,2.13,0.02,3.86
2025-04-11,0.959,0.958,0.963,0.947,220887,21991761.0,1.67,0.1,0.001,2.24
2025-04-14,0.966,0.976,0.978,0.961,143148,14515500.0,1.77,1.88,0.018,1.45
2025-04-15,0.979,0.983,0.984,0.976,135239,13839953.0,0.82,0.72,0.007,1.37
2025-04-16,0.981,0.978,0.984,0.973,142660,14546476.0,1.12,-0.51,-0.005,1.45
2025-04-17,0.978,0.978,0.982,0.975,78823,8048199.0,0.72,0.0,0.0,0.8
2025-04-18,0.976,0.978,0.979,0.976,51826,5281369.0,0.31,0.0,0.0,0.53
2025-04-21,0.978,0.979,0.98,0.976,46077,4701785.0,0.41,0.1,0.001,0.47
2025-04-22,0.979,0.987,0.988,0.978,122378,12548297.0,1.02,0.82,0.008,1.24
2025-04-23,0.991,0.995,1.0,0.991,74916,7773642.0,0.91,0.81,0.008,0.76
2025-04-24,0.996,0.99,0.997,0.988,115684,11958096.0,0.9,-0.5,-0.005,1.17
2025-04-25,0.991,0.995,1.0,0.991,133568,13870002.0,0.91,0.51,0.005,1.36
2025-04-28,0.994,1.002,1.004,0.992,184699,19226159.0,1.21,0.7,0.007,1.87
2025-04-29,1.002,0.997,1.005,0.996,135334,14094228.0,0.9,-0.5,-0.005,1.37
2025-04-30,1.0,0.997,1.0,0.989,125835,13029017.0,1.1,0.0,0.0,1.28
2025-05-06,1.0,1.002,1.003,0.998,119383,12454989.0,0.5,0.5,0.005,1.21
2025-05-07,1.006,1.015,1.017,1.006,164314,17338701.0,1.1,1.3,0.013,1.67
2025-05-08,1.014,1.016,1.017,1.009,325627,34399105.0,0.79,0.1,0.001,3.3
2025-05-09,1.016,1.021,1.022,1.016,217993,23148714.0,0.59,0.49,0.005,2.21
2025-05-12,1.024,1.034,1.035,1.024,304401,32673407.0,1.08,1.27,0.013,3.09
2025-05-13,1.04,1.038,1.04,1.031,240915,25975140.0,0.87,0.39,0.004,2.44
2025-05-14,1.042,1.053,1.054,1.038,340613,37129213.0,1.54,1.45,0.015,3.46
2025-05-15,1.054,1.047,1.055,1.046,211540,23046742.0,0.85,-0.57,-0.006,2.15
2025-05-16,1.043,1.04,1.045,1.036,183188,19756141.0,0.86,-0.67,-0.007,1.86
2025-05-19,1.041,1.048,1.049,1.037,171591,18630948.0,1.15,0.77,0.008,1.74
2025-05-20,1.049,1.053,1.056,1.049,286031,31266985.0,0.67,0.48,0.005,2.9
2025-05-21,1.053,1.058,1.059,1.051,253097,27731404.0,0.76,0.47,0.005,2.57
2025-05-22,1.058,1.057,1.058,1.055,195060,21394958.0,0.28,-0.09,-0.001,1.98
2025-05-23,1.056,1.051,1.059,1.049,268206,29345225.0,0.95,-0.57,-0.006,2.72
2025-05-26,1.048,1.05,1.057,1.047,190963,20845330.0,0.95,-0.1,-0.001,1.94
2025-05-27,1.05,1.053,1.057,1.05,181566,19856898.0,0.67,0.29,0.003,1.84
2025-05-28,1.057,1.06,1.061,1.055,523130,57457178.0,0.57,0.66,0.007,5.31
2025-05-29,1.06,1.058,1.065,1.057,398796,43931522.0,0.75,-0.19,-0.002,4.05
2025-05-30,1.059,1.056,1.059,1.054,273351,29956096.0,0.47,-0.19,-0.002,2.77
2025-06-03,1.053,1.064,1.066,1.052,306911,33792530.0,1.33,0.76,0.008,3.11
2025-06-04,1.065,1.067,1.068,1.063,248292,27449718.0,0.47,0.28,0.003,2.52
2025-06-05,1.067,1.069,1.075,1.066,349405,38825715.0,0.84,0.19,0.002,3.55
2025-06-06,1.071,1.074,1.077,1.07,178555,19865848.0,0.65,0.47,0.005,1.81
2025-06-09,1.076,1.078,1.08,1.071,326998,36455860.0,0.84,0.37,0.004,3.32
2025-06-10,1.08,1.09,1.092,1.08,520511,58694552.0,1.11,1.11,0.012,5.28
2025-06-11,1.09,1.103,1.103,1.088,352926,40127081.0,1.38,1.19,0.013,3.58
2025-06-12,1.101,1.104,1.109,1.1,462474,52902705.0,0.82,0.09,0.001,4.69
2025-06-13,1.103,1.112,1.113,1.1,522010,59934818.0,1.18,0.72,0.008,5.3
2025-06-16,1.114,1.118,1.119,1.108,433560,49950263.0,0.99,0.54,0.006,4.4
2025-06-17,1.121,1.113,1.121,1.111,428458,49315294.0,0.89,-0.45,-0.005,4.35
2025-06-18,1.115,1.109,1.118,1.107,319589,36667058.0,0.99,-0.36,-0.004,3.24
2025-06-19,1.111,1.091,1.112,1.089,464852,52667659.0,2.07,-1.62,-0.018,4.72
2025-06-20,1.091,1.108,1.114,1.088,538502,61448185.0,2.38,1.56,0.017,5.46
2025-06-23,1.106,1.115,1.116,1.101,435205,49827377.0,1.35,0.63,0.007,4.42
2025-06-24,1.119,1.13,1.131,1.115,349450,40572356.0,1.43,1.35,0.015,3.55
2025-06-25,1.134,1.138,1.142,1.13,446118,52174578.0,1.06,0.71,0.008,4.53
2025-06-26,1.138,1.132,1.139,1.128,392831,45862565.0,0.97,-0.53,-0.006,3.99
2025-06-27,1.133,1.123,1.139,1.118,601309,70010771.0,1.86,-0.8,-0.009,6.1
2025-06-30,1.127,1.121,1.127,1.114,353816,40852951.0,1.16,-0.18,-0.002,3.59
2025-07-01,1.123,1.124,1.128,1.121,283086,32837618.0,0.62,0.27,0.003,2.87
2025-07-02,1.128,1.142,1.144,1.127,700882,82243727.0,1.51,1.6,0.018,7.11
2025-07-03,1.144,1.143,1.148,1.133,622373,73180553.0,1.31,0.09,0.001,6.32
2025-07-04,1.143,1.142,1.149,1.135,911745,107398849.0,1.22,-0.09,-0.001,9.25
2025-07-07,1.142,1.144,1.157,1.141,1107941,131027194.0,1.4,0.18,0.002,11.24
2025-07-08,1.148,1.15,1.155,1.146,602765,71486228.0,0.79,0.52,0.006,6.12
2025-07-09,1.15,1.144,1.15,1.138,829894,97876772.0,1.04,-0.52,-0.006,8.42
2025-07-10,1.146,1.155,1.155,1.144,592546,70306269.0,0.96,0.96,0.011,6.01
2025-07-11,1.157,1.159,1.17,1.157,844302,101341439.0,1.13,0.35,0.004,8.57
2025-07-14,1.16,1.166,1.17,1.159,720263,86576588.0,0.95,0.6,0.007,7.31
2025-07-15,1.169,1.16,1.171,1.155,991187,118264898.0,1.37,-0.51,-0.006,10.06
2025-07-16,1.161,1.164,1.165,1.157,640320,76438780.0,0.69,0.34,0.004,6.5
2025-07-17,1.164,1.16,1.165,1.158,539565,64353140.0,0.6,-0.34,-0.004,5.47
2025-07-18,1.164,1.165,1.165,1.161,475368,56825982.0,0.34,0.43,0.005,4.82
2025-07-21,1.165,1.181,1.182,1.165,687271,83028207.0,1.46,1.37,0.016,6.97
2025-07-22,1.187,1.192,1.197,1.18,1020261,124476704.0,1.44,0.93,0.011,10.35
2025-07-23,1.195,1.196,1.202,1.194,791733,97287047.0,0.67,0.34,0.004,8.03
2025-07-24,1.196,1.205,1.206,1.193,665133,81984198.0,1.09,0.75,0.009,6.75
2025-07-25,1.205,1.205,1.215,1.203,826230,102460706.0,1.0,0.0,0.0,8.38
2025-07-28,1.208,1.206,1.215,1.201,601687,74590948.0,1.16,0.08,0.001,6.11
2025-07-29,1.206,1.203,1.208,1.198,591354,72953224.0,0.83,-0.25,-0.003,6.0
2025-07-30,1.203,1.203,1.212,1.198,786045,97324614.0,1.16,0.0,0.0,7.98
2025-07-31,1.202,1.178,1.202,1.177,1722308,209682647.0,2.08,-2.08,-0.025,17.48
2025-08-01,1.183,1.172,1.186,1.17,913164,110411193.0,1.36,-0.51,-0.006,9.27
2025-08-04,1.168,1.175,1.175,1.158,725541,87023162.0,1.45,0.26,0.003,7.36
2025-08-05,1.181,1.188,1.189,1.176,812138,98634219.0,1.11,1.11,0.013,8.24
2025-08-06,1.189,1.187,1.196,1.185,834972,101951100.0,0.93,-0.08,-0.001,8.47
2025-08-07,1.19,1.203,1.203,1.187,1059298,129984395.0,1.35,1.35,0.016,10.75
2025-08-08,1.201,1.196,1.203,1.194,834595,102706054.0,0.75,-0.58,-0.007,8.47
2025-08-11,1.199,1.196,1.202,1.194,539666,66280912.0,0.67,0.0,0.0,5.48
2025-08-12,1.196,1.202,1.204,1.196,755362,93105365.0,0.67,0.5,0.006,7.66
2025-08-13,1.206,1.206,1.21,1.202,670713,82949972.0,0.67,0.33,0.004,6.81
2025-08-14,1.208,1.203,1.213,1.202,757695,93945142.0,0.91,-0.25,-0.003,7.69
2025-08-15,1.202,1.197,1.205,1.196,702067,86047908.0,0.75,-0.5,-0.006,7.12
2025-08-18,1.197,1.189,1.198,1.188,788039,96127417.0,0.84,-0.67,-0.008,8.0
2025-08-19,1.19,1.186,1.192,1.185,589800,71767473.0,0.59,-0.25,-0.003,5.98
2025-08-20,1.184,1.186,1.188,1.178,550443,66691229.0,0.84,0.0,0.0,5.59
2025-08-21,1.187,1.188,1.193,1.184,710587,86440604.0,0.76,0.17,0.002,7.21
2025-08-22,1.189,1.179,1.192,1.176,825672,99695000.0,1.35,-0.76,-0.009,8.38
2025-08-25,1.18,1.189,1.19,1.18,825102,100232207.0,0.85,0.85,0.01,8.37
2025-08-26,1.187,1.18,1.187,1.179,532546,64490184.0,0.67,-0.76,-0.009,5.4
2025-08-27,1.18,1.163,1.181,1.161,1008496,121054008.0,1.69,-1.44,-0.017,10.23
2025-08-28,1.164,1.166,1.168,1.159,752870,89767968.0,0.77,0.26,0.003,7.64
2025-08-29,1.167,1.163,1.177,1.161,770711,92278263.0,1.37,-0.26,-0.003,7.82
2025-09-01,1.163,1.161,1.167,1.159,586068,69726059.0,0.69,-0.17,-0.002,5.95
2025-09-02,1.16,1.161,1.165,1.157,718316,85391159.0,0.69,0.0,0.0,7.29
2025-09-03,1.163,1.154,1.166,1.153,479303,56742917.0,1.12,-0.6,-0.007,4.86
2025-09-04,1.155,1.148,1.158,1.141,793645,93286520.0,1.47,-0.52,-0.006,8.05
2025-09-05,1.149,1.161,1.163,1.147,573243,67882993.0,1.39,1.13,0.013,5.82
2025-09-08,1.162,1.17,1.172,1.161,458565,54806877.0,0.95,0.78,0.009,4.65
2025-09-09,1.172,1.168,1.174,1.164,440690,52758910.0,0.85,-0.17,-0.002,4.47
2025-09-10,1.17,1.179,1.181,1.169,472449,56805382.0,1.03,0.94,0.011,4.79
2025-09-11,1.179,1.185,1.185,1.171,539966,65196600.0,1.19,0.51,0.006,5.48
2025-09-12,1.188,1.177,1.19,1.176,375962,45486253.0,1.18,-0.68,-0.008,3.81
2025-09-15,1.179,1.179,1.182,1.177,265911,31985011.0,0.42,0.17,0.002,2.7
2025-09-16,1.181,1.181,1.187,1.176,466278,56167023.0,0.93,0.17,0.002,4.73
2025-09-17,1.182,1.183,1.186,1.179,257429,31047941.0,0.59,0.17,0.002,2.61
2025-09-18,1.183,1.167,1.185,1.165,361138,43327264.0,1.69,-1.35,-0.016,3.66
2025-09-19,1.168,1.172,1.174,1.166,349536,41749634.0,0.69,0.43,0.005,3.55
2025-09-22,1.173,1.159,1.174,1.155,324230,38435643.0,1.62,-1.11,-0.013,3.29
2025-09-23,1.159,1.153,1.16,1.151,374847,44169352.0,0.78,-0.52,-0.006,3.8
2025-09-24,1.153,1.155,1.158,1.151,235812,27776083.0,0.61,0.17,0.002,2.39
2025-09-25,1.157,1.141,1.157,1.141,381248,44555488.0,1.39,-1.21,-0.014,3.87
2025-09-26,1.137,1.146,1.147,1.135,532207,62054698.0,1.05,0.44,0.005,5.4
2025-09-29,1.146,1.148,1.15,1.14,526490,61562656.0,0.87,0.17,0.002,5.34
2025-09-30,1.148,1.143,1.152,1.138,297671,34731923.0,1.22,-0.44,-0.005,3.02
2025-10-09,1.142,1.165,1.165,1.141,476901,56361705.0,2.1,1.92,0.022,4.84
2025-10-10,1.163,1.162,1.168,1.154,511407,60727846.0,1.2,-0.26,-0.003,5.19
2025-10-13,1.149,1.158,1.16,1.14,386011,45287195.0,1.72,-0.34,-0.004,3.92
2025-10-14,1.161,1.163,1.175,1.156,896205,106844076.0,1.64,0.43,0.005,9.09
2025-10-15,1.165,1.178,1.179,1.165,551279,65882943.0,1.2,1.29,0.015,5.59
2025-10-16,1.178,1.195,1.198,1.177,930984,113223717.0,1.78,1.44,0.017,9.45
2025-10-17,1.196,1.181,1.199,1.179,621891,75418869.0,1.67,-1.17,-0.014,6.31
2025-10-20,1.188,1.195,1.195,1.184,428086,52014952.0,0.93,1.19,0.014,4.34
2025-10-21,1.195,1.201,1.201,1.194,618265,75559767.0,0.59,0.5,0.006,6.27
2025-10-22,1.2,1.197,1.2,1.188,392994,47852730.0,1.0,-0.33,-0.004,3.99
