code,name
510760,上证综指ETF
159903,深成ETF
510050,上证50ETF
159901,深证100ETF
510180,上证180ETF
510300,沪深300ETF
510500,中证500ETF
515800,800FTE
512100,中证1000ETF
159531,中证2000ETF
159628,国证2000ETF
563000,中国A50ETF
562000,中证A100ETF基金
560610,A500指数ETF
159915,创业板ETF
159682,创业50ETF
159572,创业板200ETF易方达
588000,科创50ETF
588030,科创100指数ETF
159781,科创创业ETF
517300,沪港深300ETF
159920,恒生ETF
510900,H股ETF
510880,红利ETF
515080,中证红利ETF
563020,红利低波动ETF
159307,红利低波100ETF
159905,深红利FTE
562060,标普红利ETF
515450,红利低波50ETF
159399,现全流FTE
159201,自由现金流FTE
512750,基本面50ETF
562320,沪深300价值ETF
562310,沪深300成长ETF
560500,500质量成长ETF
512260,中证500低波动ETF
159916,深F60ETF
159910,基本面120ETE
159966,创业板价值ETF
159967,创业板成长ETF
159928,消费ETF
159520,消费龙头ETF
515650,消费50ETF
515170,食品饮料ETF
512690,酒ETF
159996,家电ETF
159938,医药卫生ETF
512010,医药ETF
512290,生物医药ETF
159847,医疗ETF易方达
159837,生物科技ETF
560080,中药ETF
159883,医疗器械ETF
516080,创新药ETF易方达
516050,科技龙头ETF
159807,科技ETF
515750,科技50ETF
515580,科技100ETF
515860,科技ETF基金
159939,信息技术ETF
159852,软件ETF
159995,芯片ETF
512480,半导体ETF
515050,5G通信ETF
515400,大数据ETF
515980,人工智能ETF
562500,机器人ETF
513630,港股红利指数ETF
159691,港股红利ETF
520550,港股红利低波ETF
513970,恒生消费ETF
513060,恒生医疗ETF
520500,恒生创新药ETF
513050,中概互联网ETF
513330,恒生互联网ETF
159529,标普消费ETF
159502,标普生物科技ETF
513290,纳指生物科技ETF
159509,纳指科技ETF
513310,中韩半导体ETF
513730,东南亚科技ETF
159687,亚太精选ETF
159518,标普油气ETF
516160,新能源ETF
515700,新能车ETF
515790,光伏ETF
512980,传媒ETF
512580,环保ETF
159871,有色金属ETF
516670,畜牧养殖ETF
516310,银行ETF易方达
515010,券商ETF基金
512660,军工ETF
159715,稀土ETF易方达
515220,煤炭ETE
159930,能源ETF
159825,农业ETF
517520,黄金股ETF
518850,黄金ETF华夏
