你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-11-28）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 520500: 开盘: 1.786, 收盘: 1.773, 最高: 1.8, 最低: 1.768, 成交量: 2892234, 成交额: 513968331.0, 振幅: 1.79, 涨跌幅: -0.73, 涨跌额: -0.013, 换手率: 21.25, momentum_20: 0.003396, volatility_20: 0.02013, volume_mean_20: 5154019.55, return_mean_20: 0.0365, amplitude_mean_20: 2.814, turnover_mean_20: 37.8745, MA_5: 1.7634, MA_10: 1.7542, y_pred_Y_next_day_return: 0.000546, y_pred_Y_future_5d_return: 0.021238, y_pred_Y_future_10d_return: 0.066965, y_pred_Y_future_5d_vol_change: 0.234236, y_pred_Y_future_10d_vol_change: 0.111193
ETF代码 515700: 开盘: 2.354, 收盘: 2.399, 最高: 2.414, 最低: 2.348, 成交量: 270285, 成交额: 64479418.0, 振幅: 2.8, 涨跌幅: 1.7, 涨跌额: 0.04, 换手率: 3.53, momentum_20: -0.049525, volatility_20: 0.02558, volume_mean_20: 365115.25, return_mean_20: -0.2225, amplitude_mean_20: 3.3005, turnover_mean_20: 4.7635, MA_5: 2.3604, MA_10: 2.4315, y_pred_Y_next_day_return: 0.001727, y_pred_Y_future_5d_return: 0.013773, y_pred_Y_future_10d_return: 0.016414, y_pred_Y_future_5d_vol_change: 0.047466, y_pred_Y_future_10d_vol_change: -0.001537
ETF代码 159871: 开盘: 0.852, 收盘: 0.866, 最高: 0.868, 最低: 0.849, 成交量: 111305, 成交额: 19175426.8, 振幅: 2.23, 涨跌幅: 1.64, 涨跌额: 0.014, 换手率: 1.25, momentum_20: -0.022573, volatility_20: 0.022143, volume_mean_20: 265623.4, return_mean_20: -0.091, amplitude_mean_20: 2.9935, turnover_mean_20: 2.986, MA_5: 0.8504, MA_10: 0.8627, y_pred_Y_next_day_return: 0.001318, y_pred_Y_future_5d_return: 0.008324, y_pred_Y_future_10d_return: 0.009636, y_pred_Y_future_5d_vol_change: -0.145235, y_pred_Y_future_10d_vol_change: -0.154029
ETF代码 515050: 开盘: 2.017, 收盘: 2.029, 最高: 2.049, 最低: 2.0, 成交量: 1265711, 成交额: 256108363.0, 振幅: 2.42, 涨跌幅: 0.35, 涨跌额: 0.007, 换手率: 3.82, momentum_20: -0.039754, volatility_20: 0.023793, volume_mean_20: 1942827.0, return_mean_20: -0.176, amplitude_mean_20: 3.519, turnover_mean_20: 5.8675, MA_5: 1.973, MA_10: 1.9646, y_pred_Y_next_day_return: 0.001479, y_pred_Y_future_5d_return: 0.00745, y_pred_Y_future_10d_return: 0.014772, y_pred_Y_future_5d_vol_change: 0.281948, y_pred_Y_future_10d_vol_change: 0.089488
ETF代码 159687: 开盘: 1.537, 收盘: 1.532, 最高: 1.537, 最低: 1.528, 成交量: 141889, 成交额: 21728423.616, 振幅: 0.59, 涨跌幅: 0.07, 涨跌额: 0.001, 换手率: 1.14, momentum_20: -0.047856, volatility_20: 0.015071, volume_mean_20: 1169442.35, return_mean_20: -0.234, amplitude_mean_20: 1.308, turnover_mean_20: 9.413, MA_5: 1.5248, MA_10: 1.5244, y_pred_Y_next_day_return: -3.1e-05, y_pred_Y_future_5d_return: 0.006159, y_pred_Y_future_10d_return: 0.00393, y_pred_Y_future_5d_vol_change: 0.583413, y_pred_Y_future_10d_vol_change: 0.261402
ETF代码 159509: 开盘: 2.245, 收盘: 2.27, 最高: 2.274, 最低: 2.238, 成交量: 3970680, 成交额: 896159418.388, 振幅: 1.61, 涨跌幅: 1.57, 涨跌额: 0.035, 换手率: 6.05, momentum_20: -0.004386, volatility_20: 0.024044, volume_mean_20: 4805345.75, return_mean_20: 0.005, amplitude_mean_20: 1.721, turnover_mean_20: 7.319, MA_5: 2.23, MA_10: 2.1903, y_pred_Y_next_day_return: 0.001435, y_pred_Y_future_5d_return: 0.006093, y_pred_Y_future_10d_return: 0.007157, y_pred_Y_future_5d_vol_change: -0.137559, y_pred_Y_future_10d_vol_change: -0.043581
ETF代码 512580: 开盘: 1.262, 收盘: 1.276, 最高: 1.28, 最低: 1.254, 成交量: 109778, 成交额: 13960018.0, 振幅: 2.06, 涨跌幅: 1.03, 涨跌额: 0.013, 换手率: 1.14, momentum_20: -0.037707, volatility_20: 0.020898, volume_mean_20: 171054.4, return_mean_20: -0.1715, amplitude_mean_20: 2.8785, turnover_mean_20: 1.77, MA_5: 1.2622, MA_10: 1.2899, y_pred_Y_next_day_return: 0.000486, y_pred_Y_future_5d_return: 0.005911, y_pred_Y_future_10d_return: 0.008298, y_pred_Y_future_5d_vol_change: 0.07191, y_pred_Y_future_10d_vol_change: -0.140026
ETF代码 516160: 开盘: 2.769, 收盘: 2.829, 最高: 2.84, 最低: 2.769, 成交量: 681944, 成交额: 191810696.0, 振幅: 2.55, 涨跌幅: 1.58, 涨跌额: 0.044, 换手率: 3.11, momentum_20: -0.033481, volatility_20: 0.024839, volume_mean_20: 1028113.5, return_mean_20: -0.1395, amplitude_mean_20: 3.35, turnover_mean_20: 4.6855, MA_5: 2.7832, MA_10: 2.8641, y_pred_Y_next_day_return: 0.001507, y_pred_Y_future_5d_return: 0.005385, y_pred_Y_future_10d_return: 0.010393, y_pred_Y_future_5d_vol_change: 0.114474, y_pred_Y_future_10d_vol_change: 0.033187
ETF代码 513310: 开盘: 2.45, 收盘: 2.473, 最高: 2.491, 最低: 2.433, 成交量: 14096981, 成交额: 3482580173.0, 振幅: 2.36, 涨跌幅: 0.65, 涨跌额: 0.016, 换手率: 84.44, momentum_20: -0.086105, volatility_20: 0.028763, volume_mean_20: 11732854.8, return_mean_20: -0.4085, amplitude_mean_20: 3.578, turnover_mean_20: 70.281, MA_5: 2.3978, MA_10: 2.4195, y_pred_Y_next_day_return: -0.003041, y_pred_Y_future_5d_return: 0.00272, y_pred_Y_future_10d_return: 0.011359, y_pred_Y_future_5d_vol_change: 0.129991, y_pred_Y_future_10d_vol_change: -0.179712
ETF代码 515790: 开盘: 0.94, 收盘: 0.958, 最高: 0.961, 最低: 0.94, 成交量: 3642956, 成交额: 347199585.0, 振幅: 2.22, 涨跌幅: 1.27, 涨跌额: 0.012, 换手率: 3.56, momentum_20: -0.036217, volatility_20: 0.024475, volume_mean_20: 9281850.15, return_mean_20: -0.156, amplitude_mean_20: 3.5575, turnover_mean_20: 9.059, MA_5: 0.9454, MA_10: 0.9672, y_pred_Y_next_day_return: 0.001788, y_pred_Y_future_5d_return: 0.002404, y_pred_Y_future_10d_return: 0.009905, y_pred_Y_future_5d_vol_change: 0.173792, y_pred_Y_future_10d_vol_change: -0.058967
ETF代码 159307: 开盘: 1.074, 收盘: 1.076, 最高: 1.076, 最低: 1.072, 成交量: 177391, 成交额: 19258414.4, 振幅: 0.37, 涨跌幅: 0.09, 涨跌额: 0.001, 换手率: 0.61, momentum_20: 0.002796, volatility_20: 0.006375, volume_mean_20: 214056.25, return_mean_20: 0.0155, amplitude_mean_20: 0.9055, turnover_mean_20: 0.732, MA_5: 1.0754, MA_10: 1.0836, y_pred_Y_next_day_return: -5.5e-05, y_pred_Y_future_5d_return: 0.001341, y_pred_Y_future_10d_return: 0.006253, y_pred_Y_future_5d_vol_change: 0.392219, y_pred_Y_future_10d_vol_change: 0.180851
