你是一个专业的量化投资分析助手，你的任务是对给定的ETF进行横向比较和排序。你将获得某个交易日多只ETF的量化因子数据，请仅依据这些数值进行综合分析，输出排序结果。

## 任务定义
基于提供的ETF因子截面数据，对它们进行横向比较，按照“未来收益潜力与风险调整后收益”的综合评估进行排序。你需要扮演一个纯粹的“横向比较与排序器”，不进行时间序列预测，也不引入任何外部知识或历史经验。排序必须完全基于当前提供的因子数值。

## 因子说明
以下是每个因子的含义，请理解后用于比较：
- momentum_20：20日动量，反映过去20日的价格趋势强度。
- volatility_20：20日波动率，反映过去20日收益率的波动程度，越低代表越稳定。
- volume_mean_20：20日成交量均值，反映近期交易活跃度。
- return_mean_20：20日平均涨跌幅，反映近期平均日收益。
- amplitude_mean_20：20日振幅均值，反映近期价格波动范围。
- turnover_mean_20：20日换手率均值，反映近期筹码换手频率。
- MA_5：5日移动平均线，反映极短期价格趋势。
- MA_10：10日移动平均线，反映短期价格趋势。
- 涨跌幅：当日涨跌幅，反映当日价格变动百分比。
- 振幅：当日振幅，反映当日价格波动范围。
- 换手率：当日换手率，反映当日筹码换手频率。
- 成交量：当日成交量，反映当日交易活跃度。
- 成交额：当日成交额，反映当日交易金额规模。

## 约束条件
1. 禁止联网搜索或使用任何外部知识库，仅依据输入数值进行比较。
2. 禁止进行时间序列预测或趋势外推，仅做横截面比较。
3. 输出格式必须严格遵守下方要求，不得输出任何额外的自然语言解释、评论或发散性内容。
4. 排序应综合考虑收益潜力（如动量、涨跌幅、移动平均线等）与风险控制（如波动率、振幅等），追求风险调整后的收益。
5. 由于ETF数量较多（50只），建议先分组比较：可将50只ETF分为5组，每组10只，先选出每组前2名，再对10只优胜者进行最终排序。

## 输出格式
你必须输出一个合法的JSON对象，且只包含该JSON对象，格式如下：
{
  "rankings": [
    {"code": "ETF代码1", "score": 0.95},
    {"code": "ETF代码2", "score": 0.87},
    ...
  ]
}
其中：
- "rankings" 是一个数组，按综合评分从高到低排列。
- 每个元素包含 "code"（ETF代码，字符串）和 "score"（综合评分，浮点数，范围0~1，评分越高代表综合表现越好）。
- 数组长度必须等于输入ETF的数量。
- 评分应体现相对优劣，可以基于数值归一化或主观加权，但需保持一致性。

## 输入数据
以下是当前交易日（2025-12-26）的ETF因子数据（数值已标准化处理，可直接比较）：
ETF代码 513310: 开盘: 2.525, 收盘: 2.532, 最高: 2.546, 最低: 2.521, 成交量: 6773021, 成交额: 1716502802.0, 振幅: 1.0, 涨跌幅: 0.8, 涨跌额: 0.02, 换手率: 40.57, momentum_20: 0.023858, volatility_20: 0.01857, volume_mean_20: 9903312.85, return_mean_20: 0.134, amplitude_mean_20: 2.093, turnover_mean_20: 59.3215, MA_5: 2.499, MA_10: 2.4438, y_pred_Y_next_day_return: 0.000413, y_pred_Y_future_5d_return: 0.011071, y_pred_Y_future_10d_return: 0.041295, y_pred_Y_future_5d_vol_change: 0.468571, y_pred_Y_future_10d_vol_change: 0.367946
ETF代码 159715: 开盘: 1.19, 收盘: 1.193, 最高: 1.198, 最低: 1.179, 成交量: 905877, 成交额: 107658184.5, 振幅: 1.61, 涨跌幅: 0.85, 涨跌额: 0.01, 换手率: 16.19, momentum_20: 0.062333, volatility_20: 0.014995, volume_mean_20: 531641.0, return_mean_20: 0.314, amplitude_mean_20: 1.9955, turnover_mean_20: 9.5025, MA_5: 1.1738, MA_10: 1.1485, y_pred_Y_next_day_return: -0.000707, y_pred_Y_future_5d_return: 0.003877, y_pred_Y_future_10d_return: 0.004473, y_pred_Y_future_5d_vol_change: 0.129599, y_pred_Y_future_10d_vol_change: -0.036317
ETF代码 515700: 开盘: 2.476, 收盘: 2.517, 最高: 2.543, 最低: 2.476, 成交量: 774868, 成交额: 194599283.0, 振幅: 2.73, 涨跌幅: 2.44, 涨跌额: 0.06, 换手率: 10.11, momentum_20: 0.049187, volatility_20: 0.016225, volume_mean_20: 266076.25, return_mean_20: 0.253, amplitude_mean_20: 2.2845, turnover_mean_20: 3.4715, MA_5: 2.4482, MA_10: 2.3898, y_pred_Y_next_day_return: 0.001662, y_pred_Y_future_5d_return: 0.00288, y_pred_Y_future_10d_return: -0.003968, y_pred_Y_future_5d_vol_change: -0.104723, y_pred_Y_future_10d_vol_change: -0.069496
ETF代码 159687: 开盘: 1.547, 收盘: 1.546, 最高: 1.549, 最低: 1.545, 成交量: 83445, 成交额: 12912532.092, 振幅: 0.26, 涨跌幅: 0.0, 涨跌额: 0.0, 换手率: 0.67, momentum_20: 0.009138, volatility_20: 0.007609, volume_mean_20: 147932.6, return_mean_20: 0.048, amplitude_mean_20: 0.726, turnover_mean_20: 1.1905, MA_5: 1.5438, MA_10: 1.5338, y_pred_Y_next_day_return: 5e-05, y_pred_Y_future_5d_return: 0.002364, y_pred_Y_future_10d_return: 0.008299, y_pred_Y_future_5d_vol_change: 0.453386, y_pred_Y_future_10d_vol_change: 0.275388
ETF代码 512580: 开盘: 1.284, 收盘: 1.304, 最高: 1.319, 最低: 1.283, 成交量: 175637, 成交额: 22902085.0, 振幅: 2.82, 涨跌幅: 2.03, 涨跌额: 0.026, 换手率: 1.82, momentum_20: 0.021944, volatility_20: 0.011434, volume_mean_20: 79715.1, return_mean_20: 0.1155, amplitude_mean_20: 1.803, turnover_mean_20: 0.826, MA_5: 1.2754, MA_10: 1.2597, y_pred_Y_next_day_return: 0.00188, y_pred_Y_future_5d_return: 0.001939, y_pred_Y_future_10d_return: 0.002703, y_pred_Y_future_5d_vol_change: -0.004344, y_pred_Y_future_10d_vol_change: 0.009685
ETF代码 563020: 开盘: 1.195, 收盘: 1.194, 最高: 1.197, 最低: 1.192, 成交量: 709822, 成交额: 84735280.0, 振幅: 0.42, 涨跌幅: -0.08, 涨跌额: -0.001, 换手率: 1.34, momentum_20: -0.025306, volatility_20: 0.004372, volume_mean_20: 846531.6, return_mean_20: -0.1285, amplitude_mean_20: 0.8305, turnover_mean_20: 1.5985, MA_5: 1.193, MA_10: 1.1926, y_pred_Y_next_day_return: -0.000202, y_pred_Y_future_5d_return: 0.00186, y_pred_Y_future_10d_return: 0.007824, y_pred_Y_future_5d_vol_change: 0.718855, y_pred_Y_future_10d_vol_change: 0.51531
ETF代码 159916: 开盘: 5.17, 收盘: 5.149, 最高: 5.178, 最低: 5.149, 成交量: 73, 成交额: 37698.6, 振幅: 0.56, 涨跌幅: 0.04, 涨跌额: 0.002, 换手率: 0.01, momentum_20: 0.004683, volatility_20: 0.00644, volume_mean_20: 115.8, return_mean_20: 0.026, amplitude_mean_20: 0.815, turnover_mean_20: 0.0235, MA_5: 5.1398, MA_10: 5.13, y_pred_Y_next_day_return: 6e-06, y_pred_Y_future_5d_return: 0.001827, y_pred_Y_future_10d_return: 0.004535, y_pred_Y_future_5d_vol_change: 0.435576, y_pred_Y_future_10d_vol_change: 0.180136
ETF代码 516160: 开盘: 2.883, 收盘: 2.927, 最高: 2.967, 最低: 2.883, 成交量: 3299345, 成交额: 968047524.0, 振幅: 2.94, 涨跌幅: 2.31, 涨跌额: 0.066, 换手率: 15.04, momentum_20: 0.034641, volatility_20: 0.014377, volume_mean_20: 826264.4, return_mean_20: 0.181, amplitude_mean_20: 2.1055, turnover_mean_20: 3.7655, MA_5: 2.8518, MA_10: 2.797, y_pred_Y_next_day_return: 0.001814, y_pred_Y_future_5d_return: 0.001612, y_pred_Y_future_10d_return: 0.001459, y_pred_Y_future_5d_vol_change: -0.075368, y_pred_Y_future_10d_vol_change: 0.10874
ETF代码 515450: 开盘: 1.404, 收盘: 1.401, 最高: 1.404, 最低: 1.397, 成交量: 801306, 成交额: 112161823.0, 振幅: 0.5, 涨跌幅: -0.14, 涨跌额: -0.002, 换手率: 0.74, momentum_20: -0.011989, volatility_20: 0.003754, volume_mean_20: 1053960.45, return_mean_20: -0.0605, amplitude_mean_20: 0.763, turnover_mean_20: 0.974, MA_5: 1.4018, MA_10: 1.4002, y_pred_Y_next_day_return: -0.000184, y_pred_Y_future_5d_return: 0.001351, y_pred_Y_future_10d_return: 0.007836, y_pred_Y_future_5d_vol_change: 0.352555, y_pred_Y_future_10d_vol_change: 0.462798
ETF代码 512010: 开盘: 0.387, 收盘: 0.387, 最高: 0.388, 最低: 0.384, 成交量: 8047720, 成交额: 310796753.0, 振幅: 1.03, 涨跌幅: -0.26, 涨跌额: -0.001, 换手率: 1.7, momentum_20: -0.015267, volatility_20: 0.008404, volume_mean_20: 10583172.6, return_mean_20: -0.0735, amplitude_mean_20: 1.4595, turnover_mean_20: 2.238, MA_5: 0.3862, MA_10: 0.3847, y_pred_Y_next_day_return: -0.000656, y_pred_Y_future_5d_return: 0.001324, y_pred_Y_future_10d_return: 0.00134, y_pred_Y_future_5d_vol_change: 0.618405, y_pred_Y_future_10d_vol_change: 0.30274
ETF代码 515650: 开盘: 1.19, 收盘: 1.194, 最高: 1.195, 最低: 1.188, 成交量: 605149, 成交额: 72172978.0, 振幅: 0.59, 涨跌幅: 0.17, 涨跌额: 0.002, 换手率: 1.93, momentum_20: -0.009129, volatility_20: 0.005664, volume_mean_20: 688116.55, return_mean_20: -0.044, amplitude_mean_20: 0.881, turnover_mean_20: 2.1905, MA_5: 1.1948, MA_10: 1.1943, y_pred_Y_next_day_return: -0.000171, y_pred_Y_future_5d_return: 0.00126, y_pred_Y_future_10d_return: 0.004274, y_pred_Y_future_5d_vol_change: 0.488755, y_pred_Y_future_10d_vol_change: 0.24569
