code,name,llm_score,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,y_pred_Y_next_day_return,y_pred_Y_future_5d_return,y_pred_Y_future_10d_return,y_pred_Y_future_5d_vol_change,y_pred_Y_future_10d_vol_change
512980,传媒ETF,0.95,1.091,1.166,1.167,1.091,6882300,788281693.0,6.95,6.68,0.073,8.65,0.2033023735810113,0.021090601234667,1510390.85,0.9505000000000002,2.475,1.8995,1.0878,1.0304,0.0389085058185491,0.0128268647979334,0.0076038961271924,0.8231443530602763,0.4990628218682557
515400,大数据ETF,0.92,0.992,1.036,1.038,0.992,1507982,154019558.0,4.63,4.23,0.042,9.02,0.1273122959738846,0.0149209001165752,744057.15,0.6120000000000001,1.8145,4.449,0.992,0.9596,0.008723291779806,0.0603070944944449,0.0458931663774904,0.6808598541520372,0.4289661871627367
159715,稀土ETF易方达,0.89,1.294,1.343,1.349,1.294,1106462,147603818.52,4.26,4.11,0.053,19.77,0.1760070052539404,0.0173037750178792,629489.3,0.8279999999999997,2.19,11.25,1.287,1.2412,0.0061905875155853,0.0071129202287111,0.0127889961948426,0.757227378926006,0.6464256496259292
159852,软件ETF,0.86,0.911,0.946,0.946,0.909,7254709,675965047.986,4.06,3.84,0.035,5.33,0.1103286384976525,0.015703256581009,4149202.45,0.5369999999999997,1.88,3.0475000000000003,0.9148,0.885,0.010220764383293,0.031816603266126,0.0418481646193107,0.5442900375939019,0.2533349170717893
517520,黄金股ETF,0.83,2.11,2.188,2.194,2.11,1540095,334299645.0,3.96,3.16,0.067,2.47,0.1289989680082559,0.0206950160027053,2038227.5,0.6279999999999999,2.6755,3.265,2.1404,2.0969,0.003319287326382,-0.0003692855036237,-0.0092812271970271,0.0959992167688034,0.0241387552983271
510500,中证500ETF,0.8,7.962,8.154,8.161,7.961,5252035,4288318244.0,2.51,2.41,0.192,5.34,0.1323427301763644,0.0113467658609789,3208708.3,0.629,1.4834999999999998,3.2620000000000005,7.936400000000001,7.7203,-0.0008256581775857,0.0009397447245986,-0.0064517754744864,0.3600808032774143,0.4634295112134342
515980,人工智能ETF,0.77,0.906,0.941,0.941,0.901,5801180,536132565.0,4.39,3.29,0.03,5.28,0.0866050808314087,0.0165788447199676,3059810.35,0.4289999999999995,2.1055,2.787,0.9134,0.8882999999999999,0.0069500377479879,0.0131448682116377,0.004146553044329,0.4917831700662985,0.4575177683358899
512100,中证1000ETF,0.74,3.185,3.264,3.269,3.185,8691458,2854686754.0,2.63,2.32,0.074,10.56,0.1034482758620687,0.0104755140108157,4214605.15,0.4995,1.4895,5.1225,3.1758,3.1063,0.0009645164261221,0.0007118710720909,-8.112945800345462e-05,0.1306008391934244,0.0253210851964751
159837,生物科技ETF,0.71,0.525,0.536,0.536,0.525,639610,33958616.753,2.1,2.1,0.011,2.23,0.0530451866404715,0.0132763779910775,420016.8,0.2674999999999998,1.546,1.467,0.5236000000000001,0.5119,-0.0001005627942569,-0.0003449956310565,0.000181469244503,-0.0776901137774651,0.0243209931350718
560500,500质量成长ETF,0.68,1.244,1.278,1.278,1.244,47360,6015041.0,2.72,2.24,0.028,1.32,0.0951156812339331,0.0107161334903902,47302.7,0.4609999999999999,1.4885,1.3165,1.255,1.2324,0.0014839104188409,0.0012510733668558,0.0045509626895093,0.0046153545612867,-0.0127021191695363
