tag_a,tag_b,count,ratio,total_dates
动量,均线,24,0.12244897959183673,196
动量,成交活跃度,68,0.3469387755102041,196
动量,收益稳定性,35,0.17857142857142858,196
动量,波动,99,0.5051020408163265,196
动量,流动性,59,0.3010204081632653,196
动量,相对强弱,196,1.0,196
动量,趋势,149,0.7602040816326531,196
动量,风险收益权衡,19,0.09693877551020408,196
均线,成交活跃度,24,0.12244897959183673,196
均线,收益稳定性,2,0.01020408163265306,196
均线,波动,24,0.12244897959183673,196
均线,流动性,24,0.12244897959183673,196
均线,相对强弱,24,0.12244897959183673,196
均线,趋势,24,0.12244897959183673,196
均线,风险收益权衡,2,0.01020408163265306,196
成交活跃度,收益稳定性,3,0.015306122448979591,196
成交活跃度,波动,44,0.22448979591836735,196
成交活跃度,流动性,24,0.12244897959183673,196
成交活跃度,相对强弱,68,0.3469387755102041,196
成交活跃度,趋势,42,0.21428571428571427,196
成交活跃度,风险收益权衡,2,0.01020408163265306,196
收益稳定性,波动,4,0.02040816326530612,196
收益稳定性,流动性,2,0.01020408163265306,196
收益稳定性,相对强弱,35,0.17857142857142858,196
收益稳定性,趋势,17,0.08673469387755102,196
收益稳定性,风险收益权衡,6,0.030612244897959183,196
波动,流动性,54,0.2755102040816326,196
波动,相对强弱,99,0.5051020408163265,196
波动,趋势,75,0.3826530612244898,196
波动,风险收益权衡,2,0.01020408163265306,196
流动性,相对强弱,59,0.3010204081632653,196
流动性,趋势,59,0.3010204081632653,196
流动性,风险收益权衡,2,0.01020408163265306,196
相对强弱,趋势,149,0.7602040816326531,196
相对强弱,风险收益权衡,19,0.09693877551020408,196
趋势,风险收益权衡,13,0.0663265306122449,196
