rebalance_date,second_stage_llm,llm_ranking_used,llm_fallback_used,explanation_requested,explanation_generated,simple_rule_benchmark_factor,strategy_a_codes,strategy_a_count,strategy_a_return,strategy_a_turnover,strategy_a_transaction_cost,strategy_a_slippage,strategy_a_net_return,strategy_b_codes,strategy_b_count,strategy_b_return,strategy_b_turnover,strategy_b_transaction_cost,strategy_b_slippage,strategy_b_net_return,benchmark_market_codes,benchmark_market_count,benchmark_market_return,benchmark_market_turnover,benchmark_market_transaction_cost,benchmark_market_slippage,benchmark_market_net_return,benchmark_equal_weight_codes,benchmark_equal_weight_count,benchmark_equal_weight_return,benchmark_equal_weight_turnover,benchmark_equal_weight_transaction_cost,benchmark_equal_weight_slippage,benchmark_equal_weight_net_return,benchmark_simple_rule_codes,benchmark_simple_rule_count,benchmark_simple_rule_return,benchmark_simple_rule_turnover,benchmark_simple_rule_transaction_cost,benchmark_simple_rule_slippage,benchmark_simple_rule_net_return
2025-04-11,deepseek-chat,True,False,False,False,momentum_20,"['159502', '159518', '513290', '513330', '159572']",5,0.022648288217922564,1.0,0.001,0.0005,0.021148288217922563,"['159502', '159518', '513290', '513330', '159572']",5,0.022648288217922564,1.0,0.001,0.0005,0.021148288217922563,['510300'],1,0.0090934141636813,1.0,0.001,0.0005,0.007593414163681301,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.00399109301333678,1.0,0.001,0.0005,0.00249109301333678,"['518850', '517520', '516670', '159825', '520500']",5,0.009196701711368998,1.0,0.001,0.0005,0.007696701711368999
2025-04-18,deepseek-chat,True,False,False,False,momentum_20,"['159572', '159518', '159502', '159967', '513290']",5,0.02982077089690672,0.2,0.0002,0.0001,0.02952077089690672,"['159572', '159518', '159502', '159967', '513290']",5,0.02982077089690672,0.2,0.0002,0.0001,0.02952077089690672,['510300'],1,0.0024576734025123,0.0,0.0,0.0,0.0024576734025123,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.012725721531149007,0.0,0.0,0.0,0.012725721531149007,"['518850', '517520', '516670', '159825', '515450']",5,-0.00409182077838772,0.2,0.0002,0.0001,-0.00439182077838772
2025-04-25,deepseek-chat,True,False,False,False,momentum_20,"['159518', '159572', '515050', '159967', '159682']",5,0.0281948108721086,0.4,0.0004,0.0002,0.0275948108721086,"['159518', '159572', '515050', '159967', '159682']",5,0.0281948108721086,0.4,0.0004,0.0002,0.0275948108721086,['510300'],1,0.0122582402615092,0.0,0.0,0.0,0.0122582402615092,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.016633535837435015,0.0,0.0,0.0,0.016633535837435015,"['518850', '517520', '520500', '513060', '516670']",5,-0.004231502065385378,0.4,0.0004,0.0002,-0.004831502065385378
2025-04-30,deepseek-chat,True,False,False,False,momentum_20,"['159518', '159572', '515050', '513730', '159682']",5,0.05793371592357336,0.2,0.0002,0.0001,0.05763371592357336,"['159518', '159572', '515050', '513730', '159682']",5,0.05793371592357336,0.2,0.0002,0.0001,0.05763371592357336,['510300'],1,0.0339261285909713,0.0,0.0,0.0,0.0339261285909713,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.025149981532645617,0.0,0.0,0.0,0.025149981532645617,"['518850', '513730', '516670', '517520', '159825']",5,0.0036315968812664404,0.4,0.0004,0.0002,0.00303159688126644
2025-05-09,deepseek-chat,True,False,False,False,momentum_20,"['515400', '159509', '159518', '510760', '513730']",5,0.026636416433994097,0.6,0.0006,0.0003,0.025736416433994096,"['515400', '159509', '159518', '510760', '513730']",5,0.026636416433994097,0.6,0.0006,0.0003,0.025736416433994096,['510300'],1,0.0117836100696304,0.0,0.0,0.0,0.0117836100696304,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.007448802063325332,0.0,0.0,0.0,0.007448802063325332,"['513730', '520500', '513060', '562500', '159531']",5,0.00732108307552598,0.7999999999999999,0.0007999999999999999,0.00039999999999999996,0.00612108307552598
2025-05-16,deepseek-chat,True,False,False,False,momentum_20,"['159529', '159509', '159715', '510880', '515080']",5,-0.009493492559516498,0.7999999999999999,0.0007999999999999999,0.00039999999999999996,-0.010693492559516498,"['159529', '159509', '159715', '510880', '515080']",5,-0.009493492559516498,0.7999999999999999,0.0007999999999999999,0.00039999999999999996,-0.010693492559516498,['510300'],1,-0.0002646903123345,0.0,0.0,0.0,-0.0002646903123345,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,-0.001323022882367793,0.0,0.0,0.0,-0.001323022882367793,"['513730', '159518', '159509', '159529', '513050']",5,-0.01899095665450656,0.7999999999999999,0.0007999999999999999,0.00039999999999999996,-0.02019095665450656
2025-05-23,deepseek-chat,True,False,False,False,momentum_20,"['159529', '518850', '159572', '159509', '159847']",5,0.008269903515199,0.6,0.0006,0.0003,0.007369903515199,"['159529', '518850', '159509', '513730', '159915']",5,-0.0030939865393743203,0.6,0.0006,0.0003,-0.00399398653937432,['510300'],1,-0.0076780513635159,0.0,0.0,0.0,-0.0076780513635159,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,-0.0005842306544227171,0.0,0.0,0.0,-0.0005842306544227171,"['159509', '513730', '159529', '513050', '515700']",5,-0.014584874461693797,0.2,0.0002,0.0001,-0.014884874461693797
2025-05-30,deepseek-chat,True,False,False,False,momentum_20,"['159529', '510180', '159572', '159509', '159847']",5,0.01664179432740382,0.2,0.0002,0.0001,0.016341794327403823,"['159529', '159509', '512660', '516080', '159572']",5,0.01971754440948918,0.6,0.0006,0.0003,0.018817544409489177,['510300'],1,0.0096051227321236,0.0,0.0,0.0,0.0096051227321236,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.02261062589677528,0.0,0.0,0.0,0.02261062589677528,"['159529', '159509', '516080', '512290', '513060']",5,0.029476324355619903,0.6,0.0006,0.0003,0.028576324355619902
2025-06-06,deepseek-chat,True,False,False,False,momentum_20,"['159916', '159910', '159691', '510180', '515080']",5,0.0023907622034578992,0.7999999999999999,0.0007999999999999999,0.00039999999999999996,0.0011907622034578993,"['159529', '159509', '159691', '516080', '159837']",5,0.005249331884551118,0.4,0.0004,0.0002,0.004649331884551119,['510300'],1,-0.0015894039735099,0.0,0.0,0.0,-0.0015894039735099,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,0.001161440337237282,0.0,0.0,0.0,0.001161440337237282,"['520500', '513060', '159529', '516080', '159509']",5,0.0345387496374064,0.2,0.0002,0.0001,0.0342387496374064
2025-06-13,deepseek-chat,True,False,False,False,momentum_20,"['159518', '159837', '510180', '518850', '515080']",5,-0.016576578964322564,0.6,0.0006,0.0003,-0.017476578964322566,"['159518', '516080', '159837', '518850', '513290']",5,-0.028228580412251302,0.6,0.0006,0.0003,-0.029128580412251304,['510300'],1,-0.0037145131334571,0.0,0.0,0.0,-0.0037145131334571,"['159201', '159307', '159399', '159502', '159509', '159518', '159520', '159529', '159531', '159572', '159628', '159682', '159687', '159691', '159715', '159781', '159807', '159825', '159837', '159847', '159852', '159871', '159883', '159901', '159903', '159905', '159910', '159915', '159916', '159920', '159928', '159930', '159938', '159939', '159966', '159967', '159995', '159996', '510050', '510180', '510300', '510500', '510760', '510880', '510900', '512010', '512100', '512260', '512290', '512480', '512580', '512660', '512690', '512750', '512980', '513050', '513060', '513290', '513310', '513330', '513630', '513730', '513970', '515010', '515050', '515080', '515170', '515220', '515400', '515450', '515580', '515650', '515700', '515750', '515790', '515800', '515860', '515980', '516050', '516080', '516160', '516310', '516670', '517300', '517520', '518850', '520500', '520550', '560080', '560500', '560610', '562000', '562060', '562310', '562320', '562500', '563000', '563020', '588000', '588030']",100,-0.01267010617895308,0.0,0.0,0.0,-0.01267010617895308,"['520500', '513060', '517520', '516080', '159518']",5,-0.055743644938528555,0.4,0.0004,0.0002,-0.05634364493852855
