date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-07-18,510760,上证综指ETF,0.95,0.0043754682667724,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,520500,恒生创新药ETF,0.85,0.0041698754093513,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,159509,纳指科技ETF,0.75,0.003037146569378,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,513730,东南亚科技ETF,0.65,0.0022837697460129,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,515580,科技100ETF,0.55,0.0022058786773248,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,159871,有色金属ETF,0.45,0.000465915619304,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,515860,科技ETF基金,0.35,5.10235742756603e-05,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,510880,红利ETF,0.25,2.580490801746842e-05,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,159928,消费ETF,0.15,1.8932091799216616e-05,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
2025-07-18,560500,500质量成长ETF,0.05,-0.000278651561573,deepseek-chat,lightgbm,Y_future_5d_return,top30_top10,30,10,4dc7cb232bd33464fd061051cdff6e3d991066ee8b295eefc2bc51c04aa1810c,False
