date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-09-19,515980,人工智能ETF,0.015804,0.0158039747174114,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,159781,科创创业ETF,0.013471,0.0134709001197567,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,159847,医疗ETF易方达,0.012033,0.012032636014863,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,513330,恒生互联网ETF,0.011462,0.011461527957316,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,159916,深F60ETF,0.010471,0.010471039037219,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,159995,芯片ETF,0.006387,0.0063868251814303,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,513310,中韩半导体ETF,0.006212,0.0062117240084039,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,562500,机器人ETF,0.00613,0.0061301002348108,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,513050,中概互联网ETF,0.005725,0.005724533734516,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
2025-09-19,515700,新能车ETF,0.005225,0.0052245898961239,deepseek-chat,lightgbm,Y_future_5d_return,default,50,10,0f65062849eda78d79b1a4108e03fa3c875d0258ef9f6ce77f28ab3ce004e7c3,False
