date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-04-18,159572,创业板200ETF易方达,0.038916,0.0389161836306761,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,159518,标普油气ETF,0.030221,0.030221421313884,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,159502,标普生物科技ETF,0.027707,0.0277066122228158,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,159967,创业板成长ETF,0.026984,0.0269838421674907,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,513290,纳指生物科技ETF,0.022223,0.0222229541787949,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,562500,机器人ETF,0.021777,0.021776517799437,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,515400,大数据ETF,0.020555,0.0205545447322818,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,159509,纳指科技ETF,0.019453,0.0194526653141026,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,515050,5G通信ETF,0.018254,0.0182539613765352,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
2025-04-18,513730,东南亚科技ETF,0.015835,0.0158346018509258,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,f506ea7f8e5e66c576f0eb7ce9c94c48a678e44f5ed801be102d0c348d72de9f,False
