date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-19,159916,深F60ETF,0.003722,0.0037215509184353,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,515860,科技ETF基金,0.003015,0.0030147448590964,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,159910,基本面120ETE,0.001155,0.0011554367022411,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,159928,消费ETF,0.001058,0.0010575799663085,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,516050,科技龙头ETF,0.000945,0.0009449350521659,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,159502,标普生物科技ETF,0.000903,0.0009027897948265,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,560500,500质量成长ETF,0.000843,0.0008426672643347,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,510180,上证180ETF,0.000788,0.0007881609282233,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,159905,深红利FTE,0.000644,0.0006440293519021,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
2025-12-19,515580,科技100ETF,-0.01,-0.0035069190326923,gemini-2.5-flash-lite,lightgbm,Y_future_5d_return,default,50,10,26ed67fb32fef295325e7206eb7886d20a6bb923285567e989d282c846d64b52,False
