date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-04-11,520500,恒生创新药ETF,0.95,0.0174181261809904,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,512480,半导体ETF,0.94,0.0164068140261428,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,159518,标普油气ETF,0.93,0.0149603138484387,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,159995,芯片ETF,0.92,0.0133384282265264,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,513310,中韩半导体ETF,0.91,0.0128459517279604,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,588030,科创100指数ETF,0.9,0.012388674602834,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,159939,信息技术ETF,0.89,0.0113161404426944,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,515050,5G通信ETF,0.88,0.0106828992397554,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,513730,东南亚科技ETF,0.87,0.00996103231401,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
2025-04-11,513290,纳指生物科技ETF,0.86,0.0092969229221061,deepseek-chat,linear,Y_future_5d_return,default,50,10,35c55ad6d1b520c39e0efa27d748abb309d355ab7275dcf853e096df5fe3048d,False
