date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-11-21,159916,深F60ETF,0.018631,0.0186314276465861,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,159871,有色金属ETF,0.013478,0.0134776873710169,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,512580,环保ETF,0.011741,0.0117406724923564,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,159531,中证2000ETF,0.006542,0.0065416461722526,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,515790,光伏ETF,0.005952,0.0059517004091196,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,516160,新能源ETF,0.005571,0.0055712581116024,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,159903,深成ETF,0.00546,0.0054599503801335,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,515700,新能车ETF,0.005268,0.0052681830476221,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,512980,传媒ETF,0.00473,0.0047304809515202,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
2025-11-21,159628,国证2000ETF,0.004698,0.0046977240534695,deepseek-chat,linear,Y_future_5d_return,default,50,10,4e6df9a7f09c220baf01bb3377064225452b4bcf6b33b78aa42002cd40307f72,False
