date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-12,515050,5G通信ETF,0.003872,0.0038721706513369,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,159916,深F60ETF,0.000675,0.0006748702191842,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,159967,创业板成长ETF,9.4e-05,9.355295078771092e-05,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,159939,信息技术ETF,-0.000267,-0.0002672141384336,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,515750,科技50ETF,-0.000636,-0.0006362270205673,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,159518,标普油气ETF,-0.000829,-0.0008287046600938,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,159509,纳指科技ETF,-0.00122,-0.0012196089930935,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,515860,科技ETF基金,-0.001325,-0.0013246296360946,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,516050,科技龙头ETF,-0.001455,-0.0014551704728564,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
2025-12-12,515980,人工智能ETF,-0.001733,-0.0017329229886377,deepseek-chat,linear,Y_future_5d_return,default,50,10,ceeef12edb4e8b4ee54b132600922959d50d8bbdc692d1000e6f954456b2bbb5,False
