date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2026-01-30,159518,标普油气ETF,0.030305,0.030305066367742,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,517520,黄金股ETF,0.027433,0.027432526334737,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,159529,标普消费ETF,0.017871,0.0178709444525393,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,159967,创业板成长ETF,0.007613,0.0076129876504274,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,159871,有色金属ETF,0.006778,0.0067784694323068,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,159781,科创创业ETF,0.004807,0.0048065178952793,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,512690,酒ETF,0.003862,0.0038620494719164,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,515220,煤炭ETE,0.003843,0.0038432472623935,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,515790,光伏ETF,0.003682,0.0036821146284773,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
2026-01-30,159687,亚太精选ETF,0.003596,0.0035955672367887,deepseek-chat,linear,Y_future_5d_return,default,50,10,4695bcc7109a972587e2f50b13773cd509fe471d2ed1937272fdcf5203fe21ab,False
