date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-12,515050,5G通信ETF,0.95,0.0038721706513369,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,159967,创业板成长ETF,0.94,9.355295078771092e-05,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,159502,标普生物科技ETF,0.93,-0.0028866527538828,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,159939,信息技术ETF,0.92,-0.0002672141384336,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,515750,科技50ETF,0.91,-0.0006362270205673,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,159509,纳指科技ETF,0.9,-0.0012196089930935,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,515860,科技ETF基金,0.89,-0.0013246296360946,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,516050,科技龙头ETF,0.88,-0.0014551704728564,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,515980,人工智能ETF,0.87,-0.0017329229886377,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
2025-12-12,588030,科创100指数ETF,0.86,-0.0018697807353783,gemini-2.5-flash-lite,linear,Y_future_5d_return,default,50,10,4404902c3381ad654f71cc08bd34ee4fe9d42e57113cb835440561bb1a1dd5f9,False
