date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-09-26,515980,人工智能ETF,0.95,0.0182510863273879,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,513330,恒生互联网ETF,0.94,0.0102170938724658,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,515050,5G通信ETF,0.93,0.0075942063085068,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,159781,科创创业ETF,0.92,0.0067434404593099,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,513050,中概互联网ETF,0.91,0.0062669625654583,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,515700,新能车ETF,0.9,0.0058480180026543,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,516050,科技龙头ETF,0.89,0.0049770095049916,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,159682,创业50ETF,0.88,0.0044705120656533,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,159915,创业板ETF,0.87,0.0038378406119146,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
2025-09-26,517520,黄金股ETF,0.86,0.0029275621530138,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,1edcf5c2b95396f4d1daf3848c299cb90fac1c79c9e751f3cb573846f7a158d9,False
