date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-26,159871,有色金属ETF,0.95,0.0083152124462259,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,512660,军工ETF,0.94,-0.0004149480558133,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,515050,5G通信ETF,0.93,-0.0022723775843633,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,517520,黄金股ETF,0.92,0.000332669466446,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,516160,新能源ETF,0.91,-0.0008783021764081,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,515700,新能车ETF,0.9,0.0025418292535948,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,159715,稀土ETF易方达,0.89,-0.0028323311675996,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,518850,黄金ETF华夏,0.88,-0.000755515921456,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,516050,科技龙头ETF,0.87,-0.0009776694665199,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
2025-12-26,560500,500质量成长ETF,0.86,0.0005051318228349,deepseek-chat,random_forest,Y_future_5d_return,default,50,10,391fd9685df65f3fecb451f35bf51adddd84bcf306f7c5b011f3f8571468fed4,False
