date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-06-13,517520,黄金股ETF,0.003873,0.0038727690118572,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,159837,生物科技ETF,0.003603,0.0036026996039847,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,520550,港股红利低波ETF,-6.3e-05,-6.255777140329994e-05,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,516080,创新药ETF易方达,-0.000159,-0.0001590663747555,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,510180,上证180ETF,-0.000173,-0.0001731862332463,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,515450,红利低波50ETF,-0.000191,-0.0001913402064356,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,515080,中证红利ETF,-0.0002,-0.000199514368345,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,512290,生物医药ETF,-0.000492,-0.0004916236470008,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,159502,标普生物科技ETF,-0.000637,-0.0006366937687847,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
2025-06-13,159847,医疗ETF易方达,-0.000644,-0.0006441860821854,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,963e763a83f65e00c14aa6710b1f14f13b87960883218a5bc77e423ae1ed37b4,False
