code,name,llm_score,second_stage_llm,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,momentum_20_cs_z,volatility_20_cs_z,volume_mean_20_cs_z,return_mean_20_cs_z,amplitude_mean_20_cs_z,turnover_mean_20_cs_z,MA_5_cs_z,MA_10_cs_z,y_pred_Y_future_5d_return
159687,亚太精选ETF,0.021134,gemini-2.5-flash-lite,1.403,1.449,1.487,1.402,10568469,1517946393.163,6.1,3.95,0.055,89.54,0.0709534368070954,0.0121925867718508,634793.7,0.3519999999999999,0.9215,5.377499999999998,1.3898,1.3786999999999998,1.4946239356237825,0.4924888637003334,-0.3505866181577801,1.4787201665304923,-0.8351572462261766,0.1245095346085969,0.121362526148794,0.1205473450333821,0.021134342211319
513060,恒生医疗ETF,0.009823,gemini-2.5-flash-lite,0.558,0.555,0.563,0.553,31746695,1770295269.0,1.79,-0.89,-0.005,29.04,0.0693641618497109,0.0228341165959718,38846439.8,0.3604999999999995,3.414,35.5325,0.5624000000000001,0.559,1.4441585710493097,2.8097350813997184,5.822985088413267,1.5332419115370164,4.006718047286255,4.655524247881041,-0.7432397171984227,-0.7432017858549059,0.0098230234164955
159847,医疗ETF易方达,0.007213,gemini-2.5-flash-lite,0.381,0.38,0.384,0.377,375627,14307942.381,1.85,0.53,0.002,1.03,-0.0104166666666666,0.0087920831348569,347869.95,-0.049,1.537,0.9495,0.3783999999999999,0.378,-1.089178142289745,-0.2479877708936962,-0.3969427562918884,-1.093423333189191,0.3604994210383776,-0.5408306461365654,-0.9355128774303398,-0.9339283842333128,0.0072132419437427
515050,5G通信ETF,0.006329,gemini-2.5-flash-lite,1.132,1.157,1.165,1.121,2177394,249874300.0,3.88,2.12,0.024,6.38,0.1189555125725339,0.0142699738751257,1183546.15,0.5729999999999997,2.1525,3.4665,1.1258,1.1148,2.3215719599064517,0.9448502710658264,-0.2619287626347346,2.2453921161663946,1.556156088302932,-0.1626325352658394,-0.1545076602709126,-0.1575341428785601,0.0063289038042322
516310,银行ETF易方达,0.004632,gemini-2.5-flash-lite,1.448,1.411,1.456,1.405,571408,81701894.0,3.52,-2.62,-0.038,3.41,0.0705614567526555,0.0098713754060101,264077.4,0.3470000000000001,1.515,1.576,1.4284,1.4039,1.4821771174937175,-0.012966493459226,-0.410480495926231,1.4466485518207717,0.3177627083173049,-0.4466943265257153,0.1616980912844026,0.1471015454705969,0.00463163765425
159852,软件ETF,0.004248,gemini-2.5-flash-lite,0.804,0.803,0.82,0.796,2485445,200635587.6,2.99,-0.12,-0.001,2.12,0.032133676092545,0.0176753655788945,2061809.15,0.1734999999999997,2.224,1.7565000000000002,0.7882,0.7763000000000001,0.2619527933202205,1.686391306590287,-0.1200343361675061,0.3337635213934247,1.6950504046464183,-0.4195728489682397,-0.5072871107833858,-0.5142244939895587,0.0042483512897834
515010,券商ETF基金,0.003403,gemini-2.5-flash-lite,1.3,1.301,1.344,1.298,433219,57293295.0,3.54,0.0,0.0,3.06,0.0877926421404682,0.0169556727160133,385203.5,0.4349999999999999,2.04,2.723,1.281,1.2562000000000002,2.0293310562164315,1.5296745946156098,-0.3909110520469919,2.011108970711873,1.3376160800701746,-0.274348981603696,0.0076705705333997,-0.0085355737586332,0.0034027794775245
515980,人工智能ETF,0.000691,gemini-2.5-flash-lite,0.509,0.513,0.518,0.504,2343991,239879622.0,2.75,0.59,0.003,2.2,0.0577319587628866,0.0125746705362714,1375478.6,0.2869999999999993,1.8355,1.2925,0.503,0.4977999999999999,1.074793051978289,0.5756895099026393,-0.2309196629536595,1.0617891753041058,0.9403589095492948,-0.4892923259026921,-0.8053105091428568,-0.8076905583452846,0.0006912990848577
510880,红利ETF,0.000119,gemini-2.5-flash-lite,3.036,3.011,3.05,3.004,1278158,404722320.0,1.51,-0.86,-0.026,2.45,0.0155143338954468,0.0039314419599004,882497.65,0.0764999999999998,0.7765,1.6934999999999998,3.0203999999999995,3.0054,-0.2657728585989117,-1.306416640089879,-0.3105669316641933,-0.2884258039751764,-1.1168310346150645,-0.4290390710520124,1.8252789124214213,1.8346631327800929,0.0001190721724752
515450,红利低波50ETF,3.7e-05,gemini-2.5-flash-lite,1.398,1.387,1.408,1.383,1195824,175917862.0,1.78,-1.0,-0.014,1.07,0.0168621700879765,0.0042969638439475,1017825.6,0.084,0.818,0.9125,1.3924,1.3852,-0.2229740687943953,-1.2268224259784264,-0.2887030004155402,-0.2403183819105925,-1.0362140538003135,-0.5463901733921145,0.1240794294998973,0.1273966427652035,3.740629292787026e-05
