date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-04-30,159518,标普油气ETF,0.031589,0.03158882,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,513730,东南亚科技ETF,0.021056,0.021056062,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,517520,黄金股ETF,0.017027,0.017026737,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,159966,创业板价值ETF,0.016944,0.016943676,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,159572,创业板200ETF易方达,0.013382,0.013382071,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,515050,5G通信ETF,0.0117,0.011699722,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,159529,标普消费ETF,0.010203,0.0102031585,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,159967,创业板成长ETF,0.009978,0.009977903,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,159509,纳指科技ETF,0.009967,0.009967441,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
2025-04-30,562060,标普红利ETF,0.008607,0.008607109,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,d6368a554e2845d2ac79d184d1ff22968b312772433be7a900507a45d91316e5,False
