date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-07-04,510880,红利ETF,0.95,0.002919806,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,513330,恒生互联网ETF,0.94,0.002611221,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,515080,中证红利ETF,0.93,0.0022547033,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,159852,软件ETF,0.92,1.14829745e-05,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,159905,深红利FTE,0.91,-0.0012643087,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,159307,红利低波100ETF,0.9,-0.0013083171,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,515650,消费50ETF,0.89,-0.001633464,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,515010,券商ETF基金,0.88,-0.0016549173,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,517300,沪港深300ETF,0.87,-0.002112862,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
2025-07-04,510760,上证综指ETF,0.86,-0.0025610875,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,28ae309e2ff27f5f0f118ff58e6c60c8b1f2cd6f4d839e16a460d9ce8330ffba,False
