date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-12,518850,黄金ETF华夏,0.95,0.012534015,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,516050,科技龙头ETF,0.94,0.01037686,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,159509,纳指科技ETF,0.93,0.0046608206,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,159502,标普生物科技ETF,0.92,0.00444902,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,515700,新能车ETF,0.91,0.0043025375,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,515170,食品饮料ETF,0.9,0.0038293803,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,159910,基本面120ETE,0.89,0.0034417326,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,515450,红利低波50ETF,0.88,0.00259885,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,512260,中证500低波动ETF,0.87,0.0025251862,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
2025-12-12,159905,深红利FTE,0.86,0.0015203818,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,f2dd29be5229aef1e321873eaa6d88559b1a5ef07d4fe6320dae8f08d3e4074c,False
