date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-12-19,516050,科技龙头ETF,0.95,0.008437762,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,518850,黄金ETF华夏,0.94,0.006306782,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,512010,医药ETF,0.93,0.0047712144,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,159928,消费ETF,0.92,0.0033687812,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,159687,亚太精选ETF,0.91,0.0016690943,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,510180,上证180ETF,0.9,0.001156797,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,560500,500质量成长ETF,0.89,0.00092207623,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,159910,基本面120ETE,0.88,0.0007326937,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,515170,食品饮料ETF,0.87,3.6978832e-05,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
2025-12-19,159307,红利低波100ETF,0.86,-0.000291878,deepseek-chat,xgboost,Y_future_5d_return,default,50,10,ec9d766c40196c01d1066df08f9bfda9662fa9a76a7ac65bf9c5dddea25ac77c,False
