code,name,llm_score,second_stage_llm,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,momentum_20_cs_z,volatility_20_cs_z,volume_mean_20_cs_z,return_mean_20_cs_z,amplitude_mean_20_cs_z,turnover_mean_20_cs_z,MA_5_cs_z,MA_10_cs_z,y_pred_Y_future_5d_return
159518,标普油气ETF,0.02206,deepseek-chat,1.007,1.004,1.015,1.0,3284014,330538047.9,1.45,-3.18,-0.033,19.53,0.1130820399113081,0.0331374867354184,7624940.1,0.5905000000000001,2.511,45.3495,1.0126000000000002,0.9858,2.9314573724029773,2.2034078008135567,0.5662588451513704,2.892048277945797,0.6879574949973855,5.433907914658213,-0.4787818576865104,-0.4947070977153676,0.022059899
518850,黄金ETF华夏,0.012844,deepseek-chat,10.705,10.661,10.705,10.591,898727,957264449.0,1.05,-1.35,-0.146,5.29,0.0742644095122935,0.0380166311983844,1335783.85,0.4290000000000001,1.718,7.862999999999999,10.7748,10.6437,1.9883124486297712,2.8336145032397853,-0.410146906359319,2.1355509552560648,-0.3504116934104705,0.2284007451861646,5.133079603131145,5.121405903676895,0.012844006
515220,煤炭ETE,0.007871,deepseek-chat,1.156,1.144,1.168,1.143,5096942,587222763.0,2.15,-1.72,-0.02,5.95,0.0853889943074002,0.0299655817475328,7222619.2,0.4515,3.001,8.430499999999999,1.1492,1.1305,2.258604467249636,1.793713888694886,0.5037976142489013,2.240945319098287,1.329572756434774,0.3072057901670347,-0.3755388341708873,-0.3844068912581169,0.007870802
512750,基本面50ETF,0.005594,deepseek-chat,1.461,1.45,1.465,1.448,14005,2040538.0,1.16,-1.23,-0.018,2.74,-0.0095628415300546,0.008864383023792,18334.85,-0.0454999999999998,1.1960000000000002,3.5905,1.4693999999999998,1.4639,-0.0484230625739174,-0.9317878802864318,-0.6146838473713994,-0.0870990733276991,-1.0339283596764235,-0.3648936242953638,-0.1335299313180137,-0.1302666781769327,0.0055936626
510050,上证50ETF,0.002018,deepseek-chat,3.149,3.114,3.15,3.111,9338776,2917013891.0,1.23,-1.49,-0.047,3.98,-0.0145569620253165,0.0100719099907713,22134695.2,-0.0694999999999998,1.3190000000000002,9.443,3.1552,3.1363,-0.1697643022477735,-0.7758196375490218,2.818931186159206,-0.1995197280927367,-0.8728698348666298,0.447805099494138,1.140606884513887,1.1445506354312631,0.002017789
159910,基本面120ETE,0.001874,deepseek-chat,2.492,2.463,2.492,2.46,2657,657087.8,1.28,-1.56,-0.039,0.27,0.0053061224489796,0.0120577248984167,8127.0,0.033,1.38,0.8134999999999997,2.4934,2.4792,0.3128454577979174,-0.5193251078061395,-0.6162686392026658,0.2806101516329437,-0.7929952819121797,-0.7505176065189345,0.6404148423276538,0.6436642106692773,0.0018739591
562320,沪深300价值ETF,0.001629,deepseek-chat,1.364,1.346,1.364,1.344,66620,8993512.0,1.47,-1.32,-0.018,8.4,-0.003700962250185,0.010713165912592,70182.25,-0.0134999999999999,1.3735000000000002,8.850999999999999,1.3644000000000005,1.3584,0.0940019548666292,-0.6929928667966243,-0.6066344210972667,0.0627951330256838,-0.8015065047679815,0.3655978983863404,-0.2128895028344146,-0.2106859717584111,0.0016291708
159715,稀土ETF易方达,0.00119,deepseek-chat,1.387,1.368,1.393,1.365,592635,81709408.3,1.99,-2.77,-0.039,13.32,0.0301204819277107,0.0288293335826595,735395.85,0.1889999999999999,3.444,16.5245,1.3678,1.3334,0.915755448399582,1.6469522556754443,-0.5033585031196952,1.0113444076056877,1.9096453295302092,1.4311670836915509,-0.2103197643281697,-0.229742676398572,0.0011898216
512580,环保ETF,0.00041,deepseek-chat,1.354,1.335,1.354,1.335,93398,12551759.0,1.4,-1.84,-0.025,1.3,0.0083081570996979,0.0181730392477059,113190.05,0.0570000000000002,2.4125,1.5719999999999998,1.3502,1.3388000000000002,0.385785349097622,0.2705494531168993,-0.5999573627430843,0.3930308063979822,0.5589797332594614,-0.6451896300995688,-0.2236219401252045,-0.2256264281962971,0.0004099759
159520,消费龙头ETF,-0.000571,deepseek-chat,1.044,1.045,1.051,1.041,63499,6644776.4,0.96,0.19,0.002,3.84,0.0038424591738712,0.0116941203138562,118707.5,0.0265,1.319,7.1865,1.052,1.0493,0.2772830967304887,-0.566289498379571,-0.5991007661346486,0.2501628909674127,-0.8728698348666302,0.1344595770283522,-0.4490031232317846,-0.4463030679293592,-0.0005714709
