date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-07-11,159715,稀土ETF易方达,0.022121,0.022120947,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,159847,医疗ETF易方达,0.016357,0.016356628,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,159928,消费ETF,0.006102,0.006102041,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,512010,医药ETF,0.004013,0.004012782,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,159837,生物科技ETF,0.00252,0.0025204977,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,159871,有色金属ETF,0.001723,0.0017233553,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,512290,生物医药ETF,0.001718,0.0017181112,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,159852,软件ETF,0.000288,0.0002875317,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,518850,黄金ETF华夏,8e-06,8.220766e-06,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
2025-07-11,515650,消费50ETF,-0.000375,-0.000374505,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,c5daff51774151a24f8f6a168ccd71244f98d401d065e918a7fbfce3dccc6690,False
