date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2025-11-07,159938,医药卫生ETF,0.031258,0.03125799,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,513310,中韩半导体ETF,0.01757,0.017570173,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,563020,红利低波动ETF,0.002919,0.002919246,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,510180,上证180ETF,0.00222,0.0022196313,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,516160,新能源ETF,0.001199,0.0011989459,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,515220,煤炭ETE,-0.000255,-0.0002547338,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,513290,纳指生物科技ETF,-0.001515,-0.0015150851,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,159871,有色金属ETF,-0.001547,-0.0015466956,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,515450,红利低波50ETF,-0.001829,-0.0018286804,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
2025-11-07,562320,沪深300价值ETF,-0.002162,-0.002162408,gemini-2.5-flash-lite,xgboost,Y_future_5d_return,default,50,10,7e5a452d49b60209e2d03c994bc1361c131496a9ee48889653a79cc02a373eab,False
